id,txt,GRNB,FUND,IND,UNI,COR,MISC
10660273,DvS's work was also partially funded by a Juan de la Cierva postdoctoral contract (JCI-2010-06397) from the Spanish Ministry of Science and Innovation.,JCI-2010-06397,Spanish Ministry of Science and Innovation.,,,, Juan de la Cierva postdoctoral contract
10192153,"Thanks to Keith Dougherty, Sandy Gordon, Greg Huber, Scott Moser, Charlie Plott, Danielle Thomsen, Alan Wiseman, the editor and anonymous reviewers, participants at the Yale CSAP American Politics Conference, seminar participants at Washington University in St. Louis, University of Oxford (Nuffield College CESS), IC3JM (JuanMarch Institute), and the Pittsburgh Experimental Economics Lab for helpful comments and feedback.",,,Keith Dougherty;Sandy Gordon;Greg Huber;Scott Moser;Charlie Plott;Danielle Thomsen;Alan Wiseman,Washington University in St. Louis;University of Oxford (Nuffield College CESS);IC3JM (JuanMarch Institute);Pittsburgh Experimental Economics Lab,, Yale CSAP American Politics Conference
6910823,The data were obtained from NHANES surveys 2007-2008 and 2009-2010.,,,,,,NHANES
6046256,"Specimen collections were authorized under a series of Oregon scientific taking permits through Permit 6265, US Fish & Wildlife Service scientific taking permit TE006333-14, and OSU Institutional Animal Care and Use permit LAR-ID 4090.",,US Fish & Wildlife Service;OSU Institutional Animal Care and Use,,,,Permit 6265;permit TE006333-14;permit LAR-ID 4090
17535353,"The present study was conducted at the Hospital Marques de Valdecilla, University of Cantabria, Santander, Spain, under the following grant support: SENY Fundacion Research Grant CI 2005-0308007 and Fundacion Marques de Valdecilla API07/011.",API07/011;CI 2005-0308007,Fundacion Marques de Valdecilla;SENY Fundacion Research Grant,,"University of Cantabria, Santander, Spain",,Hospital Marques de Valdecilla
10660273,MR was supported by a contract with the Spanish Ministry of Science and Innovation through the MED_FORSTREAM project (CGL2011-30590-C02-02).,CGL2011-30590-C02-02,Spanish Ministry of Science and Innovation,,,,MED_FORSTREAM
11960206,The work presented in this paper is a part of KNOWMAK project that has received funding from the European Union's Horizon 2020 research and innovation programme under grand agreement No. 726992.,726992,European Union's Horizon 2020 research and innovation programme,,,,KNOWMAK
9162740,"This work is partially supported by two projects: the Serbian Ministry of Education, Science and Technological Development through project no. OI174023 and Tematic network project: ""FETCH - Future Education and Training in Computing: How to support learning at anytime anywhere"".",OI174023,"Serbian Ministry of Education, Science and Technological Development;FETCH",,,,Future Education and Training in Computing: How to support learning at anytime anywhere
12871403,"We are very grateful for the comments and suggestions from Charles Calomiris, Joshua Hausman, Kris Mitchener, Robert Margo, Dave Ribar, Jonathan Rose, Tiemen Woutersen and participants at sessions on the paper at the World Congress of Cliometrics in 2013 and the NBER-DAE Summer Institute in 2015.",,,Charles Calomiris;Joshua Hausman;Kris Mitchener;Robert Margo;Dave Ribar;Jonathan Rose;Tiemen Woutersen,,,World Congress of Cliometrics;NBER-DAE Summer Institute
12482049,"Portions of these results were presented at the annual meeting of the American Auditory Society in Scottsdale, AZ, in March 2012.",,,,,,American Auditory Society in Scottsdale
5465100,"Collaborating investigators and staff: Jill Benevides, BS, Carol Beresford, MD, Carrie Best, MPH, Katie Bowen, LCSW, Briar Dechant, BS, Tom Flis, BCBA, LCPC, Holly Gastgeb, PhD, Angela Geer, BS, Louis Hagopian, PhD, Benjamin Handen, PhD, BCBA-D, Adam Klever, BS, Martin Lubetsky, MD, Kristen MacKenzie, BS, Zenoa Meservy, MD, John McGonigle, PhD, Kelly McGuire, MD, Faith McNeill, BA, Ernest Pedapati, MD, Christine Peura, BA, Joseph Pierri, MD, Christie Rogers, MS, CCC-SLP, Brad Rossman, MA, Jennifer Ruberg, LISW, Cathleen Small, PhD, Kahsi A. Smith, PhD, Nicole Stuckey, MSN, RN, Barbara Tylenda, PhD, Mary Verdi, MA, Jessica Vezzoli, BS, Deanna Williams, BA, and Diane Williams, PhD, CCC-SLP.",,,Jill Benevides;Carol Beresford;Carrie Best;Katie Bowen;Briar Dechant;Tom Flis;Holly Gastgeb;Angela Geer;Louis Hagopian;Benjamin Handen;Adam Klever;Martin Lubetsky;Kristen MacKenzie;Zenoa Meservy;John McGonigle;Kelly McGuire;Faith McNeill;Ernest Pedapati;Christine Peura;Joseph Pierri;Christie Rogers;Brad Rossman;Jennifer Ruberg;Cathleen Small;Kahsi A. Smith;Nicole Stuckey;Barbara Tylenda;Mary Verdi;Jessica Vezzoli;Deanna Williams;Diane Williams,,,LCSW;BCBA;LCPC;LISW
6679053,"This research was conducted at the Department of Agro-industrial Technology Faculty of Agro-industrial Technology, Universitas Padjadjaran and Financed by West Java Board of Research, Development and Aplication of Science and Technology (BP3IPTEK).",BP3IPTEK,"West Java Board of Research, Development and Aplication of Science and Technology",,Universitas Padjadjaran,,Department of Agro-industrial Technology Faculty of Agro-industrial Technology
7244273,"The authors would like to acknowledge Christopher Henrich for his assistance with the statistical analyses, Kaundinya Gopinath for his advice on DTI processing, and the King Developmental Neuropsychology Research Team for helping with data acquisition including but not limited to Jackie Micklewright, Matthew Mumaw, Aimilia Papazoglou, John Ryan, Ryan Brewster, Alyssa Ailion, Sabrina Na, and Mirjiana Ivanisevic.",,,Christopher Henrich;Kaundinya Gopinath;Jackie Micklewright;Matthew Mumaw;Aimilia Papazoglou;John Ryan;Ryan Brewster;Alyssa Ailion;Sabrina Na;Mirjiana Ivanisevic,,,King Developmental Neuropsychology Research Team
15102234,"The ECCO2 and AVISO products used this study can be obtained through the URL http://apdrc.soest.hawaii.edu/data/ and http://www.aviso.oceanobs.com/, respectively.",,,,,,ECCO2;AVISO
5812282,Financial support was provided by the European Regional Development Fund (ERDF) through the 'Programa Operacional Factores de Competitividade' (POFC-COMPETE) within the 'Quadro de Referencia Estrategico Nacional (QREN)' and the Portuguese Fundacao para a Ciencia e a Tecnologia (FCT) through the projects 'Efeitos do clima oceanico na macroecologia e resiliencia a perturbacoes dos povoamentos de kelps' - OCEANKELP (PTDC/MAR/109954/2009) and PEst-C/MAR/LA0015/2011 and a Ph.D. grant (SFRH/BD/84933/2012) to J. N. Franco.,PEst-C/MAR/LA0015/2011;SFRH/BD/84933/2012;PTDC/MAR/109954/2009,Portuguese Fundacao para a Ciencia e a Tecnologia (FCT);Programa Operacional Factores de Competitividade;European Regional Development Fund (ERDF),N. Franco,,,Programa Operacional Factores de Competitividade;POFC-COMPETE;Quadro de Referencia Estrategico Nacional (QREN);Efeitos do clima oceanico na macroecologia e resiliencia a perturbacoes dos povoamentos de kelps;OCEANKELP
10391365,An early partial version of this article appeared in Proc SPIRE'16.,,,,,,Proc SPIRE'16
14505979,"It was supported by the French Government, through the program ""Investments for the future"" managed by the National Agency for Research (Reference ANR-11-IDEX-0004-02).",ANR-11-IDEX-0004-02,French Government;National Agency for Research,,,,"program ""Investments for the future"""
4852521,The Belgian Fund for Scientific Research (FNRS) is acknowledged for financial support through a PDR research project (grant T.0100.16).,T.0100.16,Belgian Fund for Scientific Research (FNRS);FNRS;,,,,PDR
4854804,This study was supported by PPG Grant Vot number V009 for Universiti Tun Hussein Onn Malaysia.,V009,,,Universiti Tun Hussein Onn Malaysia,,PPG Grant Vot
12666304,This work is funded in part by the U.S. National Science Foundation (Award CCF 1350487) and the U.S. Environmental Protection Agency via the Oak Ridge Institute Student Employment Agreement.,CCF 1350487,U.S. National Science Foundation;U.S. Environmental Protection Agency,,,,Oak Ridge Institute Student Employment Agreement
14452143,The staff at the Population Council in Ghana conducted the financial literacy training.,,,,,,Population Council in Ghana
1365702,"The author would like to express her gratitude to the Center of Excellence in Teaching and Learning (CETaL), UTP for awarding the Scholarship of Teaching and Learning (SoTL: 0152AA-A09) research grant for this study.",SoTL: 0152AA-A09,"Center of Excellence in Teaching and Learning (CETaL), UTP",,,,Scholarship of Teaching and Learning
13374013,"The authors would like to thank the participants of conferences on recursive methods held in Glasgow by June 2014 and in Phoenix by March 2015, of the PET conference, Seattle, July 2014, and the ones of the SAET conference, Tokyo, August 2014.",,,,,,PET conference;SAET conference
4197397,"They also thank the participants at the 2016 Tsinghua International Conference on Econometrics in Beijing and the 2nd Dongbei Econometrics Workshop in Dalian, China.",,,,,,"2016 Tsinghua International Conference on Econometrics in Beijing;2nd Dongbei Econometrics Workshop in Dalian, China"
13950032,"The 1994 Chengdu study was supported by a grant from the China Medical Board in New York (CMB, 92-557; M. Z. Xiang, PI).",92-557,China Medical Board in New York,M. Z. Xiang,,,1994 Chengdu
2291225,"Bathymetric data is used courtesy of the Maritime and Coastguard Agency (MCA) and UK Hydrographic Office, collected as part of the INIS Hydro Interreg IVa Cross-border programme managed by the Special EU Programmes Body.",,Maritime and Coastguard Agency (MCA);Special EU Programmes Body;UK Hydrographic Office,,,,INIS Hydro Interreg IVa Cross-border
14505979,"This work is also supported by a public grant overseen by the French National Research Agency (ANR) as part of the program ""Tridimensional micro-conveyance syste ms for micro-factory"" (ANR-15-CE10-0002-01).",ANR-15-CE10-0002-01,French National Research Agency (ANR),,,,"program ""Tridimensional micro-conveyance syste ms for micro-factory"""
13556724,"This work was supported by a research grant from the National Institutes of Health (R01 HD 049742-1), and partially supported by an Integrative Graduate Education and Research Traineeship grant from the National Science Foundation (NSF-IGERT 0504487).",NSF-IGERT 0504487;R01 HD 049742-1,National Science Foundation;National Institutes of Health,,,,Integrative Graduate Education and Research Traineeship grant
10180838,This study is based on the Avon Longitudinal Study of Parents and Children (ALSPAC).,,,,,,Avon Longitudinal Study of Parents and Children
12366766,"Barcelona GSE Winter Workshop, CINCH Summer Academy at the University of Duisburg-Essen, Koc University, and Universitat Auttmoma de Barcelona.",,,,Universitat Auttmoma de Barcelona;CINCH Summer Academy at the University of Duisburg-Essen;Koc University,,Barcelona GSE Winter Workshop
18032591,"The authors thank the captain and the crew of the R/V ""Science No. 3"" for help and cooperation during the two cruises.",,,,,,"R/V ""Science No. 3"" "
11140047,"This research was supported through the Reducing Uncertainties in Biogeochemical Interactions through Synthesis and Computation Scientific Focus Area (RUBISCO SFA), which is sponsored by the Regional and Global Climate Modeling (RGCM) Program in the Climate and Environmental Sciences Division (CESD) of the Office of Biological and Environmental Research (BER) in the U.S. Department of Energy Office of Science.",,Regional and Global Climate Modeling (RGCM) Program;Climate and Environmental Sciences Division (CESD) of the Office of Biological and Environmental Research (BER);U.S. Department of Energy Office of Science,,,,Reducing Uncertainties in Biogeochemical Interactions;Synthesis and Computation Scientific Focus Area (RUBISCO SFA)
10310347,"Data on Anthem Blue Cross PPO enrollees were provided by Anthem, Inc.",,,,,"Anthem, Inc",Anthem Blue Cross PPO
12435354,"Its previous versions were presented at the XVI International Roundtable for the Semiotics of Law (IRSL 2015) ""Synesthetic Legalities: Sensory Dimensions of Law and Jurisprudence,"" April 29-May 1, 2015, Hawai'i (The Big Island), Hawaii, United States, and during the November 23, 2015, seminar of Department of Sociology of Law, Faculty of Law and Administration, Jagiellonian University in Krakow, Poland.",,,,"Faculty of Law and Administration;Jagiellonian University in Krakow, Poland",,XVI International Roundtable for the Semiotics of Law (IRSL 2015);Hawai'i (The Big Island)
8461311,"The study uses data from the WLS which, since 1991, has been funded principally by the National Institute on Aging (AG-9775 AG-21079 and AG-033285); additional support came from the Vilas Estate Trust, the National Science Foundation, the Spencer Foundation, and the Graduate School of the University of Wisconsin-Madison.",AG-033285;AG-9775 AG-21079,National Institute on Aging;Vilas Estate Trust;National Science Foundation;Spencer Foundation,,Graduate School of the University of Wisconsin-Madison,,WLS
15917242,"Guillaume Cheikbossian (corresponding author) and Philippe Mahenc: Universite de Montpellier (LAMETA) & TSE, Montpellier, France.",,,Guillaume Cheikbossian;Philippe Mahenc,Universite de Montpellier,,"TSE, Montpellier, France"
14303474,"In addition, they thank Masja Ninck Blok for her contribution in the implementation of Featback and this study's trial.",,,Masja Ninck Blok,,,Featback
10390448,"This work was supported in part by the National Institutes of Health (NIH) under award number U54HL108460, U01TR002062, R01GM124111, NSERC Discovery Grants (RGPIN-2015-04147) and University Research Grants Program (URGP) from the University of Manitoba.",R01GM124111;RGPIN-2015-04147;U01TR002062;U54HL108460,National Institutes of Health (NIH);NSERC Discovery Grants,,University of Manitoba,,University Research Grants Program (URGP) 
10192153,"Previous versions of the paper were presented at the 2014 Annual Meeting of the American Political Science Association, the 2016 Public Choice Society Meeting, and the 2016 Midwest Political Science Association Conference.",,,,,,2014 Annual Meeting of the American Political Science Association;2016 Public Choice Society Meeting;2016 Midwest Political Science Association Conference
6364543,This study was supported by the Swiss National Science Foundation (grants to S.E. FNS 324730_144260 and FNS 324730_121996) and the National Center of Competence in Research (NCCR) 'Synapsy - The Synaptic Bases of Mental Diseases'.,FNS 324730_121996;FNS 324730_144260,Swiss National Science Foundation;National Center of Competence in Research (NCCR),,,,Synapsy - The Synaptic Bases of Mental Diseases
8864298,"This work was supported by the Economic and Social Research Council (UK) and the UK Department for International Development as part of the 'Governing Food Systems to Alleviate Poverty in Secondary Cities in Africa' project, funded under the ESRC-DFID Joint Fund for Poverty Alleviation Research (Poverty in Urban Spaces theme) [grant number ES/L008610/1].",ES/L008610/1,UK Department for International Development;Economic and Social Research Council (UK);ESRC-DFID Joint Fund for Poverty Alleviation Research (Poverty in Urban Spaces theme) ,,,,Governing Food Systems to Alleviate Poverty in Secondary Cities in Africa
8049169,This research is a contribution to the Worldwide Universities Network project; Ocean Eddies in a Changing Climate: Understanding the Impact of Coastal Climates and Fisheries Production.,,,,,,Worldwide Universities Network project;Ocean Eddies in a Changing Climate: Understanding the Impact of Coastal Climates and Fisheries Production
10196551,This work has received funding from the European Union's Horizon 2020 research and innovation program under grant agreement No H2020-FoF-680431 (ReconCell).,H2020-FoF-680431,European Union's Horizon 2020,,,,ReconCell
13556724,"For valuable feedback, we thank Ann Bunger, Sarah Johnstone Drucker, John Kingston, Tanya Kraljic, Tamara Nicol Medina, and audiences at the annual meetings of Psychonomics Society and of Architectures and Mechanisms of Language Processing.",,,Ann Bunger;Sarah Johnstone Drucker;John Kingston;Tanya Kraljic;Tamara Nicol Medina,,,Psychonomics Society;Architectures and Mechanisms of Language Processing
16469482,"We also wish to thank Brendan Saloner and Dan Houser, and audiences at George Mason University, University of Texas at Austin, the Addiction Health Services Research Conference, and the 5th Biennial Meeting of the American Society of Health Economists for helpful comments.",,,Brendan Saloner;Dan Houser,George Mason University;University of Texas,,Addiction Health Services Research Conference;5th Biennial Meeting of the American Society of Health Economists
13952433,"This research was partially done whilst the authors were visiting fellows at the Isaac Newton Institute for Mathematical Sciences in the programme Mathematical, Foundational and Computational Aspects of the Higher Infinite.",,,,Isaac Newton Institute for Mathematical Sciences,,"Mathematical, Foundational and Computational Aspects of the Higher Infinite"
14825418,"This work was conducted at Tufts University and funded by a subaward from the Feed the Future Policy Impact Study Consortium led by Rutgers University under USDA Cooperative Agreement #TA-CA-15-008, the Feed the Future Innovation Lab for Nutrition under USAID grant contracts AID-OAA-L-1-00005 and AID-OAA-L-100006 (www.nutritioninnovationlab.org), and the Global Dietary Database project of the Global Nutrition and Policy Consortium funded by the Bill and Melinda Gates Foundation (www.globaldietarydatabase.org), with additional support from the International Food Policy Research Institute (IFPRI) project for Advancing Research on Nutrition and Agriculture (AReNA) also funded by the Bill and Melinda Gates Foundation.",TA-CA-15-008;AID-OAA-L-1-00005;AID-OAA-L-100006,Feed the Future Policy Impact Study Consortium;Feed the Future Innovation Lab for Nutrition;USAID;Bill and Melinda Gates Foundation,,Tufts University;Rutgers University;International Food Policy Research Institute (IFPRI),,Global Dietary Database;Global Nutrition and Policy Consortium;Advancing Research on Nutrition and Agriculture (AReNA)
10180235,This study was undertaken by Project WEANTUNA supported by Eurostars (E! 7994) and co-financed by FEDER through PO Algarve 21 in the framework of QREN 2007-2013 (30200).,E! 7994;30200,FEDER;PO Algarve 21;Eurostars,,,,WEANTUNA;QREN
3894847,The research was supported by the National Natural Science Foundation of China (no. 61601254) and the K. C. Wong Magna Fund in Ningbo University.,61601254,National Natural Science Foundation of China,,K. C. Wong Magna Fund;Ningbo University,,
3291173,"First and foremost, we would like to thank GIPP Grant, UPM for providing grant for the project (9323654).",9323654,GIPP,,UPM,,
5465100,"The ADDIRC is made up of the co-investigators: Matthew Siegel, MD (PI) (Maine Medical Center Research Institute; Tufts University), Craig Erickson, MD (Cincinnati Children's Hospital; University of Cincinnati), Robin L. Gabriels, PsyD (Children's Hospital Colorado; University of Colorado), Desmond Kaplan, MD (Sheppard Pratt Health System), Carla Mazefsky, PhD (Western Psychiatric Institute and Clinics; University of Pittsburgh), Eric M. Morrow, MD, PhD (Bradley Hospital; Brown University), Giulia Righi, PhD (Bradley Hospital; Brown University), Susan L. Santangelo, ScD (Maine Medical Center Research Institute; Tufts University), and Logan Wink, MD (Cincinnati Children's Hospital; University of Cincinnati).",,Cincinnati Children's Hospital;Children's Hospital Colorado;Bradley Hospital,Matthew Siegel;Craig Erickson;Robin L. Gabriels;Desmond Kaplan;Carla Mazefsky;Eric M. Morrow;Giulia Righi;Susan L. Santangelo,Tufts University;University of Cincinnati;University of Colorado;Western Psychiatric Institute and Clinics;University of Pittsburgh;Brown University;Maine Medical Center Research Institute,,
7168697,"Nirnimesh Kumar (UW) provided constructive critiques of this work, and Rich Pawlowicz and Mark Halvorsen (UBC) provided helpful local knowledge.",,,Nirnimesh Kumar;Rich Pawlowicz;Mark Halvorsen,UBC;UW,,
4253838,"Additional support has come from the Research Unit for Indigenous Language at the University of Melbourne (RUIL), and from the ARC Centre of Excellence for the Dynamics of Language (CoEDL).",,ARC Centre of Excellence for the Dynamics of Language (CoEDL),,University of Melbourne;Research Unit for Indigenous Language,,
3133504,"This research is supported by the National Natural Science Foundation of China (Grant Nos: 61502243,61502247,61272084, 61300240,61572263, 61502251, 61503195), Natural Science Foundation of the Jiangsu Province (Grant Nos: BK20130417, BK20150863, BK20140895, and BK20140875), China Postdoctoral Science Foundation (Grant No. 2016M590483), Jiangsu Province postdoctoral Science Foundation(Grant No. 1501072B), Scientific and Technological Support Project (Society) of Jiangsu Province (Grant No. BE2016776), Nanjing University of Posts and Telecommunications' Science Foundation (Grant Nos: NY214068 and NY213088).",BK20140875;61272084;61503195;61502243;NY213088;61502251;2016M590483;NY214068;BK20140895;BK20130417;1501072B;BK20150863;61572263;BE2016776;61502247;61300240,Natural Science Foundation of the Jiangsu Province;National Natural Science Foundation of Chin;China Postdoctoral Science Foundation;Jiangsu Province postdoctoral Science Foundation;Scientific and Technological Support Project (Society) of Jiangsu Province,,Nanjing University of Posts and Telecommunications' Science Foundation,,
8770420,Additional funding was from Wageningen University Sandwich PhD scholarship program.,,,,Wageningen University Sandwich PhD scholarship program,,
1877341,Part of the work was done while S.D. was supported as a postdoctoral fellow by the Medical College of Georgia.,,,S.D.,Medical College of Georgia,,
10172543,This work was financially supported by Nantong University-Nantong Joint Research Center for Intelligent Information Technology under Grant No. KFKT2016A08 and by Nantong Research Program of Application Foundation under Grant No. GY12016022.,KFKT2016A08;GY12016022,Nantong Research Program of Application Foundation,,Nantong University-Nantong Joint Research Center for Intelligent Information Technology,,
2821067,We acknowledge support by the Open Access Publication Funds of the Gottingen University.,,,,Gottingen University,,
7440518,Financial support to the conference by the Wang Yanan Institute for Studies in Economics and the School of Economics at Xiamen University and the Natural Science Foundation of China Grants 71631004 and 71131008 (Key Projects) are gratefully acknowledged.,71131008;71631004,Natural Science Foundation of China,,Wang Yanan Institute for Studies in Economics;School of Economics at Xiamen University,,
2304543,"Aran Incharoensakdi thanks Commission on Higher Education, Thailand, and the Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University, for the National Research University Project grant (FW0659A) and the research grant (RES560530052), respectively.",FW0659A;RES560530052,"Commission on Higher Education, Thailand",Aran Incharoensakdi,Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University;National Research University Project,,
16194960,"The infrastructure for the NESDA study (www.nesda.nl) has been funded through the Geestkracht program of the Netherlands Organization for Health Research and Development (Zon-Mw, grant number 10-000-1002) and participating universities (VU University Medical Center, Leiden University Medical Center, University Medical Center Groningen).",10-000-1002,Geestkracht program;Netherlands Organization for Health Research and Development ,,VU University Medical Center;Leiden University Medical Center;University Medical Center Groningen,,
15769684,"Thanks also go to the Institute for Policy Integrity at NYU, Michael Livermore and Howard Kunreuther for help designing and fielding the survey.",,,Michael Livermore;Howard Kunreuther,Institute for Policy Integrity at NYU,,
12230672,They were also conducted as part of the project supported by the University Joint Research of KGU.,,,,University Joint Research of KGU,,
16190014,"The authors appreciate the workshop participants at the School of Accounting and seminar participants at the International Business School, Zhejiang Gongshang University for their comments, and also thank Dr Najid Ahmed for his suggestions.",,,Najid Ahmed,Zhejiang Gongshang University;School of Accounting;International Business School,,
16114600,"We would like to thank seminar participants at Berkeley, CEMFI, Duke, UIUC, University of Michigan, University de Montreal, NYU, Northwestern and at the 2009 North American Winter Meetings of the Econometric Society, the 2009 All-California Econometrics Conference at UC - Riverside, the 2014 Midwest Econometrics Group at the University of Iowa, and the 2nd annual IAAE Conference.",,,,Berkeley;CEMFI;Duke;UIUC;University of Michigan;University de Montreal;NYU;Northwestern,,2009 North American Winter Meetings of the Econometric Society;2009 All-California Econometrics Conference at UC - Riverside;2014 Midwest Econometrics Group at the University of Iowa;2nd annual IAAE Conference
2098964,"This paper is a partial result of project no. MOST 107-2911-I-011-503 (Project Title: New Information and Communications Technologies for the Intelligent Transportation Systems and the Internet of Things) conducted by National Taiwan University of Science and Technology under the sponsorship of the National Science Council, ROC.",MOST 107-2911-I-011-503,"National Science Council, ROC",,National Taiwan University of Science and Technology,,New Information and Communications Technologies for the Intelligent Transportation Systems and the Internet of Things
9492130,"The work in Shark Bay, Australia was supported by the University of Western Australia (Gary Kendrick, John Statton, Matthew Fraser, Dianne Walker) and the Department of Environment and Conservation (DEC, David Holley).",,Department of Environment and Conservation,Gary Kendrick;John Statton;Matthew Fraser;Dianne Walker;David Holley,University of Western Australia,,
12559385,"The author thanks the support of Project Fondecyt Regular 1130135, Chile, and the hospitality of the Center For Mathematical Modeling, Universidad de Chile, Chile, in which this research was finished.",1130135,Project Fondecyt Regular,,"Center For Mathematical Modeling, Universidad de Chile",,
5252696,"The authors are grateful to Purdue University, Universite de Rennes 1, the Institute of Mathematical Sciences, National University of Singapore, the RIP program in Oberwolfach, and IPAM, UCLA for hosting them on several occasions during which time this work was completed.",,IPAM;RIP program in Oberwolfach,,Purdue University;Universite de Rennes 1;Institute of Mathematical Sciences;National University of Singapore;UCLA,,
11078142,"This work was supported by the National Natural Science Foundation of China (No. 61074023), Natural Science Research Key Project of Universities in Anhui Province of China (No. KJ2015A297), Nature Science Foundation in Anhui Province of China (No. 1508085MF130), Engineering Technology Research Center of Optoelectronic Appliance in Anhui Province of China, and Sichuan Institute of Aerospace System Engineering in Sichuan Province of China.",1508085MF130;KJ2015A297;61074023,Nature Science Foundation in Anhui Province of China;Natural Science Research Key Project of Universities in Anhui Province of China;National Natural Science Foundation of China;Engineering Technology Research Center of Optoelectronic Appliance in Anhui Province of China,,Sichuan Institute of Aerospace System Engineering,,
7696730,"And we would like to give special thanks to Prof Ming-Xian Chang (Institute of Hydrobiology, CAS) for helpful discussion.",,,Ming-Xian Chang,"Institute of Hydrobiology, CAS",,
10703910,"The investigation was supported by the Institutional Research Funding IUT19-17 at Tallinn University of Technology, by EEA Financial Mechanism 2009-2014 programme ""Integrated marine and inland water management"" (project title ""Development of data modelling system and the decision support tool for the integrated marine and inland water management""), and by the Interreg Central Baltic Programme Waterchain Project.",IUT19-17,Interreg Central Baltic Programme Waterchain Project,,Tallinn University of Technology,,EEA Financial Mechanism 2009-2014
12055351,Numerical calculations for this work were carried out at the Yukawa Institute Computer Facility and at the facilities of the Institute of Statistical Mathematics.,,,,Yukawa Institute Computer Facility;Institute of Statistical Mathematics,,
7128389,"This work was supported by The Chilean National Corporation of Research Science and Technology (CONICYT), by fundings Beca de Doctorado en el extranjero por Gestion Propia, REDES No 140104 and PIA-CONICYT Basal Funds for Centres of Excellence Project FB0003; by University of Cambridge funding schemes Cambridge Overseas Trust and Chile Projects (through the Centre of Latin American Studies); Ministerio de Educacion, Centro de Estudios, FONIDE No 911436.",911436;140104;FB0003,"Ministerio de Educacion, Centro de Estudios, FONIDE;Beca de Doctorado en el extranjero por Gestion Propia, REDES;PIA-CONICYT Basal Funds for Centres of Excellence Project;Chile Projects;Centre of Latin American Studies;Chilean National Corporation of Research Science and Technology (CONICYT)",,University of Cambridge;Cambridge Overseas Trust,,
16998365,"We thank the coordinators, teachers and students of the Municipal School for accepting the development of this research; the Biologist Thayana Berenguel and biology student Helena Chiaretti for their support in the preparation of teaching materials; the photographer Edivaldo Nascimento for lecturing students and providing old photos of caicara culture; to the caicaras Maria Cecilia Borges Nogueira and Evaldo Pereira for their support in the development of research at the school; the Oceanographic Institute of the University of Sao Paulo (IOUSP), the Laboratory of Management, Ecology and Marine Conservation of IOUSP and the Foundation of Research Financial Support of Sao Paulo (FAPESP) (Process number 2013/02441-4) and to the Coordination of Projeto Biota/FAPESP-Araca (Process number 11/50317-5) for the institutional and financial support which were fundamental to this work.",2013/02441-4;11/50317-5,Foundation of Research Financial Support of Sao Paulo (FAPESP);Coordination of Projeto Biota/FAPESP-Araca,Thayana Berenguel;Helena Chiaretti;Edivaldo Nascimento;Maria Cecilia Borges Nogueira;Evaldo Pereira," Oceanographic Institute of the University of Sao Paulo (IOUSP);Laboratory of Management, Ecology and Marine Conservation of IOUSP ",,
13952433,"The authors are grateful to Benedikt Lowe and Arno Pauly for the many fruitful discussions and to the Institute for Logic, Language and Computation for the hospitality offered to the first author.",,,Benedikt Lowe;Arno Pauly,"Institute for Logic, Language and Computation",,
8236292,"The authors gratefully acknowledge the support provided by National Institute on Health Grants RC1-AG035645, R21-AG032379, R21-AG033109, R01-HD07994, R24-HD041025, and UL-TR00127; the Max Planck Institute for Human Development, Berlin; and the Penn State Social Science Research Institute.",R24-HD041025;R21-AG033109;UL-TR00127;RC1-AG035645;R21-AG032379;R01-HD07994,National Institute on Health,,"Max Planck Institute for Human Development, Berlin;Penn State Social Science Research Institute",,
3291173,"Special thanks to Department of Chemical and Environmental Engineering, UPM Technical Staffs: Termizi Zakaria, Joha Muhsidi, Maslinda Abdullah, Adli Nazri, Ismail Abdullah, Nor Hasni Zahari and also KKA students (third year 2016).",,,Termizi Zakaria;Joha Muhsidi;Maslinda Abdullah;Adli Nazri;Ismail Abdullah;Nor Hasni Zahari,UPM;Department of Chemical and Environmental Engineering,,
2273149,"This work was financially supported by the Fundamental Research Grant Scheme (FRGS) from the Ministry of Higher Education, Malaysia and Universiti Kebangsaan Malaysia (UKM-NN-03-FRGS0040-2010) to the first author.",UKM-NN-03-FRGS0040-2010,"Fundamental Research Grant Scheme (FRGS) from the Ministry of Higher Education, Malaysia ",,Universiti Kebangsaan Malaysia,,
6454918,We acknowledge support for the Article Processing Charge by the Deutsche Forschungsgemeinschaft and the Open Access Publication Fund of Bielefeld University.,,Deutsche Forschungsgemeinschaft,,Open Access Publication Fund of Bielefeld University,,
3876105,"This work was supported by the University of California, University of Maryland, National Institute of Drug Abuse (DA040717), National Institute of Mental Health (MH107444), and a National Science Foundation Graduate Research Fellowship.",MH107444;DA040717,National Institute of Mental Health;National Institute of Drug Abuse;National Science Foundation Graduate Research Fellowship,,University of California;University of Maryland,,
14050912,"This research was partially supported by University Tun Hussein Onn Malaysia, Johor using Short Term Grant (U646).",U646,,,"University Tun Hussein Onn Malaysia, Johor",,
