FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Public Health England,10.0,FINEC workshop in Berlin,4.0,College of Health and Human Sciences,6.0,China Daily,1.0,Javier Hualde,6
German Academic Scholarship Foundation,10.0,Ferrovial,4.0,Instituto Politecnico Nacional,6.0,dei mercati e Produzioni Agricole: interazioni fra variabilita climatica e sviluppo tecnologico delle nazioni nei meccanismi di formazione,1.0,Angela Frederick,6
Key Research Institute in Humanities and Social Sciences of the Ministry of Education,10.0,CIRAD,4.0,Institute of Genetics,6.0,Woven Earth,1.0,Yoshihiko Nishiyama,6
U.S. Environmental Protection Agency,10.0,"Diabetes Management Research, Health Promotion Research",4.0,Social Care Workforce Research Unit,6.0,Implicit Inc.,1.0,John Strang,6
National Institutes of Health Clinical Center,10.0,History of Economics Society,4.0,Bristol University,6.0,Stichting Weet Wat Je Besteedt,1.0,Tony Atkinson,6
National Institute of Justice (NIJ),10.0,"Social networks and subjective wellbeing in Australia, China and the United Kingdom",4.0,Graduate School of Social Work,6.0,Teoria AtorRede e a Psicologia,1.0,David Autor,6
Fonds National de la Recherche Luxembourg,10.0,RADAR,4.0,Universiti Sains Malaysia (USM),6.0,Janssen-Cilag,1.0,Susannah Verney,6
Cogito Foundation,10.0,ES World Congress 2015,4.0,UPenn,6.0,Hauke Hess (,1.0,Fernando Lera-Lopez,6
European Regional Development Fund),10.0,606 West 122d Street,4.0,Lincoln Institute of Land Policy,6.0,"Hoffmann-La Roche, Inc.",1.0,James Robinson,6
National Institute for Health Research (NIHR) Biomedical Research Centre for Mental Health at South London,10.0,ACA on California,4.0,Universite d'Evry Val d'Essonne,6.0,CommunityHealth,1.0,Louise Locock,6
Canadian Institute for Health Research,10.0,ZAMSTAR,4.0,Chulalongkorn University,6.0,"Community Education Centers, Inc.",1.0,Everhard Holtmann,6
NNSFC,10.0,JASSS,4.0,Cambridge Muslim College,6.0,Thonet GmbH in Frankenberg,1.0,Antu Sorainen,6
Center for Healthcare Organization and Implementation Research (CHOIR),10.0,"Quality and Outcomes of Care for Chronic Conditions in Older Patients Diagnosed with Breast, Colorectal, or Prostate Cancer",4.0,University of Regina,6.0,"Church & Dwight Co., Inc",1.0,Jay A. Mancini,6
Marriott Foundation,10.0,Knowledge Exchange,4.0,University of Arkansas,6.0,Matlab,1.0,Felix Elwert,6
Arthritis Research UK,10.0,Project Development Team,4.0,Maynooth University,6.0,Salimetrics LLC,1.0,Yasmina Okan,6
Australian Research Council Linkage Projects scheme,10.0,CICOT 2015 3rd International Congress onWorking Conditions Porto,4.0,Actuarial Science,6.0,Happy Labgroup,1.0,James Ziliak,6
NRSA,10.0,RESMISA,4.0,Program for Leading Graduate Schools,6.0,Crystal Meth Secratariat,1.0,Christian Geiser,6
Spanish Ministry of the Economy and Competitiveness,10.0,SHP,4.0,Johns Hopkins Center for AIDS Research,6.0,Servier,1.0,Evelien Tonkens,6
Mental Health,10.0,"Gender, Relationship Power, and Attachment Among Sexually Active Mexican American Adolescent Girls",4.0,Department of Sociology and Communication,6.0,Machteld Hoeve,1.0,Margaret Fischl,6
National Research Service Award,10.0,Family Resources Survey,4.0,Harvard Kennedy School,6.0,Safeway Operations,1.0,Franz Dietrich,6
Labex MME-DII,10.0,Social Policy in a Cold Climate programme,4.0,University of Girona,6.0,PricewaterhouseCoopers LLP,1.0,Sergiu Hart,6
Economic and Social Research Council (ESRC,10.0,Innovations for Poverty Action,4.0,Ophthalmic Research Institute of Australia,6.0,Group Holon,1.0,Stefan Sturmer,6
"National Center for Injury Prevention and Control, Centers for Disease Control and Prevention",10.0,"FAPESP, Fundacao de Amparo",4.0,City of Helsinki,6.0,Toyota Collaborative Safety Research Center,1.0,Wybo Dondorp,6
Movember Canada,10.0,Survey of High Impact Psychosis Study Group,4.0,McMaster University Arts Research Board,6.0,Museo Archeologico Nazionale di Napoli (MANN),1.0,Chris Donkin,6
Egmont Foundation,10.0,BREAD,4.0,Center for Statistical Science at Peking University,6.0,United Biosource Corporation,1.0,Catherine Lee,6
Tri-Council Research Support Fund,10.0,Funding Partners,4.0,University of Missouri-Kansas City,6.0,Takeda-Lundbeck,1.0,Alice Campbell,6
Institut de recherche Robert-Sauve en sante et en securite du travail (IRSST),10.0,VISAGE,4.0,McKnight Land-Grant Professorship,6.0,Facebook Research,1.0,Henry,6
DFID,10.0,985,4.0,Max Planck Institute for Human Development,6.0,Schering-Plough,1.0,Louise Meikleham,6
Society of Actuaries Centers of Actuarial Excellence Research Grant,10.0,"Promoting the Provision of Inclusive Primary Education for Children with Disabilities in Mashonaland West Province, Zimbabwe",4.0,School of Psychological Sciences,6.0,sanofi-aventis,1.0,Marc Flandreau,6
Ministerio de Economia y Competitividad),10.0,Criminalising Contagion: Legal and Ethical Challenges of Disease Transmission,4.0,National Sun Yat-sen University,6.0,Astra Zeneca Canada,1.0,Tommaso Nannicini,6
NICHD Center,10.0,Tackling Disabling Practices: co-production and change,4.0,Institute for Clinical Evaluative Sciences (ICES),6.0,Yarra Trams,1.0,Jennifer Jones,6
Breast Cancer Research Foundation,10.0,INTERGEN project,4.0,MOE (China) Project of Key Research Institute of Humanities and Social Sciences at Universities,6.0,Royal National Park,1.0,Kevin Featherstone,6
Centers of Actuarial Excellence (CAE) Research Grant,10.0,Fondation Brocher in Geneva,4.0,Nanjing University,6.0,Bunt & Associates,1.0,Anita Zuberi,6
Discovery Project,10.0,OAR,4.0,Laboratory for Comparative Social Research,6.0,Veritas Investment GmbH),1.0,Richard G. Parker,6
US Public Health Service,10.0,CuRAtOR: Challenging online feaR And OtheRing,4.0,University of Lancaster,6.0,"SPACES, Inc",1.0,Sarah Hill,6
Natural Sciences and Engineering Research Council,9.0,Community Engagement Committee,4.0,Graduate Center,6.0,Kaliurang Group,1.0,B. Rossi,6
Charles Koch Foundation,9.0,FQRSC,4.0,University Research Council,6.0,Alibaba Cloud,1.0,William B. Swann Jr.,6
Fundacion BBVA,9.0,Plan International,4.0,New York University (NYU),6.0,Kinky Boots Limited Liability Company,1.0,Ade Kearns,6
VENI,9.0,Innovation and Technology Analysis,4.0,Centre for Gender Research,6.0,"Enderun Colleges, Inc",1.0,Janet Willars,6
WeCare Chair,9.0,KITE,4.0,Australian Academy of Science,6.0,Mobile,1.0,Gordon G. Liu,6
Innovation Fund Denmark,9.0,New Investigator Award in Community-based Primary Health Care,4.0,Department of Bioethics,6.0,"Citta della Speranza, Padova",1.0,Stefaan Walgrave,6
MINECO/FEDER,9.0,Public Choice Society conference,4.0,Universidad de Tarapaca,6.0,Triple P International (TPI) Pty Ltd,1.0,Bruno Jullien,6
Discovery Grant,9.0,REPLICATE,4.0,Columbia Population Research Center,6.0,,,Greg Duncan,6
Ministry of Education and Science,9.0,ASL TO2 Dipartimento Dipendenze Patologiche,4.0,Oslo Metropolitan University,6.0,,,Christian Ewerhart,6
Social Sciences and Humanities Research Council Grant,9.0,UKCPR,4.0,Emory,6.0,,,Michael Biggs,6
Swiss National Centre of Competence in Research LIVES,9.0,PRIN 2011,4.0,Institute for Research on Poverty at the University of Wisconsin-Madison,6.0,,,Melissa Parker,6
Joint Global Health Trials Scheme,9.0,Australian Longitudinal Study on Women's Health,4.0,University of Thessaly,6.0,,,Michael Schmitz,6
The Netherlands,9.0,Exiting Academics in Networked Knowledge Societies,4.0,University of A Coruna,6.0,,,Bill Collins,6
"National Heart, Lung, and Blood Institute of the National Institutes of Health",9.0,CDC-NIOSH,4.0,Mathematica Policy Research,6.0,,,Hugh Rockoff,6
PBRF,9.0,EEA,4.0,Columbia University School of Nursing,6.0,,,Rebecca J. Erickson,6
Canadian Breast Cancer Research Alliance,9.0,NTPU,4.0,Einaudi Institute for Economics and Finance,6.0,,,Gjensidige,6
Hong Kong RGC,9.0,Research-Intervention-Cluster on Flight and Solidarities,4.0,Universiti Kebangsaan Malaysia (UKM),6.0,,,Alan Warde,6
Doctoral Fellowship,9.0,CIHI,4.0,Campus of International Excellence of the University of Oviedo,6.0,,,Sarah Marchal,6
Insurance Institute for Highway Safety,9.0,SEED OK,4.0,Maryland,6.0,,,Cameron Campbell,6
Korean Government (MEST),9.0,Harmonisation and Dissemination of Best Practice - Educating,4.0,Ho Chi Minh City,6.0,,,Mprime,6
UK Department of Health,9.0,Italian Population Days February 2015,4.0,California Center for Population Research,6.0,,,David Grazian,6
Eunice Kennedy Shriver National Institute of Child Health and Development,9.0,Cyber Youth Outreach Project,4.0,University of Seville,6.0,,,Alexander Maki,6
National Institute of Child Health and Human Development of the National Institutes of Health,9.0,Mutual Intercultural Relations in Plural Societies,4.0,Stanford Institute for Theoretical Economics,6.0,,,Marta Tienda,6
Administration for Community Living,9.0,GSK,4.0,Charles Sturt University,6.0,,,Matthias Morys,6
British Academy/Leverhulme Trust,9.0,BAM 2013,4.0,"Liberty Mutual Research Institute for Safety, Hopkinton, Massachusetts, USA",6.0,,,Francesco Zanetti,6
COMPETE2020,9.0,Sexual Health Programme (now the Social Relationships and Health Improvement Programme,4.0,de Souza Institute,6.0,,,Ayden Scheim,6
U.S. Centers for Disease Control and Prevention,9.0,"Families, Housing, Community Services and Indigenous Affairs",4.0,Ersta Skondal Bracke University College,6.0,,,Jan Willem Duyvendak,6
National Science Center DEC,9.0,Medical Monitoring Project,4.0,Thomas Coram Research Unit,6.0,,,Liora Israel,6
Global Competitiveness Program,9.0,Research on Family Moral Education of Children in Single-parent Families,4.0,Thammasat University,6.0,,,Kay Giesecke,6
Marie Curie Career Integration Grant,9.0,Northern Insights: Service Innovation and Tourist Experiences in the High North,4.0,Nanjing Institute of Technology,6.0,,,Sven Rady,6
International Monetary Fund,9.0,2014 European Elections,4.0,University of Maine,6.0,,,Marie-Claire Villeval,6
DAAD,9.0,VOSATEC Multiple Voices,4.0,Murdoch University,6.0,,,Emily Marshall,6
International Initiative for Impact Evaluation (3ie),9.0,PCORI,4.0,University of the West Indies,6.0,,,Tom King,6
SSHRC of Canada,9.0,UNRISD,4.0,Academy of Finland project Synthetic Biology and Ethics,6.0,,,Kirill Evdokimov,6
Spanish Ministry of Economy and Competitiveness (MINECO),9.0,CIUPANEL,4.0,College of Management,6.0,,,David Wendler,6
UCSF-CTSI,9.0,Health Care Professionals,4.0,School of Mechanical Engineering,6.0,,,Joel Sobel,6
Danish Research Council for Independent Research,9.0,Contract-Programme,4.0,UNSW,6.0,,,Susan M. McHale,6
FQRSC,9.0,Towards Open Societies,4.0,University of Plymouth,6.0,,,Tony Cox,6
Swedish Research Council FORMAS,9.0,SafetyCube,4.0,UNAM Faculty of Economics,6.0,,,Gary Chamberlain,6
Fundacion Seneca,9.0,Making Science Public,4.0,International Christian University in Tokyo,6.0,,,Soledad Ballesteros,6
"Connie Wofsy Women's HIV Study, Northern California",9.0,Leishmaniasis in Suriname,4.0,Children's Hospital Research Institute,6.0,,,Paul Rosenbaum,6
Oregon Department of Human Services,9.0,Kittens are Evil,4.0,Electric Power Research Institute,6.0,,,Isaiah Andrews,6
Program of Employment of Newly Graduated Doctors of Science for Scientific Excellence,9.0,Barcelona GSE,4.0,Faculty of Arts and Sciences,6.0,,,Arne Kalleberg,6
U.S. Department of Transportation,9.0,Center for Research in Econometric Analysis of TimE Series (CREATES),4.0,University of Basel's Institute for Biomedical Ethics,6.0,,,Rachael Cox,6
Marie Curie,9.0,2015 Annual ESPAnet Conference,4.0,College of Staten Island,6.0,,,Fernando Collantes,6
Meltzer Research Fund,9.0,"Feminist Approaches to Bioethics congress, Rotterdam",4.0,Presbyterian University,6.0,,,David McKenzie,6
Social Sciences and Humanities Research Council of Canada Insight Grant,9.0,FMCSA,4.0,University of Auckland Doctoral Scholarship,6.0,,,Frank Billson,6
"Key Project of Social Science Fund of Beijing, China",9.0,UCD Institutional Postdoctoral Research Training Program,4.0,Rochester,6.0,,,Michael Calnan,6
Clinical and Translational Science Award (CTSA) program,9.0,Comparative Political Dataset,4.0,University of Freiburg,5.0,,,Matthew Notowidigdo,6
Cancer Institute NSW,9.0,Science and Orthodoxy around the World,4.0,Faculty of Economics,5.0,,,Adam McCloskey,6
The Health Foundation,9.0,Center for Migration and Development,4.0,University of Miami Miller School of Medicine,5.0,,,Rory McVeigh,6
"Forskningsradet om Halsa, Arbetsliv och Valfard",9.0,EURAGE,4.0,Institute of Translational Health Science (ITHS),5.0,,,Rozalind Rideout,6
CIHR Canadian HIV Trials Network,9.0,USC Center on Child Welfare,4.0,Pompeu Fabra,5.0,,,Brent Simpson,6
Consejo Nacional de Ciencia y Tecnologia,9.0,Health@Work EU-project meeting in Thessaloniki,4.0,USC School of Social Work,5.0,,,Chirok Han,6
"Dutch Ministry of Health, Welfare and Sport",9.0,WISERD,4.0,University of Granada in Spain,5.0,,,I. Van Keilegom,6
Scuola Normale Superiore,9.0,YoungDads TV,4.0,Social Networks,5.0,,,Hector Carrillo,6
Simons Foundation Autism Research Initiative,9.0,Uncertain Futures: Managing Late Career Transitions and Extended Working Life,4.0,Stony Brook,5.0,,,William Julius Wilson,6
Seventh Framework Programme (FP7/2007-2013),9.0,IZA/OECD/Worldbank Conference on Safety Nets and Benefit Dependence: Evidence and Policy Implications (Paris,4.0,Connaught New Researcher Award,5.0,,,Sharon Kaufman,6
Florida Department of Transportation,9.0,Anno et al.,4.0,Faculty Development Award,5.0,,,Kate Winskell,6
European Society for Population Economics,9.0,Barnardo's,4.0,Duncan Family Institute for Cancer Prevention and Risk Assessment,5.0,,,Toni Schmader,6
Fundamental Research Funds for the Central Universities in China,9.0,HiNEWS (Health Inequalities in European Welfare States),4.0,Faculty of Liberal Arts and Professional Studies,5.0,,,Ori Heffetz,6
Fondo Nacional de Desarrollo Cientifico y Tecnologico (FONDECYT),9.0,LP0883398 Managing Risk with Insurance and Superannuation as Individuals Age,4.0,University of Nebraska Omaha,5.0,,,Paolini,6
Bureau of Labor Statistics,9.0,2017 Asian Meeting of the Econometric Society,4.0,"University of Wisconsin, Madison",5.0,,,Sabine Walper,6
Comision Nacional de Investigacion Cientifica y Tecnologica de Chile (CONICYT),9.0,"Research Initiative ""Modelisation des",4.0,James L. Curtis School of Social Work Research and Training Center,5.0,,,Domingo Gallego,6
Australian Research Council DECRA Fellowship,9.0,Exponent,4.0,University of Sao Paulo,5.0,,,Donald Tomaskovic-Devey,6
Australian National Preventive Health Agency Fellowship,9.0,program on Mathematics of Information Technology and Complex Systems (MITACS)],4.0,University of Washington (UW),5.0,,,John Hardin,6
European Commission Seventh Framework Programme,9.0,NETSCC,4.0,UTS,5.0,,,Pamela Macintyre,6
Banque de France,9.0,Health Economics Research Unit,4.0,Trustees of the University of Pennsylvania,5.0,,,Hossein Haji Ali Afzali,6
National Breast Cancer Foundation,9.0,IAAE 2017,4.0,University of Missouri-Columbia,5.0,,,Lisa R. Metsch,6
7th Framework Programme (SHARE-PREP,9.0,Support Housing First Implementation,4.0,Massey University,5.0,,,Jennifer Jennings,6
PHS,9.0,Trimbos-institute,4.0,Institute of Psychiatry,5.0,,,Antina de Jong,6
Bank of Spain,9.0,Compositional and Spatial Data Analysis (COSDA)',4.0,University of Montana,5.0,,,Victor Aguirregabiria,6
UK's Economic and Social Research Council (ESRC),9.0,Research Project on Child Sexual Abuse,4.0,"Academic Senate of the University of California, Santa Barbara",5.0,,,Jacob Weisdorf,6
Ministry of Science and Innovation of Spain,9.0,"Research Chair in Gender, Work and Health",4.0,School of Business,5.0,,,David Cella,6
"Ministry of Education, Singapore",9.0,Greenwall Faculty Scholars Award,4.0,SONIC Lab,5.0,,,Stephen Sapp,6
National Institute of Health (NIH),9.0,Medtronic Philanthropy,4.0,University of Kansas Office of International Programs,5.0,,,Eric-Jan Wagenmakers,6
Commonwealth Scholarship Commission,9.0,Rural Urban Migration in China (RUMiC),4.0,Georg Forster Fellowship for Postdoctoral Researchers,5.0,,,Agustin Fuentes,6
Emmy Noether Research Group,9.0,Families in Transition,4.0,"Nanyang Technological University, Singapore",5.0,,,Jean-Pierre Urbain,6
Zhejiang Provincial Natural Science Foundation of China,9.0,ADAPOF,4.0,"University of Bergen, Norway",5.0,,,Walker Hanlon,6
Victorian State Government,9.0,BSA,4.0,"University of Colorado, Boulder",5.0,,,Cormac O Grada,6
European FEDER Fund,9.0,2014 North American Summer Meeting of the Econometric Society,4.0,Beit Berl College,5.0,,,Miguel Nino-Zarazua,6
Fonds de recherche du Quebec-Sante (FRQ-S),9.0,CWS,4.0,Swiss Finance Institute (SFI),5.0,,,Drew Fudenberg,6
Royal Geographical Society,9.0,Canadian Political Science Association,4.0,HEC Lausanne,5.0,,,Lynn Smith-Lovin,6
"Fundacao para a Ciencia e a Tecnologia, Portugal",9.0,International Conference on Panel Data,4.0,ZEW,5.0,,,Richard Baldwin,6
Danish Research Council,9.0,Brain Research Program,4.0,"KU Leuven, Belgium",5.0,,,Christian List,6
Italian MIUR,9.0,Longitudinal Employer-Household Dynamics Program,4.0,University of North Carolina at Greensboro,5.0,,,Emanuele Felice,6
Ministry of Education of Spain,9.0,RENERGI program,4.0,Queensland University of Technology (QUT),5.0,,,Rajeev Dehejia,6
Centre for Diet and Activity Research (CEDAR),9.0,"DG EMPL occasional seminar (Brussels, 2013",4.0,University of California Office of the President,5.0,,,Rayna Rapp,6
CONRAD,9.0,Devolved perspectives on the UK government's welfare reform agenda,4.0,"Institute for Social Research, Oslo",5.0,,,Jeffrey Racine,6
Lois,9.0,IDoC project,4.0,University of Wisconsin-Madison Social Science Computing Cooperative,5.0,,,Miklos Pinter,6
China Medical Board,9.0,Institutional Responses to Child Sexual Abuse,4.0,"National University of Ireland, Galway",5.0,,,Yusaku Horiuchi,6
Seattle Children's Hospital,9.0,FEDER,4.0,Scientific Research Foundation of Graduate School of Southeast University,5.0,,,Devah Pager,6
Department of Justice,9.0,US Census Bureau,4.0,Institute for Policy Research,5.0,,,Tim Goedeme,6
National Council on Family Relations,9.0,Statistics Council,4.0,Warwick University,5.0,,,Gregor Kastner,6
Grant-in-Aid for JSPS Fellows,9.0,2017 China Meeting of the Econometric Society,4.0,Shanghai Jiao Tong University,5.0,,,Stephen Brown,6
British Academy Mid-Career Fellowship,9.0,How Housing Matters,4.0,Indiana University School of Medicine,5.0,,,Howell Tong,6
European Cooperation in Science and Technology),9.0,Action for Prisoners' Families,4.0,Faculty of Social Science,5.0,,,Peter Tankov,6
China Family Panel Studies (CFPS),9.0,Federal Reserve Bank of San Francisco,4.0,University of Wageningen,5.0,,,Hans-Peter Blossfeld,6
Tryg Foundation,9.0,ROADMAP,4.0,University of California All Campus Consortium on Research for Diversity (UC/ACCORD,5.0,,,Wendy Cadge,6
ERC Advanced Grant,9.0,Discovery Project,4.0,Women's College Research Institute,5.0,,,Hidehiko Ichimura,6
Science Foundation Ireland,9.0,RCDM,4.0,DePaul University,5.0,,,Evelinn A. Borrayo,6
NSERC Discovery Grant,9.0,S3 Project,4.0,University of Maryland-Baltimore School of Social Work,5.0,,,Deborah Gioia,6
"Ministry of Business, Innovation and Employment",9.0,IWH Workshop on Quality of Work 2011,4.0,Florida International University,5.0,,,Dana,6
National Institute for Child Health and Human Development,9.0,2014 Academy Health Workshop on Improving the Translation and Dissemination of Health Services Research,4.0,University Park,5.0,,,Jialiang Cui,6
Leverhulme Trust Early Career Fellowship,9.0,Communicating Outlooks for a New Global Religion and Science Synergy: The Interpretative Challenge,4.0,Portland State University,5.0,,,Kris Inwood,6
German Federal Ministry of Education and Research (BMBF,9.0,Projet d'Actions de Recherche Concertees' (ARC) 11/16-039,4.0,University Paris Dauphine,5.0,,,Laura Abrams,6
ARC Discovery Project,9.0,Agrourban sustainability,4.0,Harvard Academy for International and Area Studies,5.0,,,Jan Kallsen,6
ISI Foundation,9.0,EFSA Working Group on Risk Assessment for Salmonella in Pigs,4.0,University of Oregon Richard A. Bray Faculty Fellowship,5.0,,,Dr. Wilson,6
Banting Postdoctoral Fellowship,9.0,ACT (Assets Coming Together) for Youth Project,4.0,Universite Laval,5.0,,,Douglas Massey,6
5th Framework Programme,9.0,Research Ethics Committees: Help or Hindrance?,4.0,Center for Education for Shared Society,5.0,,,Jun Cai,6
Cincinnati Children's Hospital Medical Center,9.0,PUC-Rio,4.0,University of Louisville School of Medicine,5.0,,,Yoann Potiron,6
National Consortium for the Study of Terrorism and Responses to Terrorism (START),9.0,Metropolitan Nashville Arts Commission,4.0,Maryland Population Research Center,5.0,,,Paul J. Fleming,6
Australian Bureau of Statistics (ABS),8.0,Weathering the crisis,4.0,University of Western Sydney,5.0,,,Ross Jacobucci,6
National Science Foundation grant,8.0,"HDCA 2014 Conference, Athens",4.0,Geography Department,5.0,,,Jonathan Temple,6
CAPES Foundation,8.0,Social Service Review,4.0,Vanderbilt University's College of Arts and Science,5.0,,,Omar Lizardo,6
Canadian Partnership Against Cancer,8.0,Coincidence Analysis,4.0,ICPSR,5.0,,,Markus Eberhardt,6
Thailand Research Fund,8.0,ANRS,4.0,University of Durham,5.0,,,Ami Asher,6
"National Centre of Competence in Research ""Financial Valuation and Risk Management",8.0,2013-2015 Electoral Cycle,4.0,University of Nebraska Medical Center,5.0,,,Patricia Chamberlain,6
Office of Research on Women's Health (ORWH),8.0,"Robert Doisneau secondary school in Dammarie-les-lys (Ile-de-France, France",4.0,Harvard University Milton Fund,5.0,,,Olivier Ferlatte,6
National Research Foundation (NRF) of South Africa,8.0,MIUR PRIN project MISURA-Multivariate Statistical Models for Risk Assessment,4.0,Boston Children's Hospital,5.0,,,Xiao Chen,6
EU 7th Framework Programme,8.0,New York Camp Econometrics V,4.0,Ontario Graduate Scholarships,5.0,,,Morton Beiser,6
Leverhulme Trust Research Fellowship,8.0,Istat,4.0,University Research Priority Program Social Networks,5.0,,,Chan S. Suh,6
Norwegian Financial Mechanism 2009-2014,8.0,"CHILD-Collegio Carlo Alberto, Moncalieri",4.0,Universitat,5.0,,,Daniel Schrage,6
Economic and Social Research Council UK,8.0,HMSO,4.0,Catholic University of Milan,5.0,,,Matias Fernandez,6
Office for Civil Society (OCS),8.0,eFrame-Project,4.0,"Max Planck Institute for the Study of Societies, Cologne",5.0,,,Jeylan Mortimer,6
WZB Berlin Social Science Center,8.0,Taub Center,4.0,KVC Kansas,5.0,,,Ayelet Fishbach,6
NHMRC Fellowship,8.0,cemmap,4.0,Howard Hughes Medical Institute,5.0,,,Diego Puga,6
Chinese Scholarship Council,8.0,APRN,4.0,Manuscript Library,5.0,,,Oka,6
Korea Foundation,8.0,innovative Professional Development Model and its Effectiveness for Improving Early Childhood Program Quality and Enhancing Children's Learning and Development,4.0,St. Petersburg State University,5.0,,,Richard Alba,6
U.S. Census Bureau,8.0,Duke Financial Econometrics Lunch Group,4.0,Heidelberg University,5.0,,,Amin Ghaziani,6
"NSFC, China",8.0,IACA Colloquia,4.0,Kellogg School of Management,5.0,,,Richard Taulke-Johnson,6
Investigator in Health Policy Research,8.0,"17th Danish Public Choice Workshop (Copenhagen, 2016",4.0,Liverpool John Moores University,5.0,,,Robert Kurzban,6
U.S. Agency for International Development,8.0,IKEA,4.0,Cultural Psychology Research Group,5.0,,,Philip Protter,6
Programme Grants for Applied Research scheme,8.0,Sixty-Third Annual Summer Conference of the Institute on Religion in an Age of Science (IRAS),4.0,Sciences Po,5.0,,,Salvador Barbera,6
STATEC (Luxembourg),8.0,Longitudinal Care Work,4.0,Yale Medical Scientist Training Program,5.0,,,K.B.,6
Charity Commission,8.0,Revisioning gender: complex inequalities and global dimensions,4.0,Penn State Population Research Institute,5.0,,,Daniel Sulmasy,6
Brazilian National Council for Scientific and Technological Development (CNPq),8.0,Knowledge for Change Program,4.0,James Cook University,5.0,,,Sharon Kessels,6
Framework Program for the Promotion of Empirical Educational Research,8.0,Dad and Partner Pay scheme,4.0,Sustainable Consumption Institute,5.0,,,Zorana Grbac,6
IAP Research Network,8.0,Grading of Recommendations Assessment,4.0,Inter-University Consortium for Political and Social Research,5.0,,,Amanda Thompson,6
Social Sciences and Humanities Research Council Insight Development Grant,8.0,Substantiation of Child Abuse and Neglect Reports Project,4.0,Loyola University Chicago,5.0,,,Andrew Shuman,6
National Foundation of Social Science of China,8.0,CIGI,4.0,University of Lund,5.0,,,Georgina Charlesworth,6
Doctoral Dissertation Research Improvement Grant,8.0,Rural Sociological Society,4.0,University of St Andrews,5.0,,,Sylvia Fruhwirth-Schnatter,6
Research Foundation-Flanders,8.0,Human Nutrition Division,4.0,Lakehead University,5.0,,,Ben Cornwell,6
Lise Meitner Research Fellowship,8.0,Parteneriat strategic pentru cresterea calitatii cercetarii stiintifice din universitatile medicale prin acordarea de burse doctorale si,4.0,NORC,5.0,,,Matt Jackson,6
Eurostat,8.0,CNICS,4.0,The University of Iowa,5.0,,,S. Marie Harvey,6
W.T. Grant Foundation,8.0,Family Life Project,4.0,Carnegie Trust for the Universities of Scotland,5.0,,,Anne George,6
Ecosystem Services for Poverty Alleviation (ESPA) programme,8.0,Emerging Scholar Roundtable at ARNOVA,4.0,Ohio University,5.0,,,Federico Bugni,6
"Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA)",8.0,Changing Lives of Older Couples,4.0,Harvard Center for Population and Development Studies,5.0,,,Jeremy Atack,6
Humanity and Social Science Youth Foundation of Ministry of Education of China,8.0,Sociology of Health and Illness,4.0,ESRC Impact Acceleration Account Block Award,5.0,,,Reckin,6
NIH Director's New Innovator Award Program,8.0,SNU Workshop on Advances in Microeconometrics,4.0,University Hospitals Birmingham NHS Foundation Trust,5.0,,,Yixiao Sun,6
Dutch Organization for Scientific Research,8.0,CHES,4.0,American Institute of Bisexuality,5.0,,,C. Roberts,6
"Ministry of Health, Welfare and Sport",8.0,UCT URC Grant,4.0,Zonta Club of Busselton,5.0,,,Dukpa Kim,6
European Food Safety Authority (EFSA),8.0,"Investments for the Future"" program",4.0,Wisconsin Longitudinal Study,5.0,,,Fedor Dokshin,6
Massachusetts Department of Children and Families,8.0,Inspires programme,4.0,"College of Family, Home, and Social Sciences",5.0,,,Ragnar Lofstedt,6
Wellcome Trust Small Research Grant,8.0,Medical Ethics,4.0,"Griffith University, Australia",5.0,,,Matias Nunez,6
FDA Center for Tobacco Products (CTP),8.0,SHARE-LEAP,4.0,Institute for New Economic Thinking (INET),5.0,,,Mick Couper,6
Humanities and Social Sciences Prestigious Fellowship Scheme,8.0,Generali Chair,4.0,09SGR102-Generalitat de Catalunya,5.0,,,Paul Aylward,6
Deutsche Forschungsgemeinschaft DFG,8.0,Report on Health Reform Implementation,4.0,University of Lethbridge,5.0,,,Yoosoon Chang,6
FCT-Foundation for Science and Technology,8.0,IDA programme,4.0,Cornell Population Center,5.0,,,Frank Smets,6
Discovery Early Career Research Award,8.0,Career Development Award Level 2,4.0,Open University of Israel Research Fund,5.0,,,Ernst Eberlein,6
Welsh Assembly Government,8.0,ECARES,4.0,Department of Economics and Business,5.0,,,Thomas Manning,6
Japanese Society for the Promotion of Science Grant-in-Aid for Young Scientists,8.0,CIVISTI-AAL,4.0,Malmo University,5.0,,,S. Haddock,6
Third Coast Center for AIDS Research,8.0,Assessing the impact of Diagnosis-Related Groups,4.0,Sogang University Research Grant of 2013,5.0,,,Jean Tirole,6
Canadian Cancer Society Research Institute,8.0,Partners for Our Children,4.0,University Research Priority Program,5.0,,,Daniel Tirado,6
NIH Roadmap for Medical Research,8.0,"Star Island, New Hampshire",4.0,St Andrews,5.0,,,John Randolph,6
NIH/NICHD,8.0,LISS (Longitudinal Internet Studies for the Social sciences,4.0,Erasmus Medical Center,5.0,,,Smith,6
European Community's Seventh Framework Program (FP7/2007-2013),8.0,CESIfo,4.0,"King Abdulaziz University, Jeddah",5.0,,,Renee,6
Deutsche Bundesbank,8.0,2009 Far East,4.0,ISIK University,5.0,,,Molly Martin,6
