index,id,txt,GRNB,FUND,IND,UNI,COR,MISC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1607,14891474,The authors are grateful to anonymous reviewers for their useful comments and suggestions on improving this paper.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1608,14891474,""The work is supported by National Natural Science Foundation of China (Grant Nos. 61174022, 61573290, 61503237)."",61174022";61573290;61503237,National Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1609,14892212,""Department of Agriculture, Food and the Marine, Ireland";" Research Stimulus Fund (RSF), Grant/Award Number: 11.S.151."",11.S.151,""Research Stimulus Fund (RSF)";"Department of Agriculture, Food and the Marine"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1610,14910223,""This work was supported by National Natural Science Foundation of China (NO. 11601143, 1573003), A Key Project Supported by Scientific Research Fund of Hunan Provincial Education Department (15A038) and NSERC Canada."",11601143";15A038;1573003,National Natural Science Foundation of China;Scientific Research Fund of Hunan Provincial Education Department;NSERC Canada,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1611,14953736,""This work was supported by the FARB 2012 Grant (Finanziamenti di Ateneo alla ricerca di base, University of Bologna) RFBO120993 'Visual Awareness Lost and Found' and by the FIRS 2013 Grant (Fondo per gli Investimenti della Ricerca di Base-Futuro in Ricerca, Italian Ministry of Education, Universities and Research) RBFR136E24."",RFBO120993";"RBFR136E24,""FIRS 2013 Grant";Fondo per gli Investimenti della Ricerca di Base-Futuro in Ricerca;"Italian Ministry of Education, Universities and Research"",,University of Bologna";FARB 2012 Grant;Finanziamenti di Ateneo alla ricerca di base,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1612,14955256,We are thankful to Dr. Neelja Singhal for her valuable comments in article preparation.,,,Neelja Singhal,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1613,14955256,B.K. is a recipient of ICMR-SRF (Grant No. BIC/11(33)/2014) and R.K. was supported by UGC-SRF (20-12/2009(ii)EU-IV).,20-12/2009(ii)EU-IV;BIC/11(33)/2014,UGC-SRF;ICMR-SRF,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1614,15000110,We thank Dr. Brian L. Allman for his review of this manuscript.,,,Brian L. Allman,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1615,15000110,This study was supported by NIH grant NS 039460 (MAM).,NS 039460,NIH,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1616,15050258,""The research presented in this paper was sponsored by a grant from National Key Technologies Research & Development Program (2017YFC0804900, 2017YFC0804904), a grant from National Science Foundation of China (Grant No. 51479158), a grant from the Hubei Natural Science Foundation (Grant No. 2017CFB202) and the Hong Kong Scholar Program (NO.2017XJ064)."",2017YFC0804904";2017YFC0804900;2017CFB202;51479158;2017XJ064,Hubei Natural Science Foundation;National Science Foundation of China;Hong Kong Scholar Program;National Key Technologies Research & Development Program,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1617,15064808,""This work has been supported by the German Federal Ministry for Eduction and Research (BMBF) within the collaborative research project """"HighPerMeshes"""" (011HI160054)."",011HI160054,German Federal Ministry for Eduction and Research (BMBF),,,,HighPerMeshes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1618,15082264,The authors thank the Mexican National Science and Technology Council (CONACYT) for financial support under Grant 250611.,250611,Mexican National Science and Technology Council (CONACYT),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1619,15086033,""For insightful comments on this manuscript, we thank Ana Carmen Duran and Matias Hidalgo-Sanchez."",,,Ana Carmen Duran";Matias Hidalgo-Sanchez,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1620,15086033,We express our gratitude to Maria Salud Holguin-Arevalo for the excellent technical assistance and Manuel Ramirez for assistance with the Nikon Eclipse E600 microscope.,,,Maria Salud Holguin-Arevalo;Manuel Ramirez,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1621,15086033,R. B. E. was a recipient of a PhD studentship from the Junta de Extremadura.,,Junta de Extremadura,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1622,15086033,This work was supported by Grants from the Spanish Ministerio de Ciencia y Tecnologia (BFU2007-67540) and Junta de Extremadura (PRI06A195).,PRI06A195;BFU2007-67540,Spanish Ministerio de Ciencia y Tecnologia;Junta de Extremadura,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1623,15088502,This paper uses unit record data from Growing Up in Australia: The Longitudinal Study of Australian Children (LSAC).,,Growing Up in Australia: The Longitudinal Study of Australian Children (LSAC),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1624,15088502,""The LSAC study is conducted in partnership between the Department of Social Services (DSS), the Australian institute of Family Studies (AIFS) and the Australian Bureau of Statistics (ABS)."",,Department of Social Services (DSS)";Australian institute of Family Studies (AIFS);Australian Bureau of Statistics (ABS),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1625,15088502,""The findings and views reported in this paper are those of the authors and should not be attributed to the DSS, AIFS, or the ABS."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1626,15088502,This study was supported by ARC Discovery Project DP130102488 Being and becoming musical: Toward a cultural ecological model of early musical development (Barrett & Welch 2013-2015).,DP130102488,ARC Discovery Project,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1627,15102234,""This research is supported by National key research and development program of China (2016YFC1402606), National Natural Science Foundation of China (41490640, 41521091, U1606402, and 41527901), and Aoshan Program supported by Pilot National Laboratory for Marine Science and Technology (Qingdao) (2015ASKJ01, 2017ASKJ01, and 2017ASTCPES05)."",2017ASTCPES05";41490640;41521091;2015ASKJ01;U1606402;41527901;2017ASKJ01;2016YFC1402606,Pilot National Laboratory for Marine Science and Technology (Qingdao);National Natural Science Foundation of China;National key research and development program of China;Aoshan Program,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1628,15102234,H. Y. is partially supported by the Chinese Scholarship Council.,,Chinese Scholarship Council,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1629,15102234,""The ECCO2 and AVISO products used this study can be obtained through the URL http://apdrc.soest.hawaii.edu/data/ and http://www.aviso.oceanobs.com/, respectively."",,,,,,ECCO2";AVISO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1630,15102234,The authors wish to thank Ru Chen for providing the program to calculate the oceanic density field.,,,Ru Chen,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1631,15135912,""This work was jointly supported by National Natural Science Foundation of China under Grant nos. 61272034 and 11301226, Zhejiang Provincial Natural Science Foundation of China under Grant nos. LY13F030012 and LQ13A010017."",61272034";LQ13A010017;11301226;LY13F030012,National Natural Science Foundation of China;Zhejiang Provincial Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1632,15143536,""The authors gratefully acknowledge CODESP (Port Authority of Santos), represented by the company's president Jose Alex Botelho de Oliva, for sponsoring this study and Mr. Geraldes from Zenith Consultores Maritimos for his valuable advices and practical experience which contributed significantly to the development of this work."",,,Jose Alex Botelho de Oliva";Geraldes,,CODESP (Port Authority of Santos);Zenith Consultores Maritimos,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1633,15143536,""In addition, we wish to thank Professor Celso Pupo Pesce for the many relevant comments which helped us to improve the quality of the article."",,,Celso Pupo Pesce,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1634,15143536,Third author thanks the National Council for Scientific and Technological Development (CNPq process 304784/2017-6) for the research grant.,304784/2017-6,National Council for Scientific and Technological Development;CNPq,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1635,15156409,This research was supported by PIP CONICET 2013 and PICT (2012-0436).,2012-0436,PICT;PIP CONICET 2013,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1636,15157700,""This work was supported by a Grant-in-Aid for Health Sciences Research by the Ministry of Health, Labor and Welfare of Japan (Grant Number: H29-Seisaku-Shitei-010) and a KAKENHI Grant-in-Aid for Scientific Research by the Japan Society for the Promotion of Science (Grant Number: JP17H04144)."",H29-Seisaku-Shitei-010";"JP17H04144,""Ministry of Health, Labor and Welfare of Japan";Grant-in-Aid for Health Sciences Research;KAKENHI Grant-in-Aid for Scientific Research;"Japan Society for the Promotion of Science"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1637,15186644,SJK is funded by an NH&MRC Peter Doherty Fellowship #1091586.,1091586,NH&MRC Peter Doherty Fellowship,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1638,15186644,This project was supported by NH&RMC project grant #1023972.,1023972,NH&RMC project,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1639,15186644,""The NH&MRC had no involvement in the design, execution or analysis of the study."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1640,15197300,We thank the reviewers for their comments.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1641,15197300,""This research was supported by National Natural Science Foundation of China (No. 21177158 and 51203016), National High Technology Research and Development Program of China (No.SS2012AA110301 and 2013AA110103), the Science and Technology Development Planning of Jilin Province (No.20140520087JH) and Doctoral Fund of Ministry of Education of China (No. 20130043120008)."",20130043120008";SS2012AA110301;2013AA110103;20140520087JH;21177158;51203016,Ministry of Education of China;National High Technology Research and Development Program of China;Science and Technology Development Planning of Jilin Province;National Natural Science Foundation of China;Doctoral Fund of Ministry of Education of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642,15197300,Program for New Century Excellent Talents in University (NCET-12-0816).,NCET-12-0816,Program for New Century Excellent Talents in University,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1643,15219471,""This research is supported by Shenzhen Basic Research Project JCYJ20170815161054349, National Natural Science Foundation of China Grant No. 51705429 and the Fundamental Research Funds for the Central Universities No. 31020170QD070."",51705429";JCYJ20170815161054349;31020170QD070,National Natural Science Foundation of China;Shenzhen Basic Research Project;Fundamental Research Funds for the Central Universities,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1644,15248024,""Funding was obtained from the following sources: Boise Trust Fund, Calleva Foundation, Royal Society, Excellence Initiative of Aix Marseille University (No.ANR-11-IDEX-0001-02, No.10-LABX-0090), and the European Research Council (ERC, No. 715069-FINDER-ERC-2016-STG)."",715069-FINDER-ERC-2016-STG";ANR-11-IDEX-0001-02;10-LABX-0090,Boise Trust Fund;Calleva Foundation;Royal Society;European Research Council,,Excellence Initiative of Aix Marseille University,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1645,15248024,""I am grateful for assistance and advice from Peter Berridge, Paul Berridge, Ian Cartwright, Simon Collcutt, Mathieu Coulon, Alison Freyne, Michael Haslam, Julius Koll, and Alison Roberts."",,,Peter Berridge";Paul Berridge;Ian Cartwright;Simon Collcutt;Mathieu Coulon;Alison Freyne;Michael Haslam;Julius Koll;Alison Roberts,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1646,15248689,""This study was funded by the Education Research Funding Programme, National Institute of Education, Nanyang Technological University, Singapore, project no. OER 8/13 CWH."",OER 8/13 CWH,,""Education Research Funding Programme, National Institute of Education, Nanyang Technological University, Singapore"",,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1647,15248689,The views expressed in this paper are the author's and do not necessarily represent the views of NIE.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1648,15271574,""This work was supported by the National Science Foundation of China (No. 91546106, 41371377)."",41371377";91546106,National Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1649,15281479,""This project was made possible by a partnership between the University of Minnesota's Leadership in Education and Neurodevelopmental Disorders (LEND) program, funded by the Maternal and Child Health Bureau (MCHB) of the U.S. Department of Health and Human Services [grant number #T73MC12835-03-00], and the Minnesota Department of Health (MDH), with funding from the Early Childhood Comprehensive Systems (ECCS) Grant awarded to MDH from the Health Resources and Services Administration (HRSA) of the U.S. Department of Health and Human Services (HHS) [grant number H25MC00276]."",H25MC00276";T73MC12835-03-00,Maternal and Child Health Bureau (MCHB) of the U.S. Department of Health and Human Services;Minnesota Department of Health (MDH);Early Childhood Comprehensive Systems (ECCS) Grant,,University of Minnesota's Leadership in Education and Neurodevelopmental Disorders (LEND) program,,Health Resources and Services Administration (HRSA) of the U.S. Department of Health and Human Services (HHS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1650,15285799,""This work was supported by Collaborative Research and Development Grant-Project 445451-12 from the Natural Sciences and Engineering Research Council of Canada and Trojan Technologies, with supplementary funding from the Strategic Cooperative Education Incentive Program of Nova Scotia and Trojan Technologies."",445451-12,Natural Sciences and Engineering Research Council of Canada";Strategic Cooperative Education Incentive Program of Nova Scotia,,,Trojan Technologies,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1651,15300778,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: C. S. would like to thank the AHRC for the Rethinking the Senses Grant (AH/ L007053/1)."",AH/ L007053/1,AHRC";Rethinking the Senses Grant,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1652,15387494,The authors would like to acknowledge grant support from National Institute on Drug Abuse (DA017949 TG).,DA017949,National Institute on Drug Abuse,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1653,15411910,""The authors wish to thank the Department of Science and Technology (TSDP), Ministry of Science and Technology, Government of India for funding the research through the order DST/TSG/ICT/2015/54-G."",DST/TSG/ICT/2015/54-G,Department of Science and Technology (TSDP)";Ministry of Science and Technology;Government of India,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1654,15411910,""The authors also wish to acknowledge the authorities of Karunya Institute of Technology and Sciences, India for supporting the research work."",,,,""Karunya Institute of Technology and Sciences, India"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1655,15439568,""This work was supported by a European Research Council Grant (to DSS), a UCL Graduate School Bridging Fund (to CM), a Royal Society Wolfson Research Merit Award (to MIS), and NIH RO1 MH 081990 (to MIS)."",RO1 MH 081990,European Research Council Grant";Royal Society Wolfson Research Merit Award;NIH,,UCL Graduate School Bridging Fund ,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1656,15441877,This research was partially supported by the National Natural Science Foundation of China (NSFC) under grant No. 61503092 and by the Tencent Project under grant CCF-Tencent IAGR20160115.,CCF-Tencent IAGR20160115;61503092,Tencent Project;National Natural Science Foundation of China (NSFC),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1657,15468811,""The authors acknowledge funding provided by the NSFC Zhejiang Joint Fund for the Integration of Industrialization and Informatizaton (U1609206), the Zhejiang Basic Public Welfare Research Project (LGG18E070007) and Major Project and Key S&T Program of Ningbo (2017B10014)."",2017B10014";LGG18E070007;U1609206,Major Project and Key S&T Program of Ningbo;Zhejiang Basic Public Welfare Research Project;NSFC Zhejiang Joint Fund for the Integration of Industrialization and Informatizaton,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1658,15479616,""Support from the Agricultural and Food Research Initiative of the National Food and Agriculture Institute, USDA (grant #2016-67023-24807), is gratefully acknowledged."",2016-67023-24807,,,""Agricultural and Food Research Initiative";"National Food and Agriculture Institute, USDA"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1659,15479616,""The authors acknowledge helpful comments from Sophia Berto Villas-Boas, Andrew Rhodes, Howard Smith, Celine Bonnet, and Zohra Bouamra-Mechemache."",,,Sophia Berto Villas-Boas";Andrew Rhodes;Howard Smith;Celine Bonnet;Zohra Bouamra-Mechemache,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1660,15479616,All errors are our own.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1661,15480082,The authors gratefully acknowledge the support provided by the National Natural Science Foundation of China (Grant No.51776155) and the Fundamental Research Funds for the Central Universities (Grant No. xjj2018203).,xjj2018203;51776155,Fundamental Research Funds for the Central Universities;National Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1662,15480082,Sincere thanks are due to the reviewer for the careful and valuable comments.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663,15502941,The authors gratefully acknowledge the insightful and valuable comments and suggestions received from the editor and the anonymous referees.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1664,15502941,The authors take responsibilities for any errors.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1665,15502941,""Financial support from the Deutsche Forschungsgemeinschaft via CRC 649 """"Economic Risk"""" and IRTG 1792 """"High Dimensional Non Stationary Time Series"""" in Humboldt-Universitat zu Berlin is also gratefully acknowledged."",IRTG 1792";CRC 649,Deutsche Forschungsgemeinschaft,,Humboldt-Universitat zu Berlin,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1666,15512880,""This work was funded by the Project """"NanoSTIMA: Macro-to Nano Human Sensing: Towards Integrated Multimodal Health Monitoring and Analytics/NORTE-01-0145-FEDER-000016"""" financed by the North Portugal Regional Operational Programme (NORTE 2020), under the PORTUGAL 2020 Partnership Agreement, and through the European Regional Development Fund (ERDF), and also by Fundacao para a Ciencia e a Tecnologia (FCT) within Ph.D grant number SFRH/BD/126224/2016."",SFRH/BD/126224/2016";NORTE-01-0145-FEDER-000016,Fundacao para a Ciencia e a Tecnologia (FCT);North Portugal Regional Operational Programme (NORTE 2020);PORTUGAL 2020 Partnership Agreement;European Regional Development Fund (ERDF),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1667,15530323,""This paper is supported by the NSFC (no.71402070, no.61101088), the NSF of jiangsu province (no. BK20161099), and the Opening Project of Key Lab of Information Network Security of Ministry of Public Security (no. C16604)."",71402070";C16604;BK20161099;61101088,NSFC;Opening Project of Key Lab of Information Network Security of Ministry of Public Security;NSF of jiangsu province,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1668,15544845,I thank two anonymous referees whose suggestions substantially improved the paper.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1669,15544845,""For helpful comments at various stages of the project, I thank Matthias Doepke, Roger Farmer, Junichi Fujimoto, Hanno Lustig, Lee Ohanian, Hajime Tomura, Pierre-Olivier Weill, and seminar participants at GRIPS, Tohoku University, National Taiwan University, Waseda University, Nagoya University, Taipei International Conference on Growth, Trade and Dynamics, DSGE Conference, Southern Economic Association Conference, and CEANA Conference."",,,Matthias Doepke";Roger Farmer;Junichi Fujimoto;Hanno Lustig;Lee Ohanian;Hajime Tomura;Pierre-Olivier Weill,Tohoku University;"Waseda University,,""GRIPS";Taipei International Conference on Growth, Trade and Dynamics;DSGE Conference;Southern Economic Association Conference;"CEANA Conference""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1670,15544845,Financial support from the Japan Society for the Promotion of Science (Kakenhi Grant No. JP16H07165) is gratefully acknowledged.,JP16H07165,Japan Society for the Promotion of Science;Kakenhi Grant,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1671,15562148,The project was funded by Jangsu Natural Science Foundation (BK20150711).,BK20150711,Jangsu Natural Science Foundation,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1672,15562148,Xi Chen and Kefeng Mao contribute equally to this paper.,,,Xi Chen;Kefeng Mao,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1673,15562148,This research is supported by Jiangsu Natural Science Foundation under Grant No. BK20150711 and National Science Foundation of China under Grant No. 11572351.,BK20150711;11572351,Jiangsu Natural Science Foundation;National Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1674,15578545,This research was supported by NIH 1R01MD004065 and P30 AI050410.,P30 AI050410;1R01MD004065,NIH,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1675,15599004,""The publication was prepared with the support of the RUDN University Program """"5-100"""""",5-100,RUDN University Program,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1676,15605498,This article is prepared with the support of the Russian Federation President Council on Grants (project HIII - 3792.2018.6),HIII - 3792.2018.6,Russian Federation President Council on Grants,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1677,15615212,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This study was supported in part by National Institute of Mental Health Grant R01 074737 to the first author."",R01 074737,National Institute of Mental Health,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1678,15615212,""The authors have also received grant funding from the National Institute of Mental Health, Substance Abuse and Mental Health Services Administration, and Centers for Disease Control, and they have received reimbursement for travel expenses related to project meetings, grant meetings, and clinical practice functions."",,National Institute of Mental Health";Substance Abuse and Mental Health Services Administration;Centers for Disease Control,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1679,15708882,""This work was supported by the National Key Basic Research Program of China under Grant No. 2014CB046400 and Natural Science Foundation of China under Grant No. 51475019, and their support is much appreciated."",2014CB046400";51475019,National Key Basic Research Program of China;Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1680,15721522,Azlyna Senawi gratefully acknowledges a scholarship from the Ministry of Higher Education Malaysia.,,Ministry of Higher Education Malaysia,Azlyna Senawi,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
