MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
Journees Louis-Andre Gerard-Varet in Aix-en-Provence,2.0,ROC,2.0,,,Innovative School Project in Higher Education of Guangdong Province of China,4.0,Calvin Morrill,4
 Istituto Nazionale di Alta Matematica (INdAM),2.0,Harvey Mudd College (De Laet,2.0,,,Erasmus,4.0,Pete Bass,4
Research Support Fund'),2.0,First Nations Development Institute,2.0,,,New Jersey Division of Mental Health and Addiction Services,4.0,Joon Park,4
AEA Meetings in San Francisco,2.0,Institute of Security and International Studies,2.0,,,United States Agency for International Development (USAID) Southern Africa,4.0,Asma Yusufi,4
Imagining and Regulating Ethnic and Religious Diversity in Turkey-Macro-configurations and Micro-dynamics,2.0,Los Angeles (UCLA) Quality of Graduate Education Supplemental Allocation Program,2.0,,,Land Personnel Management,4.0,Jinill Kim,4
Interdisciplinary Research on Policies Promoting Young People's Migration to and Permanent Residence in Local Cities,2.0,LSE Decision Sciences,2.0,,,Covered California,4.0,Jun,4
Foundational Reflections on Theology and Technology,2.0,Science and Technology Research Project of Shanghai Normal University,2.0,,,COMPETE2020-Programa Operacional Competitividade e Internacionalizacao (POCI),4.0,Pia Raffler,4
Annual CIRPEE Workshop,2.0,UPS Fund of Stanford University,2.0,,,DRDO-IISc Frontiers Research Programme,4.0,Enrico Biffis,4
IJDesign,2.0,CEW Riecker Graduate Student Research Grant,2.0,,,Program for New Century Excellent Talents in University,4.0,Elizabeth Dunn,4
Project A3-A,2.0,Columbia University British,2.0,,,Macquarie Research Excellent Scholarship,4.0,William Easterly,4
Research Informatics Shared Resource,2.0,"308 North Hall, Iowa City",2.0,,,General Research Fund of Hong Kong Research Grants Council (RGC),4.0,Hakan Thorn,4
Advisory Committee,2.0,University of California Berkeley Institute of International Studies,2.0,,,IAAE,4.0,Yannay Spitzer,4
REBISA (Biodiversity Research Network,2.0,"Department of Sociology and Social Work at Aalborg University, Copenhagen",2.0,,,AIDS Taskforce of Greater Cleveland,4.0,Cynthia Khan,4
Fulbright Scholars Program,2.0,University of Warwick Library Open Access Fund,2.0,,,South-Eastern Norway Regional Health Authority,4.0,Edgars Jakobsons,4
Business and Economic History Conference 2014,2.0,Grantham Institute (London,2.0,,,National Centre for Immunisation Research and Surveillance,4.0,Rhys Davies,4
Comparative Study on Online Game Use of Korean and Chinese Adolescents and Policy on Prevention of Addiction and Its Cure,2.0,Boston VA Medical Center,2.0,,,Vietnamese Government,4.0,Emily Rauscher,4
ITMS,2.0,Ottoman/Turkish Studies Seminar,2.0,,,Swiss National Science Foundation's National Research Program,4.0,Martin Burda,4
"Changes in the Governance of Garment Global Production Networks: Lead Firm, Supplier and Institutional Responses to the Rana Plaza Disaster",2.0,"Fudan University, Shanghai, China",2.0,,,Ontario Public Health Units,4.0,Aprajit Mahajan,4
Gender Equality,2.0,Center for Interdisciplinary Research (ZIF) in Bielefeld,2.0,,,CAREER,4.0,Sue Grieshaber,4
Evaluation of the Role and Impact of Innovative Models of Interfacing between the NHS and Children's Social Care to improve outcomes for Children at Risk of Abuse and Neglect,2.0,Anthropology Department of SUNY Buffalo,2.0,,,"Consejeria de Innovacion, Ciencia y Empresa (Junta de Andalucia)",4.0,Sara Green,4
"Span and Scope of Banks, Stability and Regulation",2.0,"Aston Centre for Europe at Aston University, Birmingham, United Kingdom",2.0,,,"Office for Victims of Crime, Office of Justice Programs",4.0,Clement de Chaisemartin,4
"Poverty, fundamental needs and public policy",2.0,Swick Faculty Research Fund,2.0,,,Chronic Disorders of Consciousness' (CDoC) Research Centre,4.0,Daniel Linders,4
JSK,2.0,Deutsche Bundesbank,2.0,,,International Partnership Development Fund,4.0,Phyllis Butow,4
30th APHES conference,2.0,"School of Planning, Design, and Construction (SPDC)",2.0,,,Danish Council for Independent Research in the Humanities,4.0,Bob Brulle,4
Master Subject Index,2.0,City of Paris,2.0,,,Iowa City VAMC,4.0,Edward Walker,4
9th York Econometrics Symposium in 2016,2.0,Ethics Committee,2.0,,,Statistical Modeling in Psychology,4.0,Jemima Organ,4
la dimension rural-urbana del voto,2.0,Fetal Treatment Center of the catholic University of Leuven in Belgium,2.0,,,Caesar's foundation,4.0,Annette Scherpenzeel,4
Hopkinton Conference Working Group on Workplace Disability Prevention,2.0,University of Calgary Faculty of Kinesiology Seed Grant,2.0,,,NYS Kinship Navigator program,4.0,Arthur Kleinman,4
New Spaces for Collaboration between Science and Practice in the Social and Spatial Sciences,2.0,Eastern Kentucky University Fellow Program,2.0,,,Commonwealth Government of Australia,4.0,Kristoffer Nimark,4
EconomiX,2.0,Duke of Marlborough,2.0,,,Prospect Hill Foundation,4.0,Yokota,4
HCHS/SOL,2.0,Harvard Career Incubator Fund,2.0,,,"Development of Psychopathology, Psychobiology & Behavior",4.0,Philip A. Fisher,4
CITSEE,2.0,Harward Center for Community Partnerships at Bates College,2.0,,,Naringslivets Foundation,4.0,Ernest Asante,4
Recognition and Homosexuality: The Socio-Cultural Status of Same-Sex Relations in India,2.0,Wisconsin Longitudinal Study (WLS) Pilot Grant Program,2.0,,,Centre jeunesse de Montreal-Institut universitaire (CJM-IU),4.0,Ko,4
30th Annual Meeting of the International Society for Traumatic Stress Studies in Miami,2.0,Centre for Genetics Education,2.0,,,FP7-CP-FP,4.0,Myra Marx Ferree,4
Workshop on Portfolio dynamics,2.0,Business Intelligence Research Center,2.0,,,New Zealand Health Research Council,4.0,Jessica Halliday Hardie,4
Zuid-Holland West,2.0,UM,2.0,,,"NIDA, NICHD, NHLBI, NIA",4.0,Patrick Richard,4
IES or Educational Testing Service,2.0,Hargrett Rare Book and Manuscript Library,2.0,,,Ohio Department of Transportation,4.0,Yushi Jiang,4
Farmer Agroecology,2.0,"Science and technology development fund of Nanjing Medical University, China",2.0,,,Mathematisches Forschungsinstitut Oberwolfach (MFO),4.0,Ya-Wen Lei,4
2015 International Meeting on Experimental Social Sciences Conference in Toulouse,2.0,University Seminar in Economic History,2.0,,,Graduiertenkolleg (GRK) 2015/1,4.0,Christine Maheu,4
"Low-Carbon Transition in Europe (INNOPATHS)""",2.0,Cherrick Center,2.0,,,National Institute for Health Services and Delivery Research (NIHR HS&DR) programme,4.0,Herman K. van Dijk,4
Family Cancer Clinics,2.0,Innovation Fund of theMax Planck Society,2.0,,,Disability Research Consortium,4.0,Conny Wunsch,4
2013 ASTIN Colloquium in The Hague,2.0,McGill Internal SSHRC Research Grant,2.0,,,The John D. and Catherine T. MacArthur Foundation,4.0,L. Clare,4
2008 Society for Social Choice and Welfare Meeting in Montreal,2.0,"Centre for Data Digitisation and Analysis at Queen's University, Belfast",2.0,,,Planning fund project of Ministry of Education,4.0,Kees Goudswaard,4
Project ResQu,2.0,University of Hong Kong Small Project Funding,2.0,,,Norwegian Ministry of Transport,4.0,Faruk Gul,4
Applied Microeconomics in Odense,2.0,Graduate School of East Asian Studies,2.0,,,"Ministry of Social Affairs and Employment, the Netherlands",4.0,Caitlin Daniel,4
Europeanisation of Public Debates and Civil Society in Turkey,2.0,West Virginia Agricultural Experiment Station,2.0,,,"Centers for Disease Control and Prevention, Prevention Research Centers Program",4.0,Liang,4
Soredab S.A.S.,2.0,Stochastik der Finanzmarkte,2.0,,,Office of the Comptroller of the Currency (OCC),4.0,Tomas Kroupa,4
Integrating research infrastructures for European expertise,2.0,Universidad de Guadalajara,2.0,,,Brazilian Council for Research Support (CNPq),4.0,Steven Griggs,4
Muslim Secularities conference in Leipzig,2.0,Adam Mickiewicz University's Institute of Sociology,2.0,,,Dutch Technology Foundation STW,4.0,Francesca R. Jensenius,4
CESifo Delphi Conference on Innovation,2.0,Louwes Fund for Research on Water and Food at Leiden University,2.0,,,African Doctoral Dissertation Research Fellowship (ADDRF),4.0,Kerstin Gentsch,4
CHIP ME,2.0,Office of the Vice Chancellor for Research at the University of Wisconsin-Madison,2.0,,,Key Research Foundation of Humanities and Social Sciences of the Ministry of Education of China,4.0,Denburg,4
2008 NBER Spring Children's Meeting,2.0,University of Twente's Tech4people program,2.0,,,US Department of Education's Investing in Innovation Fund,4.0,Marshall Reinsdorf,4
Essentiel Plus',2.0,Yale University; Nuffield (Oxford),2.0,,,CIHR-funded Research Chair in Applied Public Health,4.0,Keiichiro Yamamoto,4
Modeling of Complex Hierarchic Systems,2.0,Karlstad municipality,2.0,,,Lifelong Health and Wellbeing Programme (LLHW),4.0,Eric Juengst,4
Agent-Based Mathematical and Computational Modeling of Social Norms in College Drinking,2.0,Age UK Brighton and Hove,2.0,,,Center of Training and Research of Resilience and Coping With Trauma,4.0,James Forder,4
ReBUILD research programme (Research for building pro-poor health systems,2.0,University Teacher Training Scholarship (FPU),2.0,,,Autorite de Controle Prudentiel et de Resolution,4.0,Stephen Osborne,4
NHMRC Research Fellowship,2.0,Center for Women's and Gender Studies,2.0,,,Wellcome Trust Institutional Strategic Support Fund,4.0,Kohei Kamaga,4
Changing World of Work'') in Amsterdam,2.0,Stockholm County Council,2.0,,,Swedish National Infrastructure for Computing (SNIC),4.0,Bertille Antoine,4
Substance Abuse and Mental Health Services Administration's Comprehensive Community Services for Children and their Families Program,2.0,Bluff Park Elementary,2.0,,,VA Health Services Research & Development Fellowship,4.0,Mandy Ortaa Danielle Parker,4
FLDO NGO in Egypt,2.0,Vice-Chancellor's Postdoctoral Fellowships,2.0,,,Electricite de France (EdF),4.0,Yasir Hussain,4
Writing Intensive Project Award,2.0,Goizueta Business School,2.0,,,"Federal Ministry of Social Affairs, Provinces of Upper Austria",4.0,Lucassie Tooktoo,4
Spanish Observatory of Youth Labor Market Entry and Employment,2.0,University of Oklahoma (OU) at Tulsa,2.0,,,Spanish Ministry of the Economy and Competitiveness (Ministerio de Economia y Competitividad),4.0,Jeremy Piger,4
Oil and Social Change in Niger,2.0,MIT SENSEable City Lab Consortium,2.0,,,The Regional Municipality of Wood Buffalo,4.0,Jose Rodriguez,4
CONALFA association,2.0,Scripps Institution of Oceanography,2.0,,,Defra,4.0,Yiannis Vailakis,4
Society for Economic Dynamics Annual Meeting,2.0,city of Wuppertal,2.0,,,Sydney Children's Hospital,4.0,Uwe Hassler,4
Game Theory Seminar at the Technion,2.0,Queen Mary University London (UK),2.0,,,NIDILIRR Americans with Disabilities Act Participatory Action Research Consortium (ADA-PARC),4.0,Constance Nathanson,4
CPB Workshop on Internet Economics and Privacy in The Hague,2.0,Baker Institute for Public Policy,2.0,,,South Carolina Department of Health and Human Services,4.0,G. Elliott,4
Agglomeration Processes in Aging Societies,2.0,Center for Population and Policy Studies,2.0,,,Wallenberg foundation,4.0,Jenny Lindberg,4
Jupyter Notebooks,2.0,2011-2014 Scottish Graduate School of Social Science ESRC Postgraduate Studentship,2.0,,,Severo Ochoa,4.0,John Lee,4
ENGINE project infrastructure,2.0,Nijmegen School of Management,2.0,,,EU H2020 research and innovation programme,4.0,Johan Olsen,4
Exploring the Social Determinants of Health in the Developing World,2.0,Boston College Lynch School of Education,2.0,,,Catholic Charities,4.0,Yona Rubinstein,4
MiKADO,2.0,Phoenix Community College,2.0,,,Office of the First Minister and Deputy First Minister),4.0,Daniel Lichter,4
Voluntary Medical Male Circumcision services in Tanzania,2.0,Robert Wood Johnson Nurse Faculty Scholars Program,2.0,,,Volvo Research and Educational Foundations (VREF),4.0,C. Vega,4
CFE-ERCIM,2.0,"Uppsala University in Uppsala, Sweden",2.0,,,EU ERASMUS+ Programme Agreement,4.0,Dorcas Beaton,4
Momentum Health Study,2.0,Foothills Research Institute of Alberta,2.0,,,"Prevention Research Branch, Division of HIV/AIDS Prevention",4.0,Eric Mykhalovskiy,4
VA Healthcare Veterans Integrated Service Network 4,2.0,University of Glasgow Chancellors Fund,2.0,,,Cariplo Foundation,4.0,David Hugh-Jones,4
PATHS Equity of Children,2.0,Nottingham (Economics),2.0,,,Kentucky Department of Community Based Services,4.0,Janette Perz,4
MTN 003-D,2.0,Liberty Mutual Research Institute for Safety/University of Massachusetts-Lowell Post-Doctoral Fellowship,2.0,,,COST Action 10205 on Computational Social Choice,4.0,Collin Raymond,4
Banach Center Conference in Warsaw,2.0,Southern Connecticut State University Faculty Creative Activities Research Grant,2.0,,,Department for Education and Skills (DfES),4.0,Jan Kiviet,4
Understanding the Barriers to the Introduction and Uptake of Clean/Improved Cookstoves in Sub-Saharan Africa,2.0,Aspen Institute,2.0,,,Asia Foundation,4.0,John Wilkerson,4
SAEe 2012,2.0,Technische Universitat Munchen (TUM-IAS),2.0,,,Leverhulme Trust Research Project Grant,4.0,Hui Chu,4
"Maternal, Infant and Early Childhood Home Visiting Research Network",2.0,Texas A&M Energy Institute,2.0,,,Global Research Network program,4.0,Chenoa Flippen,4
DOE,2.0,Trnava University,2.0,,,Research Center (SFB),4.0,Peilei Fan,4
Cleveland Federal Reserve,2.0,Liverpool University Management School,2.0,,,Future Leader Fellowship,4.0,Aleksandra Stelmach,4
Uses and Abuses of Biology grants programme,2.0,UNSW Data Archive,2.0,,,Danish Heart Association,4.0,Berry Street,4
International Studies Association 2011,2.0,University of California Irvine Department of Anthropology and School of Social Sciences,2.0,,,National Child Traumatic Stress Network (NCTSN),4.0,Tiziana Leone,4
Cornell-Princeton Conference,2.0,US National Academy of Sciences,2.0,,,Department of Health and Consumer Affairs,4.0,Denny Won,4
Survey Research Operations unit,2.0,India China Institute,2.0,,,Genetic Engineering and Society Center (GES),4.0,Matt Masten,4
Research Training Program Stipend Scholarship,2.0,"School of Media and Communication, Korea University",2.0,,,"NIHR Collaboration for Leadership in Applied Health Research & Care (CLAHRC) Oxford, UK",4.0,Corey Abramson,4
Let's Be Friends program,2.0,Macalester College,2.0,,,Chinese Ministry of Education (MOE) Project of Humanities and Social Sciences,4.0,Joris Lammers,4
Centenary celebrations,2.0,Universities of Konstanz and Bielefeld (Priority Programme 1292 on Survey Methodology,2.0,,,Nuclear Threat Initiative,4.0,E. Argyle,4
Korean Policy Studies Review,2.0,"Brown University, Providence, Rhode Island",2.0,,,SNF Sinergia,4.0,Carneiro,4
Orange,2.0,Cristian Pop-Eleches,2.0,,,Mexican National Council of Science and Technology (CONACYT),4.0,Daisy Rooks,4
Collaborative Research Centre 700,2.0,University Department of Health (UDRH),2.0,,,Division of Social Sciences,4.0,Chisato Fukuda,4
FMJH Program Gaspard Monge in Optimization and Operation Research,2.0,Stockholm University SIMSAM Node for Demographic Research,2.0,,,Chilean government initiative CORFO 13CEE2-21592,4.0,Mike Dickson,4
Global LPG Partnership,2.0,University of Washington Royalty Research Fund,2.0,,,FWF (Austrian Science Fund,4.0,Johannes Homer,4
Aage Sorensen Memorial Conference,2.0,Academic Swiss Caucasus Net,2.0,,,"Department of Children and Youth Affairs, Ireland",4.0,Youngsub Chun,4
Structural Inference in Statistics: Adaptation and Efficiency,2.0,Katz Family Endowed Chair in Native American Studies,2.0,,,People's History Museum,4.0,Nicholas Bala,4
ESCP,2.0,Faculty Research Award Programs,2.0,,,Hellenic Ministry of Health and Social Solidarity,4.0,Conitzer,4
Millbank Memorial Fund,2.0,Society for Cultural Anthropology,2.0,,,Ruth M. Rothstein CORE Center,4.0,A. Patton,4
AFL Players Association,2.0,Quantum BioInformatics Center,2.0,,,Program of Shanghai Subject Chief Scientist,4.0,Richard Baillie,4
INSEAD Economics Symposium,2.0,McMaster,2.0,,,The Swedish Society for Medical Research,4.0,Tanu Gamble,4
Queen Elizabeth II Graduate Scholarship,2.0,University of Chicago Program,2.0,,,Department of the Environment of the Canary Government,4.0,Philip Jaffe,4
EPHASTAT,2.0,Unit of Economic History,2.0,,,Finnish Funding Agency for Technology and Innovation (Tekes),4.0,Hanno Reuvers,4
sexual relationships in South Africa,2.0,GSU CAE,2.0,,,Ontario Ministry of Research and Innovation's Early Research Award Program,4.0,Gustavo Canavire,4
Chicago Census Research Data Center,2.0,Harvard Program for Evolutionary Dynamics,2.0,,,VA Office of Academic Affiliations,4.0,Stephanie Coleman,4
Dalit Women's Narratives,2.0,Institute for Work & Health,2.0,,,Estonian Ministry of Education,4.0,Ruben Hernandez-Leon,4
Life Course and Family Dynamics in a Comparative Perspective,2.0,San Francisco Fund,2.0,,,Cambridge Centre for Housing and Planning Research (CCHPR),4.0,Stefan Wurster,4
Center for Economic Studies,2.0,Charles Best Canada Graduate Scholarships Doctoral Award,2.0,,,VISN 4 Center for Evaluation of Patient Aligned Care Teams (CEPACT),4.0,Tony Porter,4
Criminology & Law Summer Research Fellowship Program,2.0,National Cheng Kung University (NCKU Rising-Star Top-Notch,2.0,,,Retirement Research Foundation,4.0,Bogdan Wojtyniak,4
Mobile Geographies of Learning panel,2.0,Primary Health Care Nursing PhD Scholarship,2.0,,,beyondblue,4.0,Carol Dweck,4
Bundesbank research seminar,2.0,Department of Earth and Planetary Sciences,2.0,,,Directorate Generale for Development Cooperation,4.0,Solomon Hsiang,4
Econometric Society North American Winter Meetings,2.0,University of Florida Gatorade Trust,2.0,,,Zuniga y Rivero Foundation,4.0,Austin Burlile,4
"Human Evolution, Cognition, and Culture",2.0,Middle Tennessee State University,2.0,,,American Trucking Association (ATA),4.0,Alan Bester,4
College Roommate Study,2.0,Schulich Business School,2.0,,,Board of Governors,4.0,Bellington Vwalika,4
Hurricane Katrina Project,2.0,"College of Arts, Education, and Sciences at Clarion University",2.0,,,Titmuss-Meinhardt Memorial Fund,4.0,Subal Kumbhakar,4
EEA-ESEM Parallel Meeting in Gothenburg,2.0,Mbale,2.0,,,"NIHR CLAHRC, Greater Manchester",4.0,Stephen Morgan,4
CAPPYC Project,2.0,Faculty of Political Science,2.0,,,Ambivalence and Unsuccessful Psychotherapy,4.0,Irwin Garfinkel,4
Econometrics Study Group of the Korean Econometric Society,2.0,Newcastle University's Faculty Research Fund,2.0,,,Comision Sectorial de Investigacion Cientifica-Universidad de la Republica-Uruguay,4.0,N. Swanson,4
"Inventing Europe: Technology and the Making of Europe, 1850 to the Present",2.0,"Hawassa University, Ethiopia",2.0,,,Humboldt Foundation,4.0,Freda Goh,4
HM Treasury,2.0,Yale Fox Fellowship,2.0,,,National Health and Medical Research Council Capacity Building Grant,4.0,Dominika Karas,4
Contemporary Challenges of Democracy in East-Central Europe,2.0,PSU Faculty Enhancement Grant,2.0,,,Belgian Federal Science Policy,4.0,James Smith,4
"SUP>2</SUP> Advances in Forecasting Conference (UPF, 2014",2.0,TU Wien University Library,2.0,,,National Institutes of Health National Center for Complementary and Alternative Medicine (NCCAM) Research Fellowship in Complementary and Alternative Medicine,4.0,Howard Butcher,4
Ottawa permaculture community,2.0,Centre for Interprofessional Education,2.0,,,French,4.0,Pablo Mitnik,4
CMES 2014,2.0,Department of Health and Community Services,2.0,,,New Economic Models in the Digital Economy (NEMODE),4.0,Nagulapadu,4
Google Search Data,2.0,Mahidol Oxford Tropical Medicine Research Unit,2.0,,,"Academia Sinica, Taiwan",4.0,M. Deistler,4
ASTER L1B,2.0,Rimini Centre for Economic Analysis,2.0,,,EPSRC Early Career Fellowship in Digital Economy,4.0,John Cochrane,4
Kotgaun VDC,2.0,"Institute of Medical Psychology, Heidelberg",2.0,,,The Psychology of Intergenerational Transfers,4.0,Sree Chaguturu,4
Next Generation Surveillance for the Next Pandemic,2.0,Natural Scientific Research Program of Wuhan University,2.0,,,Niedersachsen Government,4.0,Daniel Grace,4
Procrustes Project,2.0,Save the Children International,2.0,,,Ostfold Hospital Trust,4.0,Joan Durrant,4
DSSE-ISFOL workshop on Human Capital and Education in Rome (2013,2.0,Marjorie Young Bell Faculty Fellowship,2.0,,,Revolving Doors Agency,4.0,Jason Carmichael,4
6th Joint IZA/IFAU Conference on Labor Market Policy Evaluation,2.0,UC Berkeley Undergraduate Research Apprenticeship Program,2.0,,,Community Networks Program Center,4.0,Chandra Fowler,4
Urban Vitality,2.0,Junta de Andalucia,2.0,,,Forschungsinstitut fur Mathematik (FIM),4.0,Michael Schmutz,4
Unemployment Insurance and Temporary Assistance to Needy Families,2.0,Robert Wood Johnson Health and Society Scholar at UCSF/Berkeley,2.0,,,MEXT KAKENHI,4.0,Sarah Campbell,4
Productive Margins: Regulating for Engagement research programme,2.0,Health Financing Group,2.0,,,Foundation for Science and Technology (Fundacao para a Ciencia e Tecnologia - FCT) of Portugal,4.0,Ludger Ruschendorf,4
Modeling Professional Attitudes and Teaching Humanistic Communication in VR,2.0,University of Toronto Innovation Policy Lab,2.0,,,United Nations Population Fund,4.0,Angelica Velasquez,4
MECESUP Performance Agreement of the Universidad Austral de Chile,2.0,Research Division of HEC Montreal,2.0,,,Immunisation Alliance of Western Australia,4.0,Rod McCrorie,4
Board of Governors of the Federal Reserve System Washington DC,2.0,Laboratory of Mathematics for Nonlinear Science,2.0,,,Global health bioethics,4.0,Jennifer Noyes,4
PATHWAYS,2.0,Metzler Exchange,2.0,,,"The Leverhulme Trust, UK",4.0,Glen Elder,4
Restorative Retelling Conference in Seattle,2.0,Great Plains Institute,2.0,,,Rural Health Multidisciplinary Training Programme,4.0,David O. Renz,4
A Study of Chinese Environmental NGOs: Toward Building a Theory of NGO Development in China,2.0,"Research Center for Legal Language, Culture & Translation",2.0,,,Australian Research Council's Linkage Projects funding scheme,4.0,Irina Tomescu-Dubrow,4
GBAPERSOONSTAB,2.0,Akdeniz University,2.0,,,SocialSensor FP7,4.0,Mariah Everett,4
Explorations in Global Health Award,2.0,Lawrence Berkeley Laboratory,2.0,,,Research Center for Psychological Science,4.0,Fan Yang,4
"Crisis, restructuring and growth",2.0,College of Arts and Sciences Dean's Fund for Excellence,2.0,,,Fundacion CONAMED,4.0,Alejandro Justiniano,4
ELSI,2.0,University of Pennsylvania Center for the Integration of Genomic Healthcare Technologies,2.0,,,U.S. Department of Health and Human Services Agency for Healthcare Research and Quality,4.0,Dao-Zhi Zeng,4
New.York,2.0,Weatherhead Initiative on Gender Inequality at Harvard University,2.0,,,Bankwest Curtin Economics Centre (BCEC),4.0,Mark Koyama,4
Recognising Diversity?: Equalities in Principle and Practice,2.0,Bolyai Research Grant,2.0,,,National Cancer Registry Ireland,4.0,Ziona Kemelman,4
A New Sociology for a New Century: Transforming the Relations between Sociology and Neuroscience,2.0,Eotvos Lorand University (ELTE) in Budapest,2.0,,,Community Wellbeing Evidence Programme of the What Works Centre for Wellbeing,4.0,B. Driver,4
"liti,InteihatiOnal,Confefericeinn`FompUtational",2.0,"University Grand Commission, India",2.0,,,Social Psychology Fellowship,4.0,James Lee,4
Students Care Service,2.0,"Penn Center for Undergraduate Research and Fellowships, Penn Humanities Forum",2.0,,,Australian Housing and Urban Research Institute (AHURI),4.0,Nassim JafariNaimi,4
"Stochastic Methods in Physics and Finance, 2015 in Heraklion",2.0,Forum for Social Studies,2.0,,,Australian Government Department of Foreign Affairs and Trade (DFAT),4.0,Siyi Luo,4
Signed Language Interpreting Program,2.0,Parent University,2.0,,,Hong Kong Research Grant Council Public Policy Research Funding Scheme,4.0,Desmond K. Runyan,4
11th International Family Nursing Conference,2.0,"Research Committee of Aristotle University of Thessaloniki, Greece",2.0,,,Global Health Ethics,4.0,Gerald Valverde,4
NYU-QFE,2.0,Graduate College's Illinois Distinguished Fellowship Program,2.0,,,PLK,4.0,Nonhlanhla Mazibuko,4
New Cultural Contradictions in Advanced Societies'),2.0,Society of Industrial and Organizational Psychology (SIOP),2.0,,,Beca Programa Europa XXI de estancias de investigacion (CAI-CONAI,4.0,Rob Engle,4
First Annual Conference of Chinese Cultural Geography,2.0,Free University of Brussels,2.0,,,Terrence Higgins Trust Scotland,4.0,Georgiann Davis,4
NZESG in Brisbane,2.0,"Southern University of Science and Technology, Shenzhen, China",2.0,,,Library of Congress,4.0,Olivier Jacques,4
"Harvard Humanitarian Initiative, CAMPS",2.0,Universite de Rennes,2.0,,,Advance Support Program for Integration of Research Excellence (ASPIRE),4.0,Steven E. Shreve,4
Applied HIV Research Chair Award,2.0,Institute for Human Security and Social Change,2.0,,,Indiana Clinical and Translational Sciences Institute,4.0,Fu,4
Ethics in Experimental Political Science Workshop,2.0,King's College,2.0,,,"Research Grants Council, General Research Fund",4.0,Q. Thevenet,4
CIIE,2.0,Graduate Institute,2.0,,,"Office of Education, Jiangxi Province, China",4.0,Diego Coletto,4
Bench-Side Ethics and Community-Based Participatory Research Training Program in Synthetic Biology,2.0,Annenberg Public Policy Center,2.0,,,Joint Committee for the Nordic Research Councils for the Humanities and Social Sciences,4.0,Vanessa Therin,4
MVI programme,2.0,"HEMMI-Stiftung, Basel, Switzerland",2.0,,,Basque Country,4.0,Paul Longley,4
Presidential Scholarship program,2.0,Technical University of Dortmund,2.0,,,Connected Cities for Smart Mobility towards Accessible and Resilient Transportation (C2SMART) Center,4.0,Chang-Jin Kim,4
SoFiE,2.0,Japan Relations Seminar at Harvard University,2.0,,,Population Council,4.0,Michelle Cornes,4
"2013 Midwest Sociological Society's annual meeting in Chicago, Illinois",2.0,Special Collections Research Centre at the University of Chicago,2.0,,,Grants for Applied Research,4.0,Mark van der Laan,4
2015 New Research in Practical Philosophy Workshop,2.0,"Main School of Fire Service, Poland",2.0,,,Program of Shanghai Municipality,4.0,Timon Forster,4
Sanitation and Hygiene Applied Research for Equity Research Consortium,2.0,Pro Juventute Austria,2.0,,,Rudd Family Foundation Chair in Psychology,4.0,Christall Paul,4
Houston Area Survey,2.0,Emeritus and Research Professor of Physics at Sloane Physics Lab of the Yale University,2.0,,,European Commission-DG EMPL,4.0,Stefano Battilossi,4
XVth International Medical Geography Symposium,2.0,TRF-CHE Research Grant for Mid-Career University Faculty,2.0,,,Handelsbanken's Research Foundations,4.0,Corina Graif,4
Risk and protection in kinship care,2.0,University of Gothenburg Centre for Person-Centred Care (GPCC),2.0,,,French National Agency for Medicines and Health Products Safety,4.0,Mark Chaffin,4
KASFRO,2.0,Research Funds of the University Hospital in southern Sweden,2.0,,,"National Breast Cancer Foundation, Australia",4.0,Gordan Zitkovic,4
Central Compensation Office CCO-ZAS in Geneva,2.0,Polson Institute for Global Development,2.0,,,Seventh Framework Programme (CORDIS FP7),4.0,Sean L'Etrange,4
SYRTO Conference on Systemic Risk,2.0,Baltimore County Graduate Student Association,2.0,,,Canadian International Food Security Research Fund (CIFSRF),4.0,Mikael Palme,4
Gamma Knife (R) Centre of Queensland,2.0,Los Angeles Ralph J. Bunche Center for African American Studies,2.0,,,Nature Conservation Foundation (NCF),4.0,Amy Binder,4
Research Network on Interdependent Inequalities in Latin America,2.0,College of Arts and Sciences Grant-in-Aid,2.0,,,"National Institute on Drug Abuse, Drug Epidemiology",4.0,Charlotte Paterson,4
Special Procedures,2.0,Jesus College,2.0,,,"Ministry of Education and Culture, Finland",4.0,Angel Chow,4
Disability Studies in Nederland,2.0,"Geneva University Hospitals, Geneva, Switzerland",2.0,,,Centre for the AIDS Programme of Research in South Africa (CAPRISA),4.0,Dongsheng Wu,4
CRWP,2.0,Ballantine Hall,2.0,,,Jean McCaughey Social Justice Sub-Fund,4.0,Christian Bjornskov,4
European Conference on Health Economics,2.0,UFPE,2.0,,,Killam Research Fund,4.0,Jocelyn Chua,4
Supporting Partnerships between Health and Homelessness,2.0,Center for Research in Security Prices,2.0,,,"Vastmanland County Council, Sweden",4.0,Ellen Roney,4
International Cramer Symposium on Insurance Mathematics in Stockholm,2.0,Center for Energy and Environmental Policy Research,2.0,,,NCCR LIVES,4.0,Oliver Kirchkamp,4
BIRD 2017,2.0,Business Intelligence Research Center at Peking University,2.0,,,Centre for Sustainable Urban Development (CEDEUS),4.0,Liviana Picech,4
Trajectories and transitions of disabled children,2.0,NC State,2.0,,,Intramural Research Program of the National Institutes of Health Clinical Center,4.0,Jean-Benoit Pilet,4
competition SONATA BIS,2.0,University and Scientific Research),2.0,,,California Center for Population Research (CCPR),4.0,Eli Berman,4
