MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
Young and Well Cooperative Research Centre,2.0,Univ. British Columbia-Okanagan,2.0,,,"Fondo de Investigacion Sanitaria, ISCIII",4,Joanne Arciuli,2.0
WHP,2.0,Faculty of Physics,2.0,,,Canadian Health Infostructure Partnership Program of Health Canada,4,Serge Gaspers,2.0
ABLE,2.0,"Community Medicine Research Network of the University Medicine Greifswald, Germany",2.0,,,Guangdong Talents Program of China,4,M. Jin,2.0
Information and Communication Technology Building Resilience for Frailty Prevention),2.0,"University of Cartagena, Cartagena (Colombia)",2.0,,,Sao Paulo Research Foundation (Fapesp),4,Maleah Maxie,2.0
CIEMAT,2.0,ITACA Institute (Universitat Politecnica de Valencia,2.0,,,"Young Talents Foundation of Ministry of Education of Guangdong, China",4,V. Vu,2.0
Macedon Ranges North Western Melbourne Medicare Local Grant,2.0,Negev,2.0,,,"National Cancer Institute's Surveillance, Epidemiology, and End Results (SEER) Program",4,Kimelfeld,2.0
"Ericsson Nikola Tesla, Croatia",2.0,Singapore Management University,2.0,,,Australian Research Council Discovery Projects Funding Scheme,4,X. S. Hu,2.0
New Investigator Salary Award,2.0,Institute of Primary Care,2.0,,,Project for Pearl River New Star in Science and Technology,4,Josef Lang,2.0
Crystallography & Computational Biosciences,2.0,University of Maryland College of Information Studies,2.0,,,German BMBF project ECU,4,S.R.M. University,2.0
BTK,2.0,Middlesbrough College,2.0,,,National Heart Foundation of Australia Future Leader Fellowship,4,Sundhar Subramaniam,2.0
AHT,2.0,UCL VECG,2.0,,,Lundbeck Foundation,4,J. Tapolcai,2.0
ESEM/EDX,2.0,Peking,2.0,,,Shenzhen,4,Su,2.0
LAF,2.0,Innovation Scientists and Technicians Troop Construction Projects of Henan Polytechnic University,2.0,,,American Legacy Foundation,4,Kevin Tieu,2.0
Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Resources Research and Development Program,2.0,Faculty of Chemistry of Northeast Normal University,2.0,,,Postgraduate Research Grant Scheme (PRGS),4,J. Spence,2.0
EMG,2.0,Columbia University College of Physicians and Surgeons Dean's International Grant,2.0,,,Young Scientist Foundation of The Second Military Medical University,4,Pascal Ducloux,2.0
Barcelona Medical Association,2.0,Medical Faculty of Lund University,2.0,,,Guangdong Provincial Special Funds for Applied Technology Research and Development and Transformation of Important Scientific and Technological Achievement,4,J W Bartlett,2.0
SeaRISE community,2.0,Research Startup Funds of Xi'an University of Technology,2.0,,,Cyprus Research Promotion Foundation (RPF),4,Stephan Grissmer,2.0
Fondation Maison des champs,2.0,"CSIR-Central Electronics Engineering Research Institute, Pilani, India",2.0,,,ARC Centre of Excellence for Mathematical and Statistical Frontiers,4,Anson d'Aloisio,2.0
Research and Innovation team,2.0,Start-up Research Funding,2.0,,,Hungarian Academy of Sciences (MTA),4,Ozgur Sinanoglu,2.0
Health Technology Assessment,2.0,American University Research Board (URB),2.0,,,NIHR Biomedical Research Center Program,4,Douglas Delahanty,2.0
Endocrine Research Center,2.0,"NWO grant Knowledge-based Automated Reasoning Radboud University, Nijmegen",2.0,,,Major Project of the Ministry of Education of China,4,Pei Yang,2.0
EDOC@WORK3.0,2.0,King Saud University's Deanship of Scientific Research,2.0,,,Taiwan Information Security Center (TWISC),4,B. Bastl,2.0
Origin and Structure of the Universe,2.0,Guangdong High-Level University Project Green Technologies for Marine Industries,2.0,,,Clinical & Translational Science Award Program,4,Jalal,2.0
IIR Merit Award,2.0,Universite de Caen,2.0,,,New National Excellence Program of the Ministry of Human Capacities,4,Joseph M Plasek,2.0
PyMOL software and Laboratory of Advanced Network Technologies,2.0,Erlangen University Hospital,2.0,,,New Xiangya Talent Project,4,Anne Stiggelbout,2.0
Karma team,2.0,Bangor University,2.0,,,Canada Research Chair in Neonatal Respiratory Physiology,4,Tom H. Greene,2.0
MIRIAM,2.0,AgeCare Academy of Geriatric Cancer Research,2.0,,,NICT,4,Homer R. Warner,2.0
CISMeF team,2.0,Doctoral Research Start-up Funding Project of Zhengzhou University of Light Industry,2.0,,,NSF-China,4,Rory Bowden,2.0
Special Account for Research Grants (SARG),2.0,St. Petersburg State Polytechnic University,2.0,,,TEQIP,4,Loris Hwang,2.0
HOPE HOME Community Advisory board,2.0,"University of Mosul, Mosul",2.0,,,Australian Government National Collaborative Research Infrastructure Strategy's Population Health Research Network,4,Hu Tian-Dou,2.0
Gobierno de Aragon,2.0,Institute of Applied Medical Engineering,2.0,,,Research Foundation of Ministry of Education of China,4,Rachel Morris,2.0
Grid5000 testbed,2.0,University of Toronto Department of Family and Community Medicine Clinician Scientist Award,2.0,,,National Science and Technology Major Projects in Wireless Mobile Healthcare Projects,4,Karen Renaud.,2.0
DEWI project,2.0,Health Institute of Scientific and Technological Communication and Information (ICICT),2.0,,,Research Enhancement Grants (REG) fund,4,Ken Williams,2.0
E-COMPARED,2.0,Charles Stephenson Cancer Center,2.0,,,Centro de Investigaciones en Tecnologias de la Informacion y Comunicacion,4,Xiangyang Li,2.0
ProLeMAS: PROcessing LEgal language in normative Multi Agent Systems,2.0,University of Rijeka,2.0,,,W.K. Kellogg Foundation,4,Imatis,2.0
Strumenti basati sulla teoria degli insiemi per la verifica di algoritmi,2.0,Fujian University Laboratory of Intelligent Computing and Information Processing,2.0,,,Premium Post Doctorate Research Grant of the Hungarian Academy of Sciences (MTA),4,Philip Chow,2.0
38th International Workshop on Graph-Theoretic Concepts in Computer Science,2.0,"King Mongkut's Institute of Technology Lardkrabang (KMITL), Bangkok, Thailand",2.0,,,Fund for Joint Building Program of Beijing Municipal Education Commission,4,Haydemar Nunez,2.0
HTRA,2.0,"Kasetsart University, Thailand",2.0,,,U.S. Department of Transportation,4,Ross McVinish,2.0
HKB,2.0,"Khon Kaen University, Thailand",2.0,,,Petrobras,4,Vasileios Belagiannis,2.0
IMECH,2.0,Philosophy and Social Sciences in Universities of Jiangsu,2.0,,,National Sciences and Engineering Research Council (NSERC,4,Ian White,2.0
"Programma Regionale per i Biomarcatori Diagnostici, Prognostici e Predittivi",2.0,Scientific Research Fund for Talent Introduction of Huaqiao University,2.0,,,UK's EPSRC,4,Letha Sooter,2.0
ODIE toolkit-software for Ontology Development and Information Extraction,2.0,Isaac Newton Institute,2.0,,,Joint NSFC-DFG Research Program,4,Eli Gavraj,2.0
Gambling Research Australia,2.0,Korea Aerospace University,2.0,,,Calcul Quebec and Compute Canada,4,Briggeman,2.0
RTI International contract,2.0,Greater Mount Carmel Baptist Church,2.0,,,CIHR Team Grant in Cardiovascular Outcomes Research,4,S. Pintus,2.0
Analysis and Classification of Mental States of Vigilance with Evolutionary Computation,2.0,CUHK,2.0,,,ERC Advanced Grant GeCo,4,Jose Antonio Mateos,2.0
Irish Centre for Cloud Computing and Commerce,2.0,Oncology Trials Department,2.0,,,Zhejiang Province Key,4,A. M. Howard,2.0
Robust Geometry Processing,2.0,Diabetes Research Center,2.0,,,WWTF,4,Yunjun Gao,2.0
MBO,2.0,Yildiz Technical University Scientific Research Projects Coordination Department,2.0,,,"Federal Institute of Education, Science and Technology of Ceara",4,Mariel Contreras,2.0
GAUCHO-A Green Adaptive Fog Computing and Networking Architecture,2.0,Hubei Institute of Strategic Studies of Legal Development,2.0,,,Shenzhen-Hong Kong Innovation Circle Funding Program,4,Susheel Varma,2.0
CAPAP-H,2.0,"Zhejiang University, China ICT1600236",2.0,,,National Institutes of Health/National Cancer Institute,4,Joanne Klein Wolterink,2.0
Champlain Local Health Integration Network,2.0,Universidad Santiago de Chile,2.0,,,Polish Research Grant,4,Eugster,2.0
Muckleshoot Tribe,2.0,"ItraMAS Corporation, Malaysia",2.0,,,National Science Foundation IGERT,4,Tony Keech,2.0
CREST program,2.0,University of Nottingham School of Health Sciences,2.0,,,Training Plan for Young Backbone Teachers of Hunan Province,4,Z. Liu.,2.0
ISCRA initiative,2.0,University of La Reunion,2.0,,,J. Andalucia,4,Kevin Currie,2.0
FEDEV project,2.0,University of Pisa Project,2.0,,,Natural Speech Technology),4,F. Juang.,2.0
Development of Predictive Analysis Technology on Socio-Economics using Self-Evolving Agent-Based Simulation embedded with Incremental Machine Learning,2.0,School of Health Technologies at Universidad de Costa Rica,2.0,,,"Service, Delivery and Organisation programme",4,Ji Hyoun Lim,2.0
Mayo Clinic Windland Smith Rice Comprehensive Sudden Cardiac Death Program,2.0,Su Ke-He,2.0,,,Science Fund of State Key Laboratory of Advanced Design and Manufacturing for Vehicle Body,4,Stephen Marks,2.0
GNCS,2.0,Taipei Fine Arts Museum,2.0,,,CERIT-SC,4,Robert Schaefer,2.0
CIHI,2.0,Alpen-Adria-Universitat Klagenfurt,2.0,,,Julius Centre for Health Sciences and Primary Care,4,Lawrence,2.0
RCGP,2.0,The University of Tokushima,2.0,,,Visvesvaraya,4,Areen Ajlouni,2.0
EIT system PulmoVista 500,2.0,"Tata Consultancy Services (TCS) Innovation Labs, Milford",2.0,,,"Ministerio de Ciencia y Tecnologia, Spain",4,Mert R. Sabuncu,2.0
Provost Bridge Program,2.0,University of Aizu Competitive Research,2.0,,,ARC Centre of Excellence,4,John Hummel,2.0
"Research Training Group 1362: Cooperative, Adaptive, and Responsive Monitoring in Mixed Mode Environment",2.0,Institutional Review Board,2.0,,,Science Foundation of Hunan Province,4,Andrew A. Chien,2.0
BK21 Program,2.0,UNC Charlotte,2.0,,,"National Key Foundational Research and Development on Network and Space Security, China",4,P. Melillo,2.0
1000 Functional Connectomes Project,2.0,Laboratory of Computational Physiology,2.0,,,Sutter Health Disease Management Program,4,Robert Cronin,2.0
Cooperative Research Project,2.0,University of North Carolina Gillings School of Global Public Health,2.0,,,Science and technology project of Guangdong Province,4,Thomas Malott,2.0
TEACH,2.0,Federal University of Rio de Janeiro,2.0,,,European Funds for Regional Development (FEDER),4,Torben Olsson,2.0
"Competitiveness, Entrepreneurship and Innovation",2.0,China Mobile Research Institute,2.0,,,SnT,4,Ankita Chaturvedi,2.0
Survey Research Operations unit,2.0,Division of Clinical Decision Making,2.0,,,Natural Science Foundation of Shandong Province for Outstanding Young Talents in Provincial Universities,4,Mitsubishi-Tanabe,2.0
Hong Kong ICT Awards 2014 Gold Award,2.0,Learning Innovation Fund-Technology,2.0,,,Tenovus Cancer Care,4,Paul Biemer,2.0
Digital Humanities Award Programs 2010,2.0,Energy Technology Institute (ETI),2.0,,,PAPD of Jiangsu Higher Education Institutions,4,Sameer Siddiqi,2.0
"Ambient Assisted Living and vital teleMONOTORing for e-health,'' FONDEF ID16I10449",2.0,University Health System's Center for Clinical Excellence,2.0,,,Outstanding Talents Program of Beijing,4,Jeremie Gaidamour,2.0
CSS Insurance,2.0,Open Research Subject of Key Laboratory of Fluid and Power Machinery,2.0,,,Fundunesp,4,Wendy Young,2.0
Trans-SEC,2.0,American University of Sharjah,2.0,,,Competitive Research Funds,4,Bruce Gantz,2.0
Wetsus,2.0,PhD Scholarship Program of CONICYT Chile,2.0,,,Open Project Program of Shenzhen Key Laboratory of Media Security,4,Krysta Heaney-Huls,2.0
2016 International Society for Quality of Life Research Annual Meeting,2.0,"Faculty of Electrical, Electronic, Computer and Control Engineering",2.0,,,Beijing Advanced Innovation Center for Big Data and Brain Computing,4,Udai Prakash,2.0
High Performance Computing Facility (HPCF),2.0,Youth Foundation of College of ISE,2.0,,,Zhejiang Provincial Department of Science and Technology,4,Knell,2.0
Functional Control of Biomolecular Systems,2.0,HealthPartners Institute,2.0,,,GEMINI Center in Technology Enhanced Lifelong Learning,4,Balakrishnan Prabhakaran,2.0
ERCIM,2.0,UFMG),2.0,,,ERC Starting Grant PARAMTIGHT,4,L. D. Riek,2.0
FORSEC research association,2.0,eLLIIT Excellence Center,2.0,,,"HKUST-NIE Social Media Lab, HKUST",4,Xiaoxia Jiang,2.0
Causal Reasoning and Evidence for Clinical Practice,2.0,James Cook University of North Queensland,2.0,,,"CryptoWorks21, and Public Works and Government Services Canada",4,Marion J. Ball,2.0
19th Annual European Symposium on Algorithms (ESA),2.0,Universities and Colleges of Fujian Province,2.0,,,Embark Initiative,4,Sophie Domingues-Montanari,2.0
IDEAL Grant Agreement,2.0,Israel Institute of Technology,2.0,,,Russell/Engleman Medical Research Center for Arthritis,4,Ian Russell,2.0
NEIRB,2.0,Linz Center of Mechatronics,2.0,,,National S&T Major Project of China,4,Andrea Mathe,2.0
Program Fellowship of SAS,2.0,UT Southwestern Center for Translational Medicine,2.0,,,Marsden Fund,4,Rosemary Sudan,2.0
ACM IMC 2015,2.0,Biomedical Neuroscience Institute (BNI,2.0,,,National Information Society Agency (NIA),4,David Lopez-Paz,2.0
ANCONA,2.0,"MRC Laboratory of Molecular Biology, Cambridge, UK",2.0,,,Ningbo Programs for Science and Technology Development,4,A. Janiak,2.0
public UNC Shape Tool,2.0,"Niihama College, Japan",2.0,,,"Klinik fur Anasthesiologie mit Schwerpunkt operative Intensivmedizin (CCM, CVK), Berlin, Germany",4,Timothy Tsai,2.0
SATT-Lutech,2.0,"Greater Manchester Comprehensive Local Research Network, Manchester",2.0,,,China Major S&T Project,4,Kaye,2.0
Basque Biobank,2.0,Third Military Medical University,2.0,,,French Embassy,4,Hanqi Guo,2.0
SCFBio,2.0,College of Health,2.0,,,Microsoft Research Asia Project based Funding,4,Xiumei Yang,2.0
DSURF,2.0,Vanderbilt Kennedy Center,2.0,,,National Science Foundation for Post-doctoral Scientists of China,4,Alexander von,2.0
13th International Joint Conference on Autonomous Agents,2.0,Wake Forest University National Cancer Institute,2.0,,,Division of General Internal Medicine,4,V. Fasano,2.0
IMPA,2.0,Translational Innovation Fund at St. Michael's Hospital,2.0,,,Korea Semiconductor Research Consortium (KSRC),4,KP Chang,2.0
"TUBITAK ULAKBIM, High Performance and Grid Computing Center (TRUBA resources",2.0,"Scientific Research Project Fund of Karadeniz Technical University, Trabzon, Turkey",2.0,,,"JSPS KAKENHI, Japan",4,Eline van Vliet,2.0
NSW Centre for Health Record Linkage,2.0,Yazd Branch,2.0,,,Scientific and Technological Support Project (Society) of Jiangsu Province,4,Xin Guo,2.0
"Quality Dimensions: Theoretical Rationales, Current Evidence, and Emerging Issues",2.0,PUCRS (Pontifical Catholic University of Rio Grande,2.0,,,"KUSTAR-KAIST Institute, Korea",4,Gert Vriend,2.0
Area of Advance Production at Chalmers,2.0,UC Berkeley Library,2.0,,,CE-ITI,4,Irene Eleta,2.0
CPCSSN,2.0,Scientific Research Plan Projects of Xianyang Normal University,2.0,,,Cooperative Research Centre for Spatial Information,4,P. Bibiloni,2.0
"Aging, Community and Health Research Unit",2.0,Duke Clinical Research Institute,2.0,,,"Department of Health, United Kingdom",4,Warren Sandberg,2.0
SMILE,2.0,McGill University Faculty of Engineering Chwang-Seto Faculty Scholar Research Award,2.0,,,Graduate Research Fellowship Program (GRFP),4,Bruno Villetelle,2.0
2015 IEEE International Conference on Data Mining,2.0,GREC (Research Group on Knowledge Engineering,2.0,,,"Netherlands Organization for Scientific Research (The Hague, The Netherlands)",4,Yating Li,2.0
Investigator-Initiated Studies Program of,2.0,National Social Science Fund of Henan Polytechnic University,2.0,,,Helse Nord RHF),4,T. Zhu,2.0
ARCIR SUCRe,2.0,Bloomberg School of Public Health,2.0,,,Health Research Council of New Zealand Programme Grant,4,Gerald Moore,2.0
FARO,2.0,Vice Provost for Research at Indiana University,2.0,,,China 111,4,Elizaveta Sokovnina,2.0
Consortium of Research FOR@C,2.0,University of Mogi das Cruzes,2.0,,,Participation in Healthcare Environment Engineering Programme,4,Christian Bellemare,2.0
Emergence and Evolution of Complex Chemical Systems',2.0,"Philips Respironics, Murrysville, PA USA",2.0,,,FAU Emerging Fields Initiative,4,S. Y. Jang,2.0
Microbiomes in Transition (MinT) Initiative,2.0,Research Foundation of Central South University of China,2.0,,,Science and Technology Fund Program in Jiangxi Province Department of Education,4,Judy Andrews,2.0
PECAN,2.0,Murdoch University,2.0,,,Electronic Component Systems for European Leadership Joint Undertaking,4,Robin Bechhofer,2.0
GALOT,2.0,CSCAMM,2.0,,,"Open Foundation of Key Laboratory of Cognitive Radio and Information Processing, Ministry of Education",4,Servier,2.0
CSU ISTeC Cray HPC System,2.0,Kookmin University,2.0,,,Canadian Centre for Applied Research in Cancer Control (ARCC),4,Abeed Sarker,2.0
KUMC,2.0,Northwestern University Clinical and Translational Science (NUCATS) Institute,2.0,,,Gulf Coast Consortia,4,Sharma.,2.0
"IEEE Conference on Automation Science and Engineering, Trieste, Italy",2.0,"Associate, Clinical Sciences, Duke-NUS Medical School",2.0,,,US NIH,4,David Davies,2.0
MRDO2,2.0,"King khalid University, Abha",2.0,,,NHMRC Centre for Research Excellence in eHealth,4,Christi Patten,2.0
ACM/IEEE Design Automation Conference,2.0,"Girton College, Cambridge (Research Fellowship",2.0,,,HICoE grant for CISIR,4,Sridevi Polavaram,2.0
Ministry of Electronics and Information Technology (MEITY),2.0,GeorgeMason University Department of Bioengineering,2.0,,,Foundation of State Key Laboratory of Information Security,4,Dario Grana,2.0
Sleepio team,2.0,"Yale University School of Public Health, New Haven, CT (DE)",2.0,,,Lero,4,Mark Donoghoe,2.0
SGS Pasture Model,2.0,Talents Introduction Research Project of Shanghai Institute of Technology,2.0,,,Australian Postgraduate Award Scholarship,4,Y. Yuan.,2.0
SEMAINE,2.0,Heidelberg University National Center for Water Quality Research,2.0,,,Estonian Ministry of Education and Research under Institutional Research Financing,4,Pierre Arnoux,2.0
Influence of Protein Folding on Allergenicity and Immunogenicity,2.0,Shandong University of Science and Technology for Recruited Talents,2.0,,,High Impact Research (HIR),4,Magdalena Koperny,2.0
Department of Quality Improvement,2.0,Hubei University of Automotive Technology,2.0,,,Special Project of Jilin Province,4,A. Jacob,2.0
Dream Project,2.0,Excited NTNU,2.0,,,Open Project of Co-Innovation Center for Information Supply and Assurance Technology,4,Elodie Leducq,2.0
POWIEW,2.0,Research Institute for ICT,2.0,,,National Science Foundation''-Division of Mathematical Sciences-under,4,Gustavo Saiz,2.0
NIEHS,2.0,School of Psychology,2.0,,,European Community's Seventh Framework Program for Research and Development,4,Luci Pirmez,2.0
GPGPU Computing Group,2.0,ARTORG Center for Biomedical Engineering,2.0,,,National Program on Key Basic Research Project (973 Program) of China,4,David Hakken,2.0
MAGNETIC Trial Management Group (TMG),2.0,Key research Foundation of Hebei Finance University,2.0,,,President Fund of UCAS,4,Wei Li,2.0
DELTA Network-Aware Delivery Clouds for User Centric Media Events,2.0,Department of Information Technology,2.0,,,Fonds NutsOhra,4,Deborah Street,2.0
Messidor program partners,2.0,SKK Graduate School of Business,2.0,,,External Cooperation Program of Guangdong Province of China,4,Peter Harrison,2.0
"28th Annual Symposium on Computational Geometry, 2012",2.0,Young Backbone Teachers in Colleges and Universities of Henan Province,2.0,,,Norwegian Knowledge Centre for the Health Services,4,Marcie L Walker,2.0
Energy Technologies Institute (ETI),2.0,Google Ph.D. Fellowship in Computational Neuroscience,2.0,,,National Science Foundation Office of the Director,4,Stephen Tse,2.0
SERVET,2.0,Lancashire Teaching Hospitals,2.0,,,National Institute for Health Research (NIHR) Imperial Patient Safety Translational Research Centre,4,Martinez-Beneito,2.0
Scientific Research (B),2.0,Emory Healthcare,2.0,,,PhD Science Initiation Foundation of Liaoning Province,4,Kate Moore,2.0
EMERALD,2.0,Binghamton University,2.0,,,VA HSR&D,4,Marcelo Castro,2.0
Dronemap,2.0,Competitiveness Program of Ural Federal University,2.0,,,DGT,4,Perez Angon,2.0
Primary Care Seed Fund,2.0,Institute of High Performance Computing (IHPC),2.0,,,Australian Computer Society (ACS),4,Anne Ueck,2.0
BioMedBridges,2.0,Health Systems Institute of Georgia Tech,2.0,,,UNC Health Care System,4,Aiping Liu.,2.0
LUROVATM,2.0,Connecticut Convergence Institute for Translation in Regenerative Engineering,2.0,,,Fundamental Research Program for Key Laboratory of the Education Department of Liaoning Province,4,Brianna Robinson,2.0
17th Annual European Congress of the International Society for Pharmaco-Economics and Outcomes Research on 8-12 November 2014,2.0,National Energy Research Scientific Computing Center,2.0,,,Youth Foundation of the Commission of Health and Family Planning of Wuxi,4,Ms. Kimura,2.0
Integrative Production Technology in High Wage Countries.,2.0,Midnapur Medical College,2.0,,,NIH/NIBIB,4,Carlos Hernandez,2.0
CAPES (Brazil,2.0,"University Grants Commission (UGC-SAP-DRS-II), New Delhi",2.0,,,Applied Basic Research Program of Qingdao,4,P. Brox,2.0
SUSTech,2.0,Faculty Research Grant Committee,2.0,,,STTR,4,McCallum T,2.0
Development of Tangible Social Media Technologies for Smart Aging,2.0,New York University Social Media and Political Participation (SMaPP) laboratory,2.0,,,PIA - Pacchetti Integrati di Agevolazione,4,Sherry Fahimi,2.0
CNRS-PEPS-NVCPU,2.0,Nottingham University Hospitals Charity,2.0,,,"National Center for Research Resources, National Institutes of Health",4,Brady Cleveland,2.0
PRACE-1IP,2.0,"Northwest A&F University, China",2.0,,,California Health Care Foundation,4,Lotta Maass,2.0
QuantMed,2.0,Fundamental Research Project of Beihang University,2.0,,,"Science and Technology Project of Henan Province, China",4,Laura Fernando,2.0
EXTRECM,2.0,MYE-N,2.0,,,Jiangsu Province's Key Provincial Talents Program,4,Monika Johansen,2.0
TPVision,2.0,UTS Chancellor's Postdoctoral Research Fellowship Grant,2.0,,,Research Project of Guangzhou Education Bureau,4,Celine Hocquette,2.0
AEROS,2.0,Nova Scotia Research and Innovation Graduate Scholarship Program,2.0,,,Programa Operacional Potencial Humano,4,Valentin Savin,2.0
Minwaashin Lodge,2.0,School of Civil and Mechanical Engineering,2.0,,,Cancer Council Victoria,4,D. Usanmaz,2.0
SNIC-UPPMAX,2.0,Ljubljana,2.0,,,Flagship InterOmics project,4,Zhenzhen Wang,2.0
Mobility Scholarships Abroad 2018,2.0,"School of Medicine, Ioannina, Ioannina, Greece",2.0,,,Conselho Nacional de Pesquisa e Desenvolvimento (CNPq - Brazilian National Council of Scientific and Technological Development),4,M. J. Zuo,2.0
SOROBAN,2.0,TU Kaiserslautern,2.0,,,"Ministry of Trade, Industry and Energy (MOTIE), South Korea",4,Terry Lisle,2.0
Basic Science Research Projects,2.0,UCL Faculty of Engineering Science,2.0,,,French ANR ALAMBIC project,4,Pencina,2.0
RTISIM,2.0,Southwest Jiao tong University in China,2.0,,,Centre of Excellence in Mathematics,4,Hannes Molsen,2.0
2014 ACM SIGPLAN-SIGACT International Conference on Principles of Programming Languages (POPL),2.0,Imperial College Healthcare NHS Trust,2.0,,,Key Technology R&D Program of Jiangxi Province,4,Gernot Reishofer,2.0
Simulation Science Center,2.0,Foundation of Shanxi Normal University,2.0,,,Board of Govenors or Methodology Committee,4,Sylvain Henry,2.0
B-PHIT Indy,2.0,Universitas Indonesia,2.0,,,Foundation for the Protection of Research and Scientific and Technological Development of the State of Maranhao (FAPEMA),4,Katalin Nadassy,2.0
Delphi Technique,2.0,Hacettepe University,2.0,,,Chang-Zhu-Tan National Indigenous Innovation Demonstration Zone Project,4,Ernesto Dufrechou,2.0
High Performance and Grid Computing Center (TRUBA Resources,2.0,"UGC, New Delhi (India)",2.0,,,Fund Program for the Scientific Activities of Selected Returned Overseas Professionals in Shaanxi Province,4,Mitzi Ramirez,2.0
Boston Children's Hospital,2.0,"Centre for Research, Chennai",2.0,,,"Ministry of Education, Science and Sport, Ljubljana, Republic of Slovenia",4,Ahmed Alshammari,2.0
PTK,2.0,Claude D. Pepper Older Americans Independence Center,2.0,,,Shanghai Knowledge Service Platform Project,4,Luca Fiorina,2.0
Integrated program,2.0,Motor Neurone Disease Research Institute of Australia,2.0,,,Susan G. Komen for the Cure,4,Anjul Patney,2.0
CDD TB,2.0,Health Behavior,2.0,,,Centro de Referencia em Radiocomunicacoes,4,Alan Batterham,2.0
LIDC/IDRI Database,2.0,Plymouth University,2.0,,,European Commission-DG INFSO,4,F. Brockherde,2.0
SQLA,2.0,UW,2.0,,,"National Board for Higher Mathematics-Department of Atomic Energy, New Delhi",4,Farshid Anvari,2.0
eGovernAbility-Access,2.0,Cardiac University Hospital of Valencia,2.0,,,Shenzhou,4,Stephen McCamant,2.0
"DFG Research Center MATHEON ""Mathematics for key technologies",2.0,City,2.0,,,Conselleria de Sanitat de la Generalitat Valenciana,4,D. Menon,2.0
Study Group on HIV/AIDS and Associated Diseases,2.0,Zhengzhou Institute of Information Science and Technology,2.0,,,UK Clinical Research Collaboration (UKCRC) Public Health Research Centre of Excellence,4,Haryadi Gunawi,2.0
"IEEE Global Signal Processing Conference, Austin, TX",2.0,Robert Bosch Centre for Cyber-Physical Systems (RBCCPS),2.0,,,The Netherlands Heart Foundation,4,Adeoye,2.0
Defence Research and Development Organisation-IISc Programme on Advanced Research in Mathematical Engineering,2.0,West Virginia University,2.0,,,EU project QUANTICOL,4,Dr Austin,2.0
mitoNET,2.0,"UPC, Barcelona (Spain)",2.0,,,Shenzhen Research and Development Program,4,Vinny Argentina,2.0
WPAFB,2.0,University of California Humanities Network,2.0,,,MedTech Centre of Research Expertise,4,Mandy Janich,2.0
AVIDO,2.0,Young Scholar,2.0,,,"111 International Collaboration Program, of China",4,Andrew Murnane,2.0
ICHEC,2.0,Institute for Research Excellence in Learning Sciences,2.0,,,Ministry of Health and Welfare (MOHW),4,Vishwesh Venkatraman,2.0
Round 5 Grand Challenges Explorations Phase I award,2.0,Philips Research Hamburg,2.0,,,973 Plan of China,4,Laura Tessin,2.0
Iuventus Plus' program,2.0,University of Utah Eccles Health Sciences Library,2.0,,,fondos,4,M. P. J,2.0
Research and Development of Innovative Network Technologies to Create the Future,2.0,University of Pisa Project PRA 2016 64,2.0,,,National Social Science Fund,4,Hartley M,2.0
myOSA,2.0,"Universita del Salento, Italy",2.0,,,Gaofeng Film Discipline Grant of Shanghai Municipal Education Commission,4,Nicole Ng,2.0
HiGHmed project,2.0,"Office of Research, Discovery, Innovation at the University of Arizona",2.0,,,Input Output Hong Kong,4,Fabricio Ziliotto,2.0
"EP-SRC ""Grand Challenge"" Fellowship",2.0,Training Program of Fundamental Research Funds of the Central Universities of South-Central University For Nationalities,2.0,,,INSHARE (INtegrating and Sharing Health dAta for Research),4,Joy Hancock,2.0
"Science and technology innovation action plan"" of Shanghai",2.0,Polytechnique Montreal,2.0,,,EU project COMMODITY,4,Katharina Wick,2.0
Munich Network Health Care Research MobilE-Net,2.0,Agricultural & Food Engineering Department,2.0,,,Young Elite Scientists Sponsorship Program by Tianjin,4,M. Bronstein,2.0
Sport Sciences for the Promotion of Active Life,2.0,"Osmania University, Hyderabad. University Grants Commission",2.0,,,Brazilian Research Council (CNPq),4,C Spire,2.0
LongVie 2007,2.0,Instituto de Ciencias Basicas (ICB),2.0,,,CRP ComPoSe,4,John Harding,2.0
Grupo de Sistemas Complejos del IPN,2.0,School of Computer Science & Technology in Soochow University,2.0,,,Technology Foundation Projects of Nantong,4,F. Melgani,2.0
Stokeslet,2.0,Farr Institute of Health Informatics Research at UCL Partners,2.0,,,UK Economic and Physical Sciences Research Council,4,Robert Bergevin,2.0
HydroShare,2.0,Boston College,2.0,,,U.S. Public Health Service,4,Alex Cook,2.0
Elite Research Scholarship,2.0,University of Florence,2.0,,,Knowledge Centre for Engineering Sciences and Technology (Medical Centre),4,Kim Huat Goh,2.0
Research Council (TRC),2.0,JVS,2.0,,,Community Pharmacy Foundation,4,Hannah Chimowitz,2.0
West Lothian Community Arts,2.0,University of the Highlands and Islands,2.0,,,Public Science and Technology Research Funds Projects of Ocean,4,Hendrik Strobelt,2.0
FERRET,2.0,Centre for Chemical Biology,2.0,,,"Ministry of Science, Research and the Arts of Baden-Wurttemberg (MWK)",4,Hailey Sutton,2.0
St. Marta dataset,2.0,"York University, Canada",2.0,,,Foundation for Distinguished Young Talents in Higher Education of Guangdong,4,Wladimir Morales,2.0
