MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
Fruit & Vegetable Marketing Research Program,3.0,Department of Ecosystem and Conservation Sciences,3.0,,,Bank of Canada Fellowship Program,4.0,Ricardo Perez-Truglia,8
Italian Statistical Society Meeting 2013,3.0,University of Wolverhampton,3.0,,,International Program Development Fund,4.0,Mywish Maredia,8
ERAE Editor,3.0,Cubist Systematic Strategies,3.0,,,Ministry of Education Fund on Humanities and Social Science,4.0,Javier Ordonez,8
GERUKA project,3.0,Roskilde University,3.0,,,International Potato Center,4.0,Jay Bhattacharya,8
Government of the Russian Federation,3.0,Newcastle University Joint Strategic Partnership Fund,3.0,,,SNF Sinergia,4.0,Rob Shimer,8
Methods for Health Technology Assessment of Medical Devices: a European Perspective'),3.0,BNP Paribas Cardiff,3.0,,,Humanities and Social Sciences of National Ministry of Education of China,4.0,Jeannette Brosig-Koch,8
Stochastic and Dynamic Hyperpath Equilibrium Models,3.0,College of Liberal Arts at Temple University,3.0,,,Fisheries and Oceans Canada (FOC),4.0,Stefan Ambec,8
SERRES,3.0,Brown University Population Studies and Training Center,3.0,,,Guangdong,4.0,Massimiliano Caporin,8
EAERE 2016 conference,3.0,"Dongseo University, Research Fund of 2015",3.0,,,Vehicle Technologies Office of the U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy,4.0,Nick Barberis,8
7th CEQURA Conference on Advances in Financial and Insurance Risk Management,3.0,Davis Giannini Foundation of Agricultural Economics Doctoral Fellowship,3.0,,,Anhui Social Science Foundation,4.0,Anil Jain,8
Survey on Households and Saving,3.0,Professor of Eminence,3.0,,,Postdoctoral Fellowship Program of the Hungarian Academy of Sciences,4.0,Chris Edmond,8
Great Place to Work Institute,3.0,Statistics Denmark,3.0,,,Doctoral Fellowships of Excellence Program,4.0,C. Aloui,8
Advance-HTA,3.0,UC Berkeley Dean's Normative Time Fellowship,3.0,,,Hong Kong Research Grants Council Early Career Scheme,4.0,Mike Shields,8
Iowa Agriculture and Home Economics Experiment Station,3.0,Universita Cattolica del Sacre Cuore in Milano,3.0,,,European Centre for Corporate Engagement (ECCE),4.0,Bruno Strulovici,8
Paris Agreement,3.0,Universitat Jaume I Castellon,3.0,,,National Scientific and Technological Development Council,4.0,Neil Bhutta,8
2014 EARIE Conference in Milan,3.0,International Growth Centre,3.0,,,Laura,4.0,Simon Anderson,8
Far-Eastern Meeting of the Econometric Society,3.0,Department of Environmental Economics,3.0,,,Portuguese Automotive Association (ACAP),4.0,Elliot Lipnowski,8
ULYSSES consortium,3.0,"Addis Ababa University, Ethiopia",3.0,,,National Social Science Foundation of China General Project,4.0,Eilon Solan,8
2014 American Accounting Association Western Region Meeting,3.0,Universidad del Norte,3.0,,,"Swiss Competence Center for Energy Research, Competence Center for Research in Energy, Society and Transition (SCCER-CREST)",4.0,Benjamin Born,8
TIPIPAPA project,3.0,Jiao Tong University,3.0,,,Financial Conduct Authority (UK),4.0,Debasis Mishra,8
15th Jan Tinbergen European Peace Science Conference,3.0,Department of Earth and Planetary Sciences,3.0,,,Spanish Department of Economy and Competitiveness,4.0,Ethan Ilzetzki,8
2014 FMA Asian Conference,3.0,"Professor of Economics at Newcastle University, Newcastle upon Tyne",3.0,,,Liikesivistysrahasto,4.0,Tano Santos,8
CESifo Conference on Public Economics,3.0,Islamic Research and Training Institute,3.0,,,"US Army Tank Automotive Research, Development and Engineering Center",4.0,Jon Bakija,8
10th Annual Australia New Zealand Workshop on Experimental Economics (ANZWEE),3.0,Tsinghua University Research Grant,3.0,,,Woods Hole Oceanographic Institution (WHOI),4.0,Michael Williamson,8
EIBURS,3.0,Vilas Life Cycle Professorship Grant,3.0,,,"United States Agency for International Development, Office of U.S. Foreign Disaster Assistance (USAID/OFDA)",4.0,Takuro Yamashita,8
Jarislowsky-Deutsch Chair in Economic and Financial Policy,3.0,J-PAL/Paris School of Economics,3.0,,,North Carolina Department of Public Instruction,4.0,Cormac O Grada,8
Reserve Bank of New Zealand,3.0,"Municipality of Ljubljana, Capital of Slovenia",3.0,,,Consolidated Research Group EJ/GV,4.0,Michael Burton,8
IAAE 2014,3.0,Istanbul Medeniyet University,3.0,,,"French Ministry of Ecology, Sustainable Development and Energy",4.0,Dietmar Harhoff,8
Fishery and Aquaculture Industry Research Fund,3.0,Faculty of Administrative Sciences and Economics,3.0,,,CEF.UP,4.0,Junjie Wu,8
AFAANZ),3.0,University of Puerto Rico,3.0,,,Framework Programme 7,4.0,E. Somanathan,8
CESA-Ecuador,3.0,Providence College,3.0,,,Policy Design and Evaluation Research in Developing Countries Initial Training Network (PODER),4.0,Petko Kalev,8
FOOD,3.0,Graduate Research Support Program Grant,3.0,,,USDA-NIFA-AFRI,4.0,Geertje Schuitema,8
School,3.0,Norman J. Arnold School of Public Health,3.0,,,General Programs,4.0,Michael Rockinger,8
Integration of small farms,3.0,College of Commerce,3.0,,,Italian Statistical Office,4.0,Wankeun Oh,8
Social-Ecological Research),3.0,"University of Trier (Trier, Germany",3.0,,,DFG Research Training Group 1411,4.0,Marcel Timmer,8
FZU-ZEW EnvEcon Seminar,3.0,Guelph U,3.0,,,"US DHHS, Office of the Assistant Secretary for Planning and Evaluation",4.0,Uwe Cantner,8
"global virtual-water network: social, economic, and environmental implications",3.0,Robert H. Smith School of Business,3.0,,,Catholic Relief Services (CRS),4.0,Linda Tesar,8
CRISIS,3.0,Research Committee of University of Macau,3.0,,,FOOD4SUSTAINABILITY,4.0,Marco Mariotti,8
Special Section,3.0,SITE Stanford,3.0,,,Teaching Fellowship,4.0,Christina Felfe,8
Spatial Economics Research Center,3.0,International Business School,3.0,,,Julis-Rabinowitz Center for Public Policy and Finance,4.0,Peter Huber,8
"International AAWE Workshop ""Economics of Organization and Integration in the Wine Sector",3.0,Universite de Nantes,3.0,,,project GENCOMMONS,4.0,Tim Kehoe,8
"XX International Tor Vergata Conference on Money, Banking and Finance",3.0,Bank of Israel,3.0,,,Centro de Estudios sobre Seguridad y Drogas (CESED),4.0,Minsuk Kwak,8
2017 Financial Management Association Annual Meeting (Boston),3.0,UWO,3.0,,,"Bill and Melinda Gates Foundation (BMGF), Seattle, Washington",4.0,Diego Moreno,8
Living longer in good health,3.0,MELESSA,3.0,,,Shanghai Planning Fund of Philosophy and Social Sciences,4.0,David Roodman,8
BalticSTERN Secretariat at the Stockholm Resilience Centre,3.0,"IGIER, Bocconi",3.0,,,Swiss Society for Financial Market Research (SGF) in Zurich,4.0,Peyton Young,8
CESifo workshop on Political Economy,3.0,Sax Institute,3.0,,,CENSE,4.0,Paul Koster,8
EUDN,3.0,Johnson Shoyama Graduate School of Public Policy,3.0,,,Ministry of Education Project of Key Research Institute of Humanities and Social Sciences at Universities in China,4.0,Pablo Branas-Garza,8
2014 Dauphine Amundi Chair in Asset Management Workshop,3.0,East Anglia,3.0,,,Science and Technology Foundation of Department of Education in Jiangxi Province,4.0,Colin McKenzie,8
AXA,3.0,Chair of Economics and Econometrics,3.0,,,MINES ParisTech,4.0,Mikael Elinder,8
EGADE Business School,3.0,Net Institute,3.0,,,European Union European Social Fund (ESF),4.0,Katrina Kosec,8
Junior Research Group POLISES,3.0,Independent Scientific Research Project of Wuhan University,3.0,,,Pfaff,4.0,Henrich Greve,8
CCGR,3.0,Athabasca University,3.0,,,Vietnamese Government,4.0,Peter Smith,8
2016 Financial Management Association Annual Meeting (Las Vegas,3.0,MPI Jena,3.0,,,Indian Meteorological Department (IMD),4.0,Erte Xiao,8
TNP2K,3.0,State Key Laboratory of Rail Traffic Control and Safety,3.0,,,IES,4.0,Massimo Massa,8
2015 Conference on Development Economics and Policy,3.0,Center for Economics and Public Policy,3.0,,,Major Project Program of the National Social Science Fund of China,4.0,Daniel Berkowitz,8
Rodney L. White Center,3.0,Johns Hopkins SAIS,3.0,,,Singapore-MIT Alliance for Research and Technology (SMART),4.0,Sudha Narayanan,8
CNEE Workshop Copenhagen 2017,3.0,Center for Social Research at the University of Malawi,3.0,,,Guanghua New Building,4.0,Peter Gooday,8
Integrated Pest Management,3.0,College of Engineering,3.0,,,"Defence Research and Development Organisation, India",4.0,Yoshiaki Ogura,8
Beyond MALPE-coordination: Integrative envisioning,3.0,IIM Calcutta,3.0,,,Telethon Kids Institute,4.0,Abraham Lioui,8
SITE workshop at Stanford,3.0,College of Economics and Management in Nanjing Agricultural University,3.0,,,Kenyan Government,4.0,Odilon Camara,8
EARIE 2011,3.0,Stockholm County,3.0,,,Jameel Poverty Action Lab (J-PAL),4.0,John Freebairn,8
Chicago Mercantile Exchange Group (CME),3.0,Kyoto University & Research and Evaluation Division,3.0,,,Carnegie Trust,4.0,Mika Maliranta,8
SERC,3.0,CPA Australia,3.0,,,Research and Innovation Staff Exchange under the Marie Sklodowska-Curie Actions,4.0,Yael Hochberg,8
Tracking Varietal Change and Adoption of Rust Resistant Wheat Varieties in Ethiopia,3.0,J. M. Tull School of Accounting,3.0,,,Journees de Microeconomie Appliquee (Besancon),4.0,Christoph Rothe,8
2007 Financial Management Association (FMA),3.0,NYU Law,3.0,,,Ministry of Education of the Czech Republic,4.0,Marcel Thum,8
BECOA,3.0,CUNY-Baruch College,3.0,,,UK's EPSRC,4.0,Gary Bolton,8
AEA meeting in Philadelphia,3.0,University of Winnipeg's Board of Regents,3.0,,,"Center for Educational Health, Arusha (CEDHA)",4.0,Johannes Munster,8
ETSG 2013,3.0,Arizona Pathways to Life Success for University Students (APLUS),3.0,,,NIHR Career Development Fellowship,4.0,Piet Eichholtz,8
Gallup World Poll,3.0,National School of Development,3.0,,,Australian Research Council (ARC) under Discovery Grant,4.0,Mario Padula,8
2016 Central Bank of Ireland's Economic History Workshop,3.0,Chair of Finance and Superannuation University of Technology Sydney,3.0,,,Department of Political Economy,4.0,Stephen Hansen,8
e-Geopolis,3.0,"University of Lincoln, UK",3.0,,,Flemish Supercomputer Center (VSC),4.0,Bill Collins,8
DECC,3.0,SKBI School of Business,3.0,,,ESRC Postdoctoral Fellowship Scheme,4.0,Mario Crucini,8
Arkansas Soybean Promotion Board,3.0,School of Geography and Sustainable Development,3.0,,,"Australian Research Council (ARC), Australia",4.0,Birendra Rai,8
2015 Economic History Workshop,3.0,Crawford School,3.0,,,EPSRC (Engineering and Physical Sciences Research Council of the UK),4.0,Bill Dupor,8
Boston Area Gleaners,3.0,University of Queensland Graduate School International Travel Awards,3.0,,,Growth-Innovation-Competitiveness: Fostering Cohesion in Central and Eastern Europe,4.0,Sven Hoeppner,8
28th European Association of Labour Economists Conference (EALE),3.0,Central Bank of Brazil,3.0,,,Australian Red Cross Blood Service,4.0,Peter Ganong,8
project Trans-SEC,3.0,Universite d'Antananarivo,3.0,,,Council of Scientific and Industrial Research (CSIR),4.0,David Ng,8
CIGI Senior Fellow,3.0,"Ethiopian Development Research Institute, Addis Ababa, Ethiopia",3.0,,,BARD,4.0,Brayden King,8
The Labor Market in the Aftermath of the Great Recession,3.0,Centre for Health Economics Research and Evaluation at UTS,3.0,,,Poverty Action Lab (JPAL),4.0,Luca Sala,8
High Performance Computing Research Center (HPCRC),3.0,University Social Science Foundation of Jiangxi,3.0,,,International Council on Clean Transportation (icct),4.0,David Mauer,8
2015 ZEW Public Finance Conference in Mannheim,3.0,UCLA Graduate Division,3.0,,,Sybil Harrington Foundation,4.0,Thomas Buchmueller,8
Econpop program,3.0,"Institute for Tourism Studies, Macau",3.0,,,Bank of Canada (Research Fellowship),4.0,Carlos Pimienta,8
LabEX ARBRE ANR-11-LABX-0002-01,3.0,Smeal Professor of Marketing,3.0,,,National Natural Science Funds for Young Scholar of China,4.0,Xiaobing Wang,8
9th Biennial Conference,3.0,"European School of Management and Technology, Berlin",3.0,,,National Key Technology R&D Program,4.0,Espen Eckbo,8
LSE-Oxford,3.0,Bordeaux I University,3.0,,,Clean Development Mechanism Fund,4.0,Rosa Rodriguez,8
NIBS,3.0,Laboratory for Research in Experimental Economics (LINEEX),3.0,,,Office of Futures and Options Research (OFOR),4.0,Richard Sloan,8
"Policies and Institutions for Achieving the Virtuous Food-Energy-Water Nexus in Sub-Saharan Africa"")",3.0,Energy Economics Seminar at Renmin University of China,3.0,,,Center for Retirement Research,4.0,Ina Simonovska,8
Adaptation at Scale in Semi-Arid Regions,3.0,U of Guelph,3.0,,,"Department of Management, Economics and Quantitative Methods",4.0,Enrico Perotti,8
IDESCAT,3.0,"Birkbeck College, London",3.0,,,Internal Grant Agency (IGA),4.0,Oege Dijk,8
2012 AFR Summer Institute of Economics and Finance,3.0,Singapore National University,3.0,,,"German Centre for Integrative Biodiversity Research (iDiv), Leipzig",4.0,Utku Unver,8
Factores de Competitividade - COMPETE,3.0,Chartered Institute of Management Accountants (CIMA),3.0,,,Erasmus Mundus Programme of the European Commission,4.0,Ulrich Wagner,8
Journees Jeunes Chercheurs INRA-SAE2,3.0,San Antonio,3.0,,,American Society of Health Economists,4.0,Larry Wall,8
2011 Macro and Financial Econometrics Conference,3.0,Center for Applied Research in Finance (CAREFIN) of Bocconi University,3.0,,,American Economic Association,4.0,James Banks,8
CIGI,3.0,Cass Business School in London,3.0,,,FWO (Research Foundation Flanders,4.0,Christopher Parmeter,8
Compositional and Spatial Data Analysis (COSDA)',3.0,Centre for Postgraduate Nursing,3.0,,,Hunan Provincial Innovation Foundation,4.0,Henrik Horn,8
IATRC Annual Meeting 2017,3.0,Santiago de Compostela,3.0,,,Instituto Milenio MIPP,4.0,Paul Collier,8
Panel Study of Income Dynamics,3.0,Tokyo Keizai University,3.0,,,Government of Andorra,4.0,Alessandro Rebucci,8
2011 IATRC Annual Meeting,3.0,Budapest University of Technology and Economics (BME FIKP-VIZ,3.0,,,Global Center of Excellence Programme,4.0,Ned Augenblick,8
SSES 2013 Conference,3.0,"Forest University, Shaanxi",3.0,,,All Latitudes and Cultures BRT Centre of Excellence,4.0,Natalia Fabra,8
ECO2013-47486-P,3.0,Industrial Relations Section,3.0,,,PolyU Internal Research Grants,4.0,Zhong Zhao,8
Young Scientist Summer Program (YSSP),3.0,Norwegian Academy of Science and Letters,3.0,,,"Swiss National Science Foundation, Switzerland",4.0,Hiroshi Ohashi,8
iLiNS DYAD-G,3.0,Suleyman Demirel University Scientific Research Projects Coordination Unit (SDUBAP),3.0,,,Farm Accountancy Cost Estimation and Policy Analysis of European Agriculture),4.0,Kevin Murphy,8
2015 Applied Environmental Economics Conference,3.0,Northwestern University Kellogg School of Management,3.0,,,FRIA,4.0,Matthew Shum,8
7th IZA/CIER Annual Workshop on Research in Labor Economics,3.0,Duke University Energy Initiative,3.0,,,NIHR Doctoral Research Fellowship,4.0,Vartika Singh,8
Future Forests Research Programme,3.0,Research Centre for East European Studies,3.0,,,"European Union 7th Framework Programme European Health Care Outcomes, Performance and Efficiency (EuroHOPE)",4.0,Vasso Ioannidou,8
KIT,3.0,Bogazici University Research Fund (BAP),3.0,,,Economic Risk,4.0,Bob Pollak,8
THALES,3.0,Universita Cattolica,3.0,,,FET Project SIMPOL,4.0,Amil Dasgupta,8
FAMPS,3.0,The Hausdorff Center for Mathematics of The University of Bonn,3.0,,,SHARELIFE,4.0,Panu Poutvaara,8
SIX Center,3.0,Edith Cowan University,3.0,,,Australian Government Endeavour Research Fellowship,4.0,Peter Boswijk,8
Impact of Climate Change and Globalization on Safety of Fresh Produce - Governing a Supply Chain of Uncompromised Food Sovereignty,3.0,"Research Development Fund of Xi'an Jiaotong-Liverpool University, China",3.0,,,Belgian Development Cooperation,4.0,Rodolfo M. Nayga,8
2011 Research Fund,3.0,Center for Emerging Markets,3.0,,,Royal Socety of Edinburgh (RSE),4.0,Joel Rodrigue,8
RIDGE conference in Washington,3.0,Fitzwilliam College,3.0,,,European Institute of Technology & Innovation (EIT),4.0,Danling Jiang,8
Tata-Cornell Agriculture and Nutrition Initiative (TCi),3.0,Ohio State University's Institute for Population Research,3.0,,,Sompo Japan Nipponkoa Environmental Foundation,4.0,Richard Peter,8
CICF,3.0,Institute for Clinical and Economic Review,3.0,,,Provincial Government of the Autonomous Province of Vojvodina,4.0,Lones Smith,8
LASSSIE,3.0,UC Merced,3.0,,,Australian National Environmental Research Program's Environmental Decisions Hub,4.0,Ben Keys,8
2013 IZA Summer School,3.0,Deakin,3.0,,,"New Issues in Agricultural, Food and Bio-energy Trade (AGFOODTRADE)",4.0,Hiroyuki Ozaki,8
Oxford Centre for the Analysis of Resource Rich Economies,3.0,Glasgow University,3.0,,,Pistaferri,4.0,Amparo Palacios-Lopez,8
EU 7th Framework,3.0,"Norwegian University of Life Sciences, As, Norway",3.0,,,Biobased Industry Center (BIC),4.0,Samuel Berlinski,8
29th Triennial International Conference of Agricultural Economists,3.0,"Stellenbosch University, South Africa",3.0,,,Germany,4.0,Gharad Bryan,8
RES Meeting 2015,3.0,Kelley School of Business Indiana University,3.0,,,"Central Statistics Organization, Government of Afghanistan (GoA)",4.0,David Rahman,8
Vetenskapsradet,3.0,Martin Prosperity Institute,3.0,,,Asian Bureau of Finance and Economic Research (ABFER),4.0,Jens Friis Lund,8
Presidential Address,3.0,Stanford University/Iowa State Biochar Project,3.0,,,Carnegie Mellon (CMU) Climate and Energy Decision Making Center (CEDM),4.0,Stefano Battiston,8
AbbVie,3.0,Society of Financial Econometrics,3.0,,,Gothenburg Centre of Globalisation and Development (GCGD),4.0,Andras Niedermayer,8
Marie Sklodowska-Curie,3.0,Hong Kong Polytechnic University Internal Competitive Research Grant,3.0,,,Svenska Forskningsradet Formas,4.0,Iris Kesternich,8
UDELAR,3.0,Basic Research Fund for Public Research Institute,3.0,,,FET project DOLFINS,4.0,Ed Coulson,8
Development Economics Conference 2017,3.0,Funding of Sichuan University,3.0,,,Kenneth and Anne Griffin Foundation,4.0,Lawrence White,8
Program on Education Policy and Governance (PEPG),3.0,Excellence Initiative of Aix-Marseille University,3.0,,,Swiss Federal Office of Statistics,4.0,Jin Li,8
INVALSI,3.0,Graduate School of the University of Minnesota,3.0,,,Galapagos National Park,4.0,Christian Dippel,8
Global Conservation Fund,3.0,Kansas Board of Regents,3.0,,,UK-Aid,4.0,David Deming,8
SERVICEGAP,3.0,Real Estate Research Institute,3.0,,,US Patents and Trademark Office,4.0,Alessandro Bucciol,8
Econometric Society Asian Meeting,3.0,"Economic Analysis Division, Economic and Social Research Institute",3.0,,,Research Group,4.0,Peter Katuscak,8
AFSEE,3.0,Bank of Montreal Chair,3.0,,,NORFACE-DIAL,4.0,Jeroen van den Bergh,8
CONACYT in Mexico,3.0,"School of Accounting, Economics and Finance",3.0,,,UK Engineering and Physical Sciences Research Council (EPSRC) Career Acceleration,4.0,Jon Guryan,8
SBCA 2014 Annual Conferences,3.0,National University of Rwanda in Butare,3.0,,,Programa de Excelencia del Banco de Espana,4.0,Baran Doda,8
national High Performance Center,3.0,"University of Essex, Colchester",3.0,,,National Bank of Serbia,4.0,Rabah Amir,8
EALE (Ghent 2016,3.0,Richard King Mellon Foundation,3.0,,,Politickych veznu,4.0,Bart Verspagen,8
Copenhagen Business School,3.0,517 Kern Graduate Building,3.0,,,MEXT KAKENHI,4.0,Vladimir Ponczek,8
INFORMS annual meeting,3.0,Universidad Javeriana,3.0,,,"Korea Ministry of Trade, Industry & Energy",4.0,Dmitry Livdan,8
Marketing and Retail Division of the Management School,3.0,Bangor Business School,3.0,,,U.S. Fish and Wildlife Service,4.0,Adriana Kugler,8
European Economic Association (EEA) in Oslo,3.0,NYU Law School,3.0,,,PIF Scholarship,4.0,Francesca Molinari,8
BILITA,3.0,MEXT-supported Program for the Strategic Research Foundation at Private Universities,3.0,,,Center for the History of Political Economy (CHOPE),4.0,Mark Setterfield,8
2014 AFAANZ Conference,3.0,UECE (Research Unit on Complexity and Economics),3.0,,,Agriculture and Food Research Initiative of the USDA National Institute of Food and Agriculture,4.0,Gary Fields,8
33rd French Finance Association Conference,3.0,University of Stockholm,3.0,,,Instrument Design for Global Climate Mitigation (INDIGO),4.0,Felix Weinhardt,8
NTNU,3.0,Livestock Gentec University of Alberta,3.0,,,CIAUD,4.0,Ed Hopkins,7
"Theory, Evidence and Policy",3.0,KiM Netherlands Institute for Transport Policy Analysis,3.0,,,National Treasury,4.0,Bjorn Eraker,7
ACFAS,3.0,Aberystwyth Business School,3.0,,,Japan Society for the Promotion of Science grant-in-aid for Scientific Research (KAKENHI,4.0,Deepak Hegde,7
EuroQol Research Foundation,3.0,School of International Service,3.0,,,Erling-Persson Family Foundation,4.0,David Wood,7
TEMPO,3.0,Edinburgh University,3.0,,,Anillo in Social Sciences and Humanities,4.0,Guy Michaels,7
FMA Asia Pacific Conference (Sydney),3.0,SOFT at Stockholm University,3.0,,,F.R.S.-FNRS,4.0,Einav,7
National Tax Association Meetings,3.0,Regional Economics Application Laboratory,3.0,,,Northern Regional Office of the European Forest Institute,4.0,James Harrigan,7
2015 Southern Economic Association Annual Conference,3.0,Jacobs Levy Equity Management Center for Quantitative Financial Research,3.0,,,French Ministry of Environment (PAYTAL,4.0,Linda Johanson,7
EBIM 2010,3.0,San Francisco State University,3.0,,,JSPS KANENHI,4.0,Andrew Stark,7
8th Trans-Pacific Labor Seminar,3.0,Flinders University,3.0,,,Southern African Science Service Center for Climate Change and Adaptive LandUse Management (SASSCAL),4.0,Robert Johnston,7
2016 Barcelona Workshop on Regional and Urban Economics,3.0,Forestry University Research Fund for Young Teachers,3.0,,,NSF Long-term Ecological Research Program,4.0,Ferdinando Monte,7
XXIX Jornadas de Economia Industrial in Barcelona,3.0,Upjohn Institute Early Career Research Award,3.0,,,Fundamental Research Funds for the Central Universities of the Chinese Ministry of Education,4.0,Flavio Menezes,7
Ending Rural Hunger,3.0,Slovenian Academy of Sciences and Arts,3.0,,,ERC Grant Agreement,4.0,Chun,7
TAU,3.0,ZEW Centre for European Economic Research in Mannheim,3.0,,,U.S. National Science Foundation's Dynamics of Coupled Natural and Human Systems (CNH) Program,4.0,John Loomis,7
Work Pensions and Labour Economics Conferences,3.0,Central Bank of Sri Lanka,3.0,,,Wellcome Trust Society & Ethics Research Fellowship,4.0,Rodrigo Pinto,7
Mejoramiento de la productividad,3.0,Netspar,3.0,,,"Ministry of the Environment, Government of Japan",4.0,Jungmin Lee,7
MEXT,3.0,Reseach Fellow at IZA,3.0,,,European Commission Seventh Framework programme,4.0,Alexander Guembel,7
RED,3.0,Wuhan University Law School,3.0,,,Think Tank of Energy Mining Economy,4.0,Becky Loo,7
"Chair ""The Economics of Natural Gas",3.0,University of Hamburg in Hamburg,3.0,,,Federal Ministry for the Environment Nature Conversation and Nuclear Safety (BMU),4.0,Seik Kim,7
XIII EAAE Congress,3.0,Kiel Institute of International Economics,3.0,,,Panteia/EIM,4.0,Jose Miguel Martinez Carrion,7
IIE,3.0,Institute of Nutrition and Food Safety,3.0,,,European Union under Framework Programme 7,4.0,Cuong Le Van,7
Women's Empowerment in Agriculture Index,3.0,ESPE in Braga,3.0,,,Foundation for Economic Research in West Sweden,4.0,Jeff Wurgler,7
Stata/SE 10.1,3.0,Open Access fund of Leibniz University Hannover,3.0,,,Marie Curie Transfer of Knowledge Fellowship,4.0,Phil Strahan,7
CSIC,3.0,"University Medical Center Hamburg-Eppendorf, Germany",3.0,,,Ocean of Tomorrow,4.0,Nikolaus Hautsch,7
"Indian Statistical Institute, New Delhi",3.0,TUBITAK,3.0,,,Banco de la Republica,4.0,Anthony DeFusco,7
DIW Berlin,3.0,Sol Price School of Public Policy,3.0,,,RIETI,4.0,Bruno Cassiman,7
2015 Conference of the American Accounting Association's Public Interest Section,3.0,Economics Department ofStanford University,3.0,,,Department of Social Development (DSD),4.0,Bart Wilson,7
Consumer and Market Demand Research Policy Network hosted in Canada,3.0,CeLSIUS,3.0,,,"Universitat Jaume I, Spain",4.0,Raj Arunachalam,7
2015-2016 BiodivERsA COFUND,3.0,IRP RIDGE Center for National Food and Nutrition Assistance Research,3.0,,,"Major Program of Minister of Education, China",4.0,Laura Vang Rasmussen,7
Scottish Government,3.0,Baruch College Wasserman Fellowship Grant,3.0,,,Shuguang Planning of Shanghai Education Development Foundation,4.0,Chuck Mason,7
Technical Efficiency of Food Industry Enterprises,3.0,Universite de Lille 1,3.0,,,IES Statistical Research and Methodology,4.0,Gur Huberman,7
PRO-FORMAL: Policy and regulatory options,3.0,Universidad Loyola Andalucia,3.0,,,Bundesanstalt fur Landwirtschaft,4.0,Brady Williams,7
Decent Rural Employment Team of FAO,3.0,Giessen University,3.0,,,"Ministry of Science, Education and Sports of the Republic of Croatia",4.0,Tom Neubig,7
5th Annual Meeting of ASFEE,3.0,Carleton,3.0,,,Fung Yiu King,4.0,Makoto Kakinaka,7
Development Economics Group (DEC),3.0,"Harbin Institute of Technology, Weihai",3.0,,,Rede Clima,4.0,Semyon Malamud,7
DSM,3.0,University of Texas at Dallas Institutional Review Board,3.0,,,CTI (Commission for Technology and Innovation),4.0,Philippe Van Kerm,7
Organic RDD 2 Programme,3.0,Ruhr University Research School PLUS,3.0,,,Foundation of Youth for Humanity and Social Sciences,4.0,Krishnamurthy Subramanian,7
MIT-Portugal Program,3.0,Isaac Newton Institute for Mathematical Sciences,3.0,,,Chinese Ministry of Science and Technology,4.0,Kathy Spier,7
Annual Conference of the Association for Public Economic Theory,3.0,University of Edinburgh Business School,3.0,,,Department of Humanities and Social Sciences,4.0,Mark Ramseyer,7
Evaluation of Research and Development Effects on the Economic Growth of the Czech Republic,3.0,Erb Institute for Global Sustainable Enterprise,3.0,,,Region Pays de la Loire,4.0,Shuping Chen,7
Academy of Management Meeting 2010,3.0,University of Lodz,3.0,,,Iuventus Plus Programme,4.0,Fabio Mariani,7
2006 FMA European Meeting,3.0,Arch Woodside,3.0,,,Helmholtz Association,4.0,Karen Lewis,7
Teagasc,3.0,Kilts Center for Marketing at The University of Chicago Booth School of Business,3.0,,,JSPS (Japan Society for the promotion of Science) KAKENHI,4.0,Michael Konig,7
EFA 2012,3.0,Von Allmen School of Accountancy,3.0,,,Norman E. Borlaug Leadership Enhancement in Agriculture Program,4.0,Zhuan Pei,7
Time Series Workshop on Macro and Financial Economics,3.0,Program of Natural Resource Economics and Policy,3.0,,,World Bank's Board of Executive Directors,4.0,Teck Yong Tan,7
2nd Asia Pacific Industrial Organisation Conference,3.0,Cornell affiliated Mario Einaudi Center for International Studies,3.0,,,Shanghai Leading Academic Discipline Project,4.0,M. Yoon,7
NQ Dry Tropics (NQDT),3.0,Stockholm Environment Institute,3.0,,,RCUK Energy Program,4.0,Robert Ostling,7
Academy of Management Conference 2006,3.0,School of Mathematical Sciences,3.0,,,Emerging Fields Initiative (EFI),4.0,Astrid Kander,7
CAAS-IRRI GSR Project,3.0,Rennes Metropole District,3.0,,,ERSA Working Paper,4.0,Andreas Kotsadam,7
Michigan RDC,3.0,Haas School of Business at UC Berkeley,3.0,,,"Ministry of Innovation, Science and Research (MIWF)",4.0,Karolin Kirschenmann,7
CliSAP,3.0,Concordia,3.0,,,U.S. Department of Veterans Affairs Health Services Research and Development,4.0,Aimee Chin,7
Inquire UK,3.0,Universite d'Orleans,3.0,,,Association of Public Policy Analysis and Management (APPAM),4.0,Shujiro Urata,7
2014 Air Transport Research Society (ATRS) Annual Conference,3.0,The Royal (Dick) School of Veterinary Studies,3.0,,,Gilboa,4.0,Gilat Levy,7
106 Bunhill Row,3.0,University of Manitoba's Transport Institute,3.0,,,Regional Government of Catalonia,4.0,John Thanassoulis,7
theAsia PacificReal EstateResearch Symposium,3.0,Shanghai International Institute of Finance and Economics,3.0,,,National Education Information Technology Research,4.0,Gian Maria Milesi-Ferretti,7
2015 ASSA,3.0,"School of Agriculture, Policy and Development",3.0,,,CGIAR Research Program on Maize (Maize-1CRP),4.0,Andre Decoster,7
