text,abbreviation,full
Centre for Innovative Planning and Development,CIPD,Centre for Innovative Planning and Development (CIPD)
Comprehensive International Program of Research on AIDS,CIPRA,Comprehensive International Program of Research on AIDS (CIPRA)
Cooperative Institute for Research in the Atmosphere,CIRA,Cooperative Institute for Research in the Atmosphere (CIRA)
French Agricultural Research Centre for International Development,CIRAD,French Agricultural Research Centre for International Development (CIRAD)
French Centre for Agricultural Research and International Cooperation,CIRAD,French Agricultural Research Centre for International Development (CIRAD)
French Research Institute for Tropical Agriculture,CIRAD,French Agricultural Research Centre for International Development (CIRAD)
Cultural and Indigenous Research Centre Australia,CIRCA,Cultural and Indigenous Research Centre Australia (CIRCA)
Centers  Initiatives for Research Curriculum and Learning Experiences,CIRCLE,"Centers & Initiatives for Research, Curriculum, and Learning Experiences (CIRCLE)"
Centre for Innovation Research and Competence in the Learning Economy,CIRCLE,"Centers & Initiatives for Research, Curriculum, and Learning Experiences (CIRCLE)"
Center for Integrated Research and Community Development,CIRCODU,Center for Integrated Research and Community Development (CIRCODU)
Canadian International Resources and Development Institute,CIRDI,Canadian International Resources and Development Institute (CIRDI)
Center for International Research in the Humanities and Social Sciences,CIRHUS,Center for International Research in the Humanities and Social Sciences (CIRHUS)
Canadian Institute for Research on Linguistic Minorities,CIRLM,Canadian Institute for Research on Linguistic Minorities (CIRLM)
Comissao Interministerial para os Recursos do Mar,CIRM,Brazilian Interministerial Commission for Sea Resources (CIRM)
Interministerial Commission for Sea Resources,CIRM,Brazilian Interministerial Commission for Sea Resources (CIRM)
Brazilian Interministerial Commission for Sea Resources,CIRM,Brazilian Interministerial Commission for Sea Resources (CIRM)
InterMinisterial Commission for Marine Resources,CIRM,Brazilian Interministerial Commission for Sea Resources (CIRM)
Brazilian InterMinisterial Commission for the Resources of the Sea,CIRM,Brazilian Interministerial Commission for Sea Resources (CIRM)
Centre for Interdisciplinary Research in Music Media and Technology,CIRMMT,Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT)
Coastal Imaging Research Network,CIRN,Coastal Imaging Research Network (CIRN)
Centre for Interdisciplinary Research in Rehabilitation and Social Integration,CIRRIS,Centre for Interdisciplinary Research in Rehabilitation and Social Integration (CIRRIS)
Center for International Security and Cooperation,CISAC,Center for International Security and Cooperation (CISAC)
Center for Innovation in Ship Design,CISD,Center for Innovation in Ship Design (CISD)
International Campus on Safety and Intermodality in Transportation,CISIT,International Campus on Safety and Intermodality in Transportation (CISIT)
Center for International Scientific Studies  Collaboration,CISSC,Center for International Scientific Studies  Collaboration (CISSC)
Computational Intelligence Technology Center,CITC,Computational Intelligence Technology Center (CITC)
Center for Identification Technology Research,CITeR,Center for Identification Technology Research (CITeR)
Community Involvement in Urban Spatial Planning,CIUSP,Community Involvement in Urban Spatial Planning (CIUSP)
Center for Watershed Studies,CIWS,Center for Watershed Studies (CIWS)
Center on Japanese Economy and Business,CJEB,Center on Japanese Economy and Business (CJEB)
Chinese Knowledge Center of Engineering Science and Technology,CKCEST,Chinese Knowledge Center of Engineering Science and Technology (CKCEST)
ChinaKorea Joint Ocean Research Centre,CKJORC,ChinaKorea Joint Ocean Research Centre (CKJORC)
Collaborations in Leadership for Applied Health Research and Care,CLAHRC,Collaborations in Leadership for Applied Health Research and Care (CLAHRC)
Collaboration for Leadership in Applied Health Research and Care East Midlands,CLAHRC EM,Collaboration for Leadership in Applied Health Research and Care East Midlands (CLAHRC EM)
Collaboration for Leadership in Applied Health Research and Care East of England,CLAHRC EoE,Collaboration for Leadership in Applied Health Research and Care East of England (CLAHRC EoE)
Collaboration for Leadership and Applied Health Care East of England,CLAHRC EoE,Collaboration for Leadership in Applied Health Research and Care East of England (CLAHRC EoE)
Collaborations for Leadership in Applied Health Research and Care for West Midlands,CLAHRC WM,Collaborations for Leadership in Applied Health Research and Care for West Midlands (CLAHRC WM)
Central Laboratory for Aquaculture Research,CLAR,Central Laboratory for Aquaculture Research (CLAR)
CoreLogic Academic Research Council,CLARC,CoreLogic Academic Research Council (CLARC)
ONR Coastal Land Air Sea Interaction,CLASI,ONR Coastal Land Air Sea Interaction (CLASI)
Climate Linked Atlantic Section Science,CLASS,Climate Linked Atlantic Section Science (CLASS)
Care Life Cycle,CLC,Care Life Cycle (CLC)
Centre for Labour Employment and Work,CLEW,Centre for Labour Employment and Work (CLEW)
Centre for Leadership  Innovation,CLI,Centre for Leadership  Innovation (CLI)
Center for Life in the Flow,CLiF,Center for Life in the Flow (CLiF)
Climate Impacts on Oceanic Top Predators,CLIOTOP,Climate Impacts on Oceanic Top Predators (CLIOTOP)
Council on Library and Information Resources,CLIR,Council on Library and Information Resources (CLIR)
Chronic Lymphocytic Leukemia,CLL,Chronic Lymphocytic Leukemia (CLL)
Center for Latinoa and Latin American Studies,CLLAS,Center for Latinoa and Latin American Studies (CLLAS)
Centre for LabourManagement Relations,CLMR,Centre for LabourManagement Relations (CLMR)
Canadian Labour Market and Skills Researcher Network,CLSRN,Canadian Labour Market and Skills Researcher Network (CLSRN)
CSIRO Land and Water,CLW,CSIRO Land and Water (CLW)
Computational Models for Industrial Management,CM4IM,Computational Models for Industrial Management (CM4IM)
Club Managers Association of America,CMAA,Club Managers Association of America (CMAA)
Chicago Metropolitan Agency for Planning,CMAP,Chicago Metropolitan Agency for Planning (CMAP)
Center for Microprocessor Application for Training Education and Research,CMATER,Center for Microprocessor Application for Training Education and Research (CMATER)
Centre for Marine Bioinnovation,CMB,Centre for Marine Bioinnovation (CMB)
Carbon Management Canada,CMC,Carbon Management Canada (CMC)
Center for Advanced Marine Core Research,CMCR,Center for Advanced Marine Core Research (CMCR)
Capital Markets Cooperative Research Centre,CMCRC,Capital Markets Cooperative Research Centre (CMCRC)
Centre for Microbial Diversity and Evolution,CMDE,Centre for Microbial Diversity and Evolution (CMDE)
Chicago Mercantile Exchange Group,CME,Chicago Mercantile Exchange Group (CME)
Center for Marine and Environmental Radioactivity,CMER,Center for Marine and Environmental Radioactivity (CMER)
Copernicus Marine and Environment Monitoring Service,CMES,Copernicus Marine and Environment Monitoring Service (CMES)
Center for Mental Health Services,CMHS,Center for Mental Health Services (CMHS)
Centre for Mathematical Imaging in Healthcare,CMIH,Centre for Mathematical Imaging in Healthcare (CMIH)
Council of Mortgage Lenders,CML,Council of Mortgage Lenders (CML)
Center for Mathematical Modeling and Computer Simulation,C-MMACS,Center for Mathematical Modeling and Computer Simulation (C-MMACS)
Chinese Movie Micro Dataset,CMMD,Chinese Movie Micro Dataset (CMMD)
Center for Coastal Marine Observation and Prediction,CMOP,Center for Coastal Marine Observation and Prediction (CMOP)
The Community Migrant Resource Centre,CMRC,The Community Migrant Resource Centre (CMRC)
NATO STO Centre for Maritime Research and Experimentation,CMRE,Center for Maritime Research and Experimentation (CMRE)
Center for Maritime Research and Experimentation,CMRE,Center for Maritime Research and Experimentation (CMRE)
Centers for Medicare  Medicaid Services,CMS,Centers for Medicare and Medicaid Services (CMS)
Centers for Medicare and Medicaid,CMS,Centers for Medicare and Medicaid Services (CMS)
Office of Research Development and Information Centers for Medicare and Medicaid Services,CMS,Centers for Medicare and Medicaid Services (CMS)
Case Management Society of Australia,CMSA,Case Management Society of Australia (CMSA)
Consortium of Multiple Sclerosis Centers,CMSC,Consortium of Multiple Sclerosis Centers (CMSC)
Center of Maritime Technologies,CMT,Center of Maritime Technologies (CMT)
Carnegie Mellon,CMU,Carnegie Mellon (CMU)
Caisse Nationale dAssurance Maladie des Travailleurs Salaries,CNAMTS,French National Health Insurance Fund for Employees (CNAMTS)
French National Health Insurance Fund for Employees,CNAMTS,French National Health Insurance Fund for Employees (CNAMTS)
Corporation for National and Community Service,CNCS,Corporation for National and Community Service (CNCS)
Program of the Corporation for National and Community Service,CNCS,Corporation for National and Community Service (CNCS)
Chinese National Defense Foundation of Science and Technology,CNDFST,Chinese National Defense Foundation of Science and Technology (CNDFST)
Centre for Natural Disaster Science,CNDS,Centre for Natural Disaster Science (CNDS)
Centre National dEtudes Spatiales,CNES,French National Space Center (CNES)
National Center for Space Studies,CNES,French National Space Center (CNES)
French Space Agency,CNES,French National Space Center (CNES)
Centre of New Energy Systems,CNES,French National Space Center (CNES)
French National Space Center,CNES,French National Space Center (CNES)
French space agency Centre National dEtudes Spatiales,CNES,French National Space Center (CNES)
French governments Centre National dEtudes Spatiales,CNES,French National Space Center (CNES)
Confederacao Nacional da Industria,CNI,National Confederation of Industry (CNI)
National Confederation of Industry,CNI,National Confederation of Industry (CNI)
NSF Catalyzing New International Collaborations,CNIC,NSF Catalyzing New International Collaborations (CNIC)
Centers for AIDS Research Network of Integrated Clinical Systems,CNICS,Centers for AIDS Research Network of Integrated Clinical Systems (CNICS)
Centro Nacional de Microelectronica,CNM,Centro Nacional de Microelectronica (CNM)
China National Offshore Oil Corporation,CNOOC,China National Offshore Oil Corporation (CNOOC)
China National Offshore Oil Company,CNOOC,China National Offshore Oil Corporation (CNOOC)
Project of China National Offshore Oil Corporation,CNOOC,China National Offshore Oil Corporation (CNOOC)
Conselho Nacional de Desenvolvimento Cientifico eTecnologico,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
National Council for Scientific and Technological Development,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
National Council for Scientific and Technological Development,CNPq,Brazilian National Council of Technological and Scientific Development (CNPQ)
National Counsel of Technological and Scientific Development,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
Centro Nacional de Pesquisa Cientifica,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
Brazilian National Research Council,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
Brazilian National Council of Technological and Scientific Development,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
National Council for Technological Development,CNPQ,Brazilian National Council of Technological and Scientific Development (CNPQ)
National Council of Technological and Scientific Development,CNPq,Brazilian National Council of Technological and Scientific Development (CNPQ)
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,CNPq,Brazilian National Council of Technological and Scientific Development (CNPQ)
California Native Plant Society,CNPS,California Native Plant Society (CNPS)
Italian National Research Council,CNR,Italian National Research Council (CNR)
National Research Council,CNR,Italian National Research Council (CNR)
National Research Council of Italy,CNR,Italian National Research Council (CNR)
Consiglio Nazionale delle Ricerche,CNR,Italian National Research Council (CNR)
National Counsel of Research,CNR,Italian National Research Council (CNR)
Canadian Network for Regional Climate and Weather Processes,CNRCWP,Canadian Network for Regional Climate and Weather Processes (CNRCWP)
Center for Natural Resources and Development,CNRD,Center for Natural Resources and Development (CNRD)
Centre National de Recherches Meteorologiques,CNRM,Centre National de Recherches Meteorologiques (CNRM)
Centre National de la Recherche Scientifique,CNRS,French National Centre for Scientific Research (CNRS)
National Center for Scientific Research,CNRS,French National Centre for Scientific Research (CNRS)
National Council for Scientific Research,CNRS,French National Centre for Scientific Research (CNRS)
French Centre national de la recherche scientifique,CNRS,French National Centre for Scientific Research (CNRS)
Division of Computer and Network System,CNS,Division of Computer and Network System (CNS)
Clean North Sea Shipping Project,CNSS,Clean North Sea Shipping Project (CNSS)
Cognitive Assisted Living Ambient System,COALAS,Cognitive Assisted Living Ambient System (COALAS)
Coastal Ocean Currents Monitoring Program,COCMP,Coastal Ocean Currents Monitoring Program (COCMP)
NOAAs Climate Observation Division,COD,NOAAs Climate Observation Division (COD)
Centre on Dynamics of Ethnicity,CoDE,Centre on Dynamics of Ethnicity (CoDE)
Coastal Ocean Data Systems,CODS,Coastal Ocean Data Systems (CODS)
ARC Centre of Excellence for the Dynamics of Language,CoEDL,ARC Centre of Excellence for the Dynamics of Language (CoEDL)
Combatting Fiscal Fraud and Empowering Regulators,COFFERS,Combatting Fiscal Fraud and Empowering Regulators (COFFERS)
FSU Committee on Faculty Research Support,COFRS,FSU Committee on Faculty Research Support (COFRS)
Computational Genomic Epidemiology of Cancer,CoGEC,Computational Genomic Epidemiology of Cancer (CoGEC)
Administrative Department of Science Technology and Innovation,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Departamento Administrativo Nacional de Ciencia y Tecnologia de Colombia,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Departamento de Ciencia Tecnologia e Innovacion,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Colombian Administrative Department for Science Technology and Innovation,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Departamento Administrativo de Ciencias Technologia e Innovacion de Colombia,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Colombian Science and Technology Department,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
Instituto Colombiano para el desarrollo de la Ciencia y la Tecnologia,COLCIENCIAS,Colombian Administrative Department for Science Technology and Innovation (COLCIENCIAS)
DFOs Centre for Ocean Model Development for Applications,COMDA,DFOs Centre for Ocean Model Development for Applications (COMDA)
Chukchi Sea Offshore Monitoring in Drilling Area,COMIDA,Chukchi Sea Offshore Monitoring in Drilling Area (COMIDA)
Operational Program Factors of Competitiveness,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Operational Competitiveness Programme,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Operational Programme for Competitiveness Factors,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Competitiveness Factors Operational Programme,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Programa Operacional Factores de Competitividade,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Operational Programme Thematic Factors of Competitiveness,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Competitiveness Factors Operational,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Programa Operacional Competitividade e Intemacionalizacao,COMPETE,Operational Programme for Competitiveness Factors (COMPETE)
Coastal Ocean Monitoring and Prediction System,COMPS,Coastal Ocean Monitoring and Prediction System (COMPS)
NOAAs Coastal and Ocean Modeling Testbed,COMT,NOAAs Coastal and Ocean Modeling Testbed (COMT)
Comite Oceanografico Nacional,CONA,Comite Oceanografico Nacional (CONA)
Consejo Nacional de Cienca y Tecnologia,CONACYT,Mexican National Science and Technology Council (CONACYT)
National Council for Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
National Council Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
Mexican Council of Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
Mexican Council of Science and Technology,CONACyT,Mexican National Science and Technology Council (CONACYT)
National Council of Science and Technology of Mexico,CONACYT,Mexican National Science and Technology Council (CONACYT)
National Council of Science and Technology of Mexico,CONACyT,Mexican National Science and Technology Council (CONACYT)
Mexican Science and Technology Council,CONACYT,Mexican National Science and Technology Council (CONACYT)
Mexican Science and Technology Council,CONACyT,Mexican National Science and Technology Council (CONACYT)
Council of Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
Mexican National Science and Technology Council,CONACYT,Mexican National Science and Technology Council (CONACYT)
Mexican National Science and Technology Council,CONACyT,Mexican National Science and Technology Council (CONACYT)
Paraguayan National Council of Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
Paraguayan National Council of Science and Technology,CONACyT,Mexican National Science and Technology Council (CONACYT)
National Science and Technology Council of Mexico,CONACYT,Mexican National Science and Technology Council (CONACYT)
Sistema Nacional de Investigadores,CONACYT,Mexican National Science and Technology Council (CONACYT)
Consejo Nacional de Ciencia y Tecnologia de Mexico,CONACYT,Mexican National Science and Technology Council (CONACYT)
Consejo Nacional de Ciencia y Tecnologia,CONACyT,Mexican National Science and Technology Council (CONACYT)
National Council of Science and Technology,CONACyT,Mexican National Science and Technology Council (CONACYT)
Mexican National Council for Science and Technology,CONACyT,Mexican National Science and Technology Council (CONACYT)
Mexican Science and Technology National Council,CONACyT,Mexican National Science and Technology Council (CONACYT)
Mexican Research CouncilConsejo Nacional de Ciencia y Tecnologia,CONACyT,Mexican National Science and Technology Council (CONACYT)
Mexican National Research Council,CONACyT,Mexican National Science and Technology Council (CONACYT)
National Council of Science and Technology,CONACYT,Mexican National Science and Technology Council (CONACYT)
National Forest Commission of Mexico,CONAFOR,National Forest Commission of Mexico (CONAFOR)
National Forestry Commission,CONAFOR,National Forest Commission of Mexico (CONAFOR)
Comision Nacional Forestal,CONAFOR,National Forest Commission of Mexico (CONAFOR)
Mexican National Forestry Commission,CONAFOR,National Forest Commission of Mexico (CONAFOR)
National Commission of Natural Protected Areas,CONANP,National Commission of Natural Protected Areas (CONANP)
Comision de Areas Naturales Protegidas,CONANP,National Commission of Natural Protected Areas (CONANP)
Office of Comision Nacional de Areas Naturales Protegidas,CONANP,National Commission of Natural Protected Areas (CONANP)
Consejo Nacional de Investigaciones Cientificas y Tecnicas,CONICET,National Research Council of Argentina (CONICET)
National Research Council of Argentina,CONICET,National Research Council of Argentina (CONICET)
Consejo Nacional de Investigaciones Cientificas y Tecnicas de Argentina,CONICET,National Research Council of Argentina (CONICET)
Argentine National Council for Scientific and Technological Research,CONICET,National Research Council of Argentina (CONICET)
National Council of Science and Technology of Argentina,CONICET,National Research Council of Argentina (CONICET)
Chilean Commission for Scientific and Technological Research,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Comision Nacional de Investigacion Cientifica y Tecnologica,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Chilean Comision Nacional de Investigacion Cientifica y Tecnologica,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Chilean Research Science and Technology Council,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Chilean Research Council,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
National Council of Scientific and Technological Research of Chile,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Chilean Council of Science and Technology,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Esta investigacion fue financiada por la Comision Nacional de Desarrollo Cientifico y Tecnologico de Chile,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
National Committee of Science and Technology of Chile,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Chilean National Corporation of Research Science and Technology,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Proyecto Comision Nacional de Investigacion Cientifica y Tecnologica,CONICYT,Chilean Commission for Scientific and Technological Research (CONICYT)
Competitiveness Operational Programme,COP,Competitiveness Operational Programme (COP)
Cooking Poverty and Improved Energy Systems,CoPIES,Cooking Poverty and Improved Energy Systems (CoPIES)
Chippewa Ottawa Resource Authority,CORA,Chippewa Ottawa Resource Authority (CORA)
Center for Organizational Research on Implementation and Leadership,CORIL,Center for Organizational Research on Implementation and Leadership (CORIL)
Center of Research on Psychology in Somatic diseases,CoRPS,Center of Research on Psychology in Somatic diseases (CoRPS)
Comprehensive Opportunities in Rehabilitation Research Training,CORRT,Comprehensive Opportunities in Rehabilitation Research Training (CORRT)
Convention of Scottish Local Authorities,COSLA,Convention of Scottish Local Authorities (COSLA)
Cardiff Online Social Media Observatory,COSMOS,Cardiff Online Social Media Observatory (COSMOS)
Coastal Observing System for Northern and Arctic Seas,COSYNA,Coastal Observing System for Northern and Arctic Seas (COSYNA)
Cambridge Overseas Trust,COT,Cambridge Overseas Trust (COT)
Contracting Officers Technical Representative,COTR,Contracting Officers Technical Representative (COTR)
Coordinated Ocean Wave Climate Project,COWCLIP,Coordinated Ocean Wave Climate Project (COWCLIP)
Commission Permanente de Cooperation FrancoQuebecoise,CPCFQ,Commission Permanente de Cooperation FrancoQuebecoise (CPCFQ)
Centre for Poverty and Development Studies,CPDS,Centre for Poverty and Development Studies (CPDS)
Comite Polar Espanol,CPE,Comite Polar Espanol (CPE)
Centre for Paediatric Epidemiology and Biostatistics,CPEB,Centre for Paediatric Epidemiology and Biostatistics (CPEB)
Canadian Pediatric Endocrine Group,CPEG,Canadian Pediatric Endocrine Group (CPEG)
Center for Public Health Initiatives,CPHI,Center for Public Health Initiatives (CPHI)
Pantanal Research Center,CPP,Pantanal Research Center (CPP)
Centro de Pesquisa do Pantanal,CPP,Pantanal Research Center (CPP)
Communication Policy Research Center,CPRC,Communication Policy Research Center (CPRC)
CrossPlatform System Development,CPSD,CrossPlatform System Development (CPSD)
Cochin Port Trust,CPT,Cochin Port Trust (CPT)
CGIAR Challenge Program on Water and Food,CPWF,CGIAR Challenge Program on Water and Food (CPWF)
Cooperative Research and Development Agreement,CRADA,Cooperative Research and Development Agreement (CRADA)
Centre for Research in Autism and Education,CRAE,Centre for Research in Autism and Education (CRAE)
DARPA Cleanslate design of Resilient Adaptive Secure Hosts,CRASH,DARPA Cleanslate design of Resilient Adaptive Secure Hosts (CRASH)
Centre de Ressources Biologiques Marines,CRBM,Centre de Ressources Biologiques Marines (CRBM)
Center for Research on Culture Development and Education,CRCDE,Center for Research on Culture Development and Education (CRCDE)
Centre for Research on Children and Families,CRCF,Centre for Research on Children and Families (CRCF)
Center to Reduce Cancer Health Disparities,CRCHD,Center to Reduce Cancer Health Disparities (CRCHD)
Childrens Research Center of Michigan,CRCM,Childrens Research Center of Michigan (CRCM)
Canadian Research Data Centre Network,CRDCN,Canadian Research Data Centre Network (CRDCN)
Centre for Research and Analysis of Migration,CReAM,Centre for Research and Analysis of Migration (CReAM)
Centre for Research on Educational and Community Services,CRECS,Centre for Research on Educational and Community Services (CRECS)
Centre for Research on EFinance,CREF,Centre for Research on EFinance (CREF)
USAIDs Climate Resilient Ecosystems and Livelihoods,CREL,USAIDs Climate Resilient Ecosystems and Livelihoods (CREL)
JRCs Centre for Research on Education and Lifelong Learning,CRELL,JRCs Centre for Research on Education and Lifelong Learning (CRELL)
Centre for Natural Resource and Environment Studies,CRES,Centre for Natural Resource and Environment Studies (CRES)
Center for Research in Emotional and Social Health,CRESH,Center for Research in Emotional and Social Health (CRESH)
Consortium for Risk Evaluation with Stakeholder Participation,CRESP,Consortium for Risk Evaluation with Stakeholder Participation (CRESP)
Copper River Fishermans Cooperative,CRFC,Copper River Fishermans Cooperative (CRFC)
Competitive Research Grants,CRG,Competitive Research Grants (CRG)
Consortium for Research and Innovation in Aerospace in Quebec,CRIAQ,Consortium for Research and Innovation in Aerospace in Quebec (CRIAQ)
Centre for Research on Inner City Health,CRICH,Centre for Research on Inner City Health (CRICH)
Center for Research in Innovation Organization and Strategy,CRIOS,Center for Research in Innovation Organization and Strategy (CRIOS)
Centro Regional de Investigaciones Pesqueras,CRIP,Centro Regional de Investigaciones Pesqueras (CRIP)
Council for Research in the Social Sciences,CRISS,Council for Research in the Social Sciences (CRISS)
Columbia River InterTribal Fish Commission,CRITFC,Columbia River InterTribal Fish Commission (CRITFC)
Center for Research on Information Technology and Organizations,CRITO,Center for Research on Information Technology and Organizations (CRITO)
China Regenerative Medicine International,CRMI,China Regenerative Medicine International (CRMI)
Centre de Recherches Oceanographiques Dakar,CRODT,Centre de Recherches Oceanographiques Dakar (CRODT)
Center for Research of Private Economy,CRPE,Center for Research of Private Economy (CRPE)
Coral Reef Restoration Assessment and Monitoring Laboratory,CRRAM,Coral Reef Restoration Assessment and Monitoring Laboratory (CRRAM)
UNH Coastal Response Research Center,CRRC,UNH Coastal Response Research Center (CRRC)
AquaFish Collaborative Research Support Program,CRSP,AquaFish Collaborative Research Support Program (CRSP)
Climate Research Unit,CRU,Climate Research Unit (CRU)
Center for Research in Ubiquitous Computing,CRUC,Center for Research in Ubiquitous Computing (CRUC)
Cancer Research UK,CRUK,Cancer Research UK (CRUK)
Centre for Research on Work Disability Policy,CRWDP,Centre for Research on Work Disability Policy (CRWDP)
Center for Statistical Applications in Forensic Evidence,CSAFE,Center for Statistical Applications in Forensic Evidence (CSAFE)
Center for Substance Abuse Treatment,CSAT,Center for Substance Abuse Treatment (CSAT)
Center for Sponsored Coastal Ocean Research,CSCOR,Center for Sponsored Coastal Ocean Research (CSCOR)
Collaborating Centre on Sustainable Consumption and Production,CSCP,Collaborating Centre on Sustainable Consumption and Production (CSCP)
Collaborative Sciences Center for Road Safety,CSCRS,Collaborative Sciences Center for Road Safety (CSCRS)
Chinese Service Center for Scholarly Exchange,CSCSE,Chinese Service Center for Scholarly Exchange (CSCSE)
Center for Social Development,CSD,Center for Social Development (CSD)
Connecticut State Department of Education,CSDE,Connecticut State Department of Education (CSDE)
Centre for Social and Environmental Research,CSEAR,Centre for Social and Environmental Research (CSEAR)
Center for Southeast Asian Studies,CSEAS,Center for Southeast Asian Studies (CSEAS)
Centre for Southern Hemisphere Oceans Research,CSHOR,Centre for Southern Hemisphere Oceans Research (CSHOR)
Cetacean Society International,CSI,Cetacean Society International (CSI)
Centre for the Study of Incentives in Health,CSIH,Centre for the Study of Incentives in Health (CSIH)
UK Cetacean Strandings Investigation Programme,CSIP,UK Cetacean Strandings Investigation Programme (CSIP)
Center for Strategic and International Studies,CSIS,Center for Strategic and International Studies (CSIS)
Cereal Systems Initiative for South Asia,CSISA,Cereal Systems Initiative for South Asia (CSISA)
Central Science Laboratory,CSL,Central Science Laboratory (CSL)
Council on Sexual Orientation and Gender Expression,CSOGE,Council on Sexual Orientation and Gender Expression (CSOGE)
Centre for Strategic and Policy Studies,CSPS,Centre for Strategic and Policy Studies (CSPS)
Center for Space Research,CSR,Center for Space Research (CSR)
Computational Science Research Center,CSRC,Computational Science Research Center (CSRC)
Clinical Sciences Research and Development,CSRD,Clinical Sciences Research and Development (CSRD)
USDA Cooperative State Research Education and Extension Service,CSREES,USDA Cooperative State Research Education and Extension Service (CSREES)
Cognitive Science Research Initiative,CSRI,Cognitive Science Research Initiative (CSRI)
Czech Social Security Administration,CSSA,Czech Social Security Administration (CSSA)
Court Support Services Division,CSSD,Court Support Services Division (CSSD)
Met Office Climate Science for Service Partnership,CSSP,Met Office Climate Science for Service Partnership (CSSP)
China Ship Scientific Research Center,CSSRC,China Ship Scientific Research Center (CSSRC)
Center for the Study of Terrorism and Behavior,CSTAB,Center for the Study of Terrorism and Behavior (CSTAB)
Collaborative Science Technology and Applied Research,CSTAR,Collaborative Science Technology and Applied Research (CSTAR)
Center for Southeastern Tropical Advanced Remote Sensing,CSTARS,Center for Southeastern Tropical Advanced Remote Sensing (CSTARS)
Council of State and Territorial Epidemiologists,CSTE,Council of State and Territorial Epidemiologists (CSTE)
Center for Science Technology and Environmental Policy Studies,CSTEPS,Center for Science Technology and Environmental Policy Studies (CSTEPS)
Council for Science Technology and Innovation,CSTI,Council for Science Technology and Innovation (CSTI)
Council for Science and Technology Policy,CSTP,Council for Science and Technology Policy (CSTP)
Connected Traffic and Complex Systems,CTCS,Connected Traffic and Complex Systems (CTCS)
Center for Transformative Environmental Monitoring Programs,CTEMPS,Center for Transformative Environmental Monitoring Programs (CTEMPS)
Central Taiwan Finance Association,CTFA,Central Taiwan Finance Association (CTFA)
Center for Translational Molecular Medicine,CTMM,Center for Translational Molecular Medicine (CTMM)
Centro Turistico Studentesco,CTS,Centro Turistico Studentesco (CTS)
UCSF Clinical and Translational Science Institute,CTSI,UCSF Clinical and Translational Science Institute (CTSI)
Centre for Time Use Research,CTUR,Centre for Time Use Research (CTUR)
Centre for Research Innovation and Discovery,CUCRID,Centre for Research Innovation and Discovery (CUCRID)
Canadian Union of Public Employees,CUPE,Canadian Union of Public Employees (CUPE)
Commonwealth Universal Research Enhancement,CURE,Commonwealth Universal Research Enhancement (CURE)
Canadian Urban Transit Association,CUTA,Canadian Urban Transit Association (CUTA)
Computer Vision Center,CVC,Computer Vision Center (CVC)
Centre for Vocational Education Research,CVER,Centre for Vocational Education Research (CVER)
Central Vermont Public Service,CVPS,Central Vermont Public Service (CVPS)
UP Cebu Central Visayas Studies Center,CVSC,UP Cebu Central Visayas Studies Center (CVSC)
Central Weather Bureau,CWB,Central Weather Bureau (CWB)
